answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"Wohl eine Folge der Konsum- und Freizeitgesellschaft, aber leider unsolidarisch mit den jüngeren, welche die Zeche zahlen müssen: Die Älteren wollen keine Rentenaltererhöhung https://t.co/pDYVBChdxh via @nzz",wohl folgen konsum freizeitgesellschaft leider unsolidarisch jung welch zechen zahlen müssen alt rentenaltererhöhung via,,,,,,,"{'Wohl': 0, 'eine': 0, 'Folge': 0.08, 'der': 0.29, 'Konsum-': 0, 'und': 0.02, 'Freizeitgesellschaft': 0.035, 'aber': 0.04, 'leider': 0.04, 'unsolidarisch': 0, 'mit': 0.05, 'den': 0.29, 'jüngeren': 0.145, 'welche': 0, 'die': 0.29, 'Zeche': 0, 'zahlen': 0, 'müssen': 0.095, 'Die': 0.29, 'Älteren': 0, 'wollen': 1.0, 'keine': 0, 'Rentenaltererhöhung': 0.59, 'via': 0.22}",neutral,"[0.48749998, 0.38284925, 0.12965077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@SeverinLuescher @NZZ Es braucht mehrere Massnahmen: 1.) Ältere Arbeitnehmer dürfen nicht mehr systembedingt „teurer“ werden (BVG-Abzüge); 2.) Flexibilisierung des Rentenalters gegen oben - allenfalls mit Rentenbonus oder Wegfall der Abzüge, falls Pensionierung nach Referenzalter erfolgt, 3.) ...",brauchen mehrer massnahmen alt arbeitnehmer dürfen mehr systembedingt teuer bvg abzüge flexibilisierung rentenalters oben allenfalls rentenbonus wegfall abzüge falls pensionierung referenzalter erfolgen,,,,,,,"{'Es': 0, 'braucht': 0, 'mehrere': 0.03, 'Massnahmen': 0.2, '1.': 0, 'Ältere': 0.06, 'Arbeitnehmer': 0, 'dürfen': 0.09, 'nicht': 0, 'mehr': 0.04, 'systembedingt': 0, '„': 0, 'teurer': 0, '“': 0, 'werden': 0, 'BVG-Abzüge': 0, '2.': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0, 'gegen': 0, 'oben': 0, 'allenfalls': 0, 'mit': 0, 'Rentenbonus': 0, 'oder': 0, 'Wegfall': 0, 'der': 0, 'Abzüge': 0, 'falls': 0, 'Pensionierung': 0, 'nach': 0, 'Referenzalter': 0, 'erfolgt': 0, '3.': 0, '...': 0}",positive,"[0.08158109, 0.022008406, 0.8964105]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Ein Frage zur  #Ehefueralle : wie wird das mit den Mutterschafts-/Vaterschaftsurlaub nun bei gleichgeschlechtlichen Paaren gehandhabt? @AndreaCaroniAR,fragen ehefueralle mutterschafts vaterschaftsurlaub gleichgeschlechtlich paaren handhaben,,,,,,,,,,"{'Ein': 0.2, 'Frage': 0, 'zur': 0, 'Ehefueralle': 0.3, 'wie': 0.93, 'wird': 0, 'das': 0, 'mit': 0, 'den': 0, 'Mutterschafts-/Vaterschaftsurlaub': 0.26125, 'nun': 0, 'bei': 0, 'gleichgeschlechtlichen': 0.15, 'Paaren': 0, 'gehandhabt': 0.55}",neutral,"[0.8690123, 0.0759469, 0.055040825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Wurde auch gefragt, wer es zahlen soll? Alle wollen Vaterschaftsurlaub–Mütter sogar mehr als Väter http://t.co/tVAHe84ENM via @tagesanzeiger",fragen wer zahlen all vaterschaftsurlaub mütter sogar mehr väter via,,,,,,,,,,"{'Wurde': 0, 'auch': 0.07, 'gefragt': 0.27, 'wer': 0.1, 'es': 0, 'zahlen': 0, 'soll': 0, 'Alle': 0, 'wollen': 0, 'Vaterschaftsurlaub–Mütter': 0.3825, 'sogar': 0.3, 'mehr': 0.27, 'als': 0, 'Väter': 0.07, 'via': 0.07}",neutral,"[0.6111124, 0.072817154, 0.31607044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@retolipp Pensionskassenrenten sind der Rückblick auf das frühere Berufsleben.,pensionskassenrenten rückblick früh berufsleben,,,,,,,,,,,,,"{'Pensionskassenrenten': 0.18, 'sind': 0.97, 'der': 0, 'Rückblick': 0, 'auf': 0, 'das': 0, 'frühere': 0, 'Berufsleben': 0.23}",positive,"[0.13464986, 0.16068935, 0.70466083]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@cloudista @SibelArslanBS @stimmrecht_16 Kommt jetzt dann auch gleich noch das Ausländerstimm- und Wahlrecht? Immerhin wird mit der Senkung der Alterslimite auch der Anteil der Menschen vergrössert, die zwar Steuern zahlen, aber nicht mitbestimmen können, wofür sie ausgegeben werden.. #nursogefragt",kommen gleichen ausländerstimm wahlrecht immerhin senkung alterslimite anteil menschen vergrössert steuern zahlen mitbestimmen wofür ausgeben nursogefragt,,,,,,,,,,,,,,,,"{'Kommt': 0, 'jetzt': 0, 'dann': 0, 'auch': 0.22, 'gleich': 0, 'noch': 0, 'das': 0.06, 'Ausländerstimm-': 0.06, 'und': 0.04, 'Wahlrecht': 0, 'Immerhin': 0.07, 'wird': 0.12, 'mit': 0, 'der': 0.08, 'Senkung': 0.07, 'Alterslimite': 0.08499999999999999, 'Anteil': 0, 'Menschen': 0.06, 'vergrössert': 0, 'die': 0.08, 'zwar': 0.06, 'Steuern': 0, 'zahlen': 0, 'aber': 0.08, 'nicht': 0, 'mitbestimmen': 0, 'können': 0, 'wofür': 0.15, 'sie': 0, 'ausgegeben': 0, 'werden': 0.12, '..': 0, 'nursogefragt': 0}",neutral,"[0.5499691, 0.39745033, 0.052580573]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Stimm-und Wahlrecht ist entweder an die „Mitgliedschaft“ (=Staatsbürgerschaft) oder an die „Betroffenheit“ (=Ausländerstimmrecht) gekoppelt. Beides geht nicht. #WahlCH19 @wahlch15 https://t.co/maUZDGZmeT,stimm wahlrecht entweder mitgliedschaft taatsbürgerschaft betroffenheit ausländerstimmrecht koppeln beide gehen wahlch19,,,,,,,,,,,,,,,,"{'Stimm-und': 0.04, 'Wahlrecht': 0, 'ist': 0, 'entweder': 0.03, 'an': 0, 'die': 0, '„': 0, 'Mitgliedschaft': 0, '“': 0, 'taatsbürgerschaft': 0, 'oder': 0, 'Betroffenheit': 0, '(=': 0, 'Ausländerstimmrecht': 0, 'gekoppelt': 0, 'Beides': 0, 'geht': 0, 'nicht': 0, 'WahlCH19': 0}",neutral,"[0.8404193, 0.05374271, 0.105838105]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"@Fumagalli_A @ServCitoyenCH @NZZ Ein interessantes Modell, sofern er auch Niedergelassene ohne Schweizer Pass (gibt dann vielleicht mehr Einbürgerungswillige) umfasst und völkerrechtlich ausgestaltet werden kann (habe da meine Zweifel). Für Armeebestand problematisch sind va Abgänge nach RS (gemeinsam Fun…)",interessant modell sofern niedergelassen schweizer pass geben vielleicht mehr einbürgerungswillige umfasst völkerrechtlich ausgestalten zweifel armeebestand problematisch va abgänge rs gemeinsam fun,,,,,,,,,,,,,,,,,,,"{'Ein': 0.03, 'interessantes': 0.06, 'Modell': 0.09, 'sofern': 0.05, 'er': 0, 'auch': 0.03, 'Niedergelassene': 0, 'ohne': 0.06, 'Schweizer': 0.04, 'Pass': 0, 'gibt': 0.03, 'dann': 0.27, 'vielleicht': 0, 'mehr': 0.69, 'Einbürgerungswillige': 0, 'umfasst': 0.07, 'und': 0.11, 'völkerrechtlich': 0.045, 'ausgestaltet': 0.06, 'werden': 0, 'kann': 0.04, 'habe': 0.04, 'da': 0, 'meine': 0.02, 'Zweifel': 0, 'Für': 0.02, 'Armeebestand': 0, 'problematisch': 0.1, 'sind': 0.03, 'va': 0, 'Abgänge': 0.08, 'nach': 0, 'RS': 0.04, 'gemeinsam': 0, 'Fun': 0.07, '…': 0}",positive,"[0.30144328, 0.0203435, 0.67821324]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@jacquelinefehr Für die Repräsentativität nicht, aber die nicht Vertetenen haben es grösstenteils selber in der Hand, diesen Zustand zu ändern (Teilnahme und Einbürgerung).
Bei beiden Gruppen ist die Grafik vielleicht Ausdruck von Zufriedenheit mit dem jeweiligen Status quo #WahlenCH2019",repräsentativität vertetenen grösstenteils selber hand zustehen ändern teilnahme einbürgerung beid gruppen grafik vielleicht ausdruck zufriedenheit jeweilig status quo wahlench2019,,,,,,,,,,,,,,,,,,,"{'Für': 0.06, 'die': 0.05, 'Repräsentativität': 0.16, 'nicht': 0.04, 'aber': 0.03, 'Vertetenen': 0, 'haben': 0.065, 'es': 0.04, 'grösstenteils': 0, 'selber': 0, 'in': 0.04, 'der': 0.05, 'Hand': 0, 'diesen': 0.08, 'Zustand': 0.05, 'zu': 0.09, 'ändern': 0.18, 'Teilnahme': 1.0, 'und': 0.72, 'Einbürgerung': 1.0, 'Bei': 0, 'beiden': 0.03, 'Gruppen': 0.1, 'ist': 0.04, 'Grafik': 0.1, 'vielleicht': 0.04, 'Ausdruck': 0.08, 'von': 0, 'Zufriedenheit': 0.17, 'mit': 0.05, 'dem': 0.07, 'jeweiligen': 0.05, 'Status': 0.05, 'quo': 0.09, 'WahlenCH2019': 0}",positive,"[0.4932114, 0.010992892, 0.49579573]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@wanner_fabio @WohlgensingerN Deshalb wird Lohngleichheit auch immer wieder neu definiert. Von einigen Ausnahmen abgesehen, geht es nicht mehr um rein „gleicher Lohn für gleiche Arbeit“, sondern „gleicher Lohn für unterschiedliche Lebensentwürfe“",deshalb lohngleichheit immer neu definieren ausnahmen absehen gehen mehr rein gleich lohn gleich arbeit gleich lohn unterschiedlich lebensentwürfe,,,,,,,,,,,,,,,,,,,,,,"{'Deshalb': 0, 'wird': 0, 'Lohngleichheit': 0.68, 'auch': 0, 'immer': 0, 'wieder': 0, 'neu': 0, 'definiert': 0, 'Von': 0, 'einigen': 0, 'Ausnahmen': 0.31, 'abgesehen': 0, 'geht': 0, 'es': 0.11, 'nicht': 0, 'mehr': 0, 'um': 0.07, 'rein': 0, '„': 0, 'gleicher': 0, 'Lohn': 0, 'für': 0, 'gleiche': 0, 'Arbeit': 0, '“': 0, 'sondern': 0, 'unterschiedliche': 0, 'Lebensentwürfe': 0}",negative,"[0.06871605, 0.8969556, 0.03432835]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"#GRAG Nein, Steuersenkungen ""kosten"" nicht - auch nicht, wenn man es in jedem Votum erwähnt.",grag nein steuersenkungen kosten jed votum erwähnen,,,,,,,,,,,,,,,,,,,,,,,,,"{'GRAG': 0.12, 'Nein': 0.25, 'Steuersenkungen': 0.585, 'kosten': 0, 'nicht': 0.39, 'auch': 0, 'wenn': 0.11, 'man': 0, 'es': 0, 'in': 0.04, 'jedem': 0, 'Votum': 0.13, 'erwähnt': 0}",positive,"[0.45147163, 0.07729973, 0.47122872]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@srfnews Wurde auch gefragt, ob diese Personen persönlich die teurere erneuerbare Energie nutzen und ob sie auch bereit sind, die Kosten zu tragen?",fragen personen persönlich teuer erneuerbare energie nutzen bereiten kosten tragen,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Wurde': 0, 'auch': 0.07, 'gefragt': 1.0, 'ob': 0, 'diese': 0, 'Personen': 0, 'persönlich': 0.24, 'die': 0.07, 'teurere': 0.125, 'erneuerbare': 0.3, 'Energie': 0.12, 'nutzen': 0.12, 'und': 0.17, 'sie': 0, 'bereit': 0, 'sind': 0.1, 'Kosten': 0.15, 'zu': 0.06, 'tragen': 0}",neutral,"[0.8574147, 0.12782663, 0.01475868]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"#GrossratAG lehnt Abgeltung der Zentrumslasten ab - langsam verstehe ich, weshalb in anderen Ländern die Städte ein Roadpricing erwägen",grossratag lehnen abgeltung zentrumslasten ab langsam verstehen weshalb ländern städte roadpricing erwägen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'GrossratAG': 0.17, 'lehnt': 0.07, 'Abgeltung': 0.09, 'der': 0.07, 'Zentrumslasten': 0, 'ab': 0, 'langsam': 0, 'verstehe': 0.14, 'ich': 0.06, 'weshalb': 0.08, 'in': 0.19, 'anderen': 0, 'Ländern': 0.22, 'die': 0.07, 'Städte': 0.35, 'ein': 0, 'Roadpricing': 0, 'erwägen': 0}",negative,"[0.18085574, 0.80123746, 0.01790675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
