answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"@spschweiz @BaGysi Eine Anhebung des Rentenalters für Frauen ist das Zeichen dafür, dass Frauen gleichgestellt werden sollen. Dass der SP das nicht passt, ist tatsächlich zynisch.",anhebung rentenalters frauen zeichen dafür frauen gleichstellen sollen sp passt tatsächlich zynisch,,,,"{'Eine': 0, 'Anhebung': 1.0, 'des': 0, 'Rentenalters': 0.7949999999999999, 'für': 0.61, 'Frauen': 0.24, 'ist': 0.05, 'das': 0.08, 'Zeichen': 0.46, 'dafür': 0, 'dass': 0.08, 'gleichgestellt': 0, 'werden': 0, 'sollen': 0.08, 'Dass': 0.08, 'der': 0.12, 'SP': 0.07, 'nicht': 0.09, 'passt': 0, 'tatsächlich': 0, 'zynisch': 0.16}",negative,"[0.24363075, 0.59495217, 0.16141717]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,75.0,86.0,0.4333333333333333,neutral,"Man staune: @BaGysi ist gegen gleiches Rentenalter und steht damit der Gleichstellung im Weg.
@seilergraf degradiert unsere einzige Militärpilotin zur ""sympathischen Werbeträgerin"" beim Thema Kampfjets.

Hat die @spschweiz etwa ein Sexismusproblem?",staunen gleich rentenalter stehen gleichstellung degradieren einzig militärpilotin sympathisch werbeträgerin beim thema kampfjets etwa sexismusproblem,,,,"{'Man': 0, 'staune': 0, 'ist': 0.74, 'gegen': 1.0, 'gleiches': 1.0, 'Rentenalter': 0.5249999999999999, 'und': 0.21, 'steht': 0.21, 'damit': 0.05500000000000001, 'der': 0.03, 'Gleichstellung': 0.22, 'im': 0, 'Weg': 0, 'degradiert': 0, 'unsere': 0.04, 'einzige': 0.03, 'Militärpilotin': 0.075, 'zur': 0.035, 'sympathischen': 0.08, 'Werbeträgerin': 0.05, 'beim': 0.03, 'Thema': 0, 'Kampfjets': 0.08, 'Hat': 0, 'die': 0.03, 'etwa': 0, 'ein': 0.14, 'Sexismusproblem': 0}",positive,"[0.18384528, 0.07976332, 0.73639137]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"Wir Frauen wollen gleiche Löhne.
Wir wollen gleiche Chancen.
Wir wollen gleiche Rechte.

Aber gleiches Rentenalter, das wollen Frauen wie @BaGysi dann nicht. Es sei ""nicht tragbar"". 

Genau mein Humor. 
 https://t.co/n6TYMcOmzZ",frauen gleich löhnen gleich chancen gleich rechte gleich rentenalter frauen tragbar genau humor,,,,"{'Wir': 0.03, 'Frauen': 0.2, 'wollen': 0.79, 'gleiche': 1.0, 'Löhne': 0.04, 'Chancen': 0.05, 'Rechte': 0, 'Aber': 0.16, 'gleiches': 1.0, 'Rentenalter': 0.9550000000000001, 'das': 0, 'wie': 0, 'dann': 0.2, 'nicht': 0.36, 'Es': 0.16, 'sei': 0, 'tragbar': 0, 'Genau': 0, 'mein': 0.05, 'Humor': 0.09}",negative,"[0.22480476, 0.75200844, 0.023186838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @feusl: @GBindschedler @gporlezza @Heierle @gerhardpfister @CVP_PDC Ich habe einen Traum: Die @spschweiz lehnt eine Rentenaltererhöhung…,traum lehnen rentenaltererhöhung,,,,"{'Ich': 0.24, 'habe': 0.24, 'einen': 0.12, 'Traum': 0.66, 'Die': 0.38, 'lehnt': 1.0, 'eine': 0, 'Rentenaltererhöhung': 0.6699999999999999, '…': 0}",positive,"[0.062416073, 0.05731999, 0.8802639]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @tagesanzeiger: Ein guter Teil der über 50-Jährigen ist definitiv bereit, über das ordentliche Rentenalter hinaus zu arbeiten. https://t…",gut teil jährig definitiv bereiten ordentliche rentenalter hinaus arbeiten,,,,"{'Ein': 0.04, 'guter': 0, 'Teil': 0, 'der': 0.54, 'über': 0.08, '50-Jährigen': 0.16, 'ist': 0, 'definitiv': 0, 'bereit': 0.13, 'das': 0, 'ordentliche': 0, 'Rentenalter': 0.94, 'hinaus': 0, 'zu': 0.11, 'arbeiten': 0.16}",positive,"[0.1872459, 0.011849601, 0.8009045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"@spschweiz @FDP_Liberalen @Jungfreisinnige @ChristaMarkwald Wirklich asozial ist es, die Erhöhung des Rentenalters zu bekämpfen.

Grüsse von einer u30.",wirklich asozial erhöhung rentenalters bekämpfen grüsse u30,,,,"{'Wirklich': 0.11, 'asozial': 0, 'ist': 0.08, 'es': 0.08, 'die': 0.08, 'Erhöhung': 0.15, 'des': 0.55, 'Rentenalters': 0.16499999999999998, 'zu': 0.07, 'bekämpfen': 0.18, 'Grüsse': 0, 'von': 0.55, 'einer': 0, 'u30.': 0}",negative,"[0.12378444, 0.58719337, 0.28902215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"Wer noch immer leugnet, dass wir das Rentenalter erhöhen müssen, handelt fahrlässig und ignorant. https://t.co/dPp6n5g1tD",wer immer leugnen rentenalter erhöhen müssen handeln fahrlässig ignorant,,,,"{'Wer': 0.12, 'noch': 0.11, 'immer': 0, 'leugnet': 0, 'dass': 0.15, 'wir': 0, 'das': 0.15, 'Rentenalter': 0.8300000000000001, 'erhöhen': 1.0, 'müssen': 0.46, 'handelt': 0, 'fahrlässig': 0, 'und': 0.07, 'ignorant': 0}",neutral,"[0.48661557, 0.41769585, 0.09568856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@David_Stampfli Nein, das Rentenalter für uns soll nicht in erster Linie erhöht, sondern dem der Männer gleichgestellt werden.

Weil das nennt man Gleichberechtigung. Und das wollen wir.",nein rentenalter erst linie erhöhen männer gleichstellen nennen gleichberechtigung,,,,"{'Nein': 0.11, 'das': 0.04, 'Rentenalter': 0.685, 'für': 0.18, 'uns': 0.1, 'soll': 0, 'nicht': 0.98, 'in': 0, 'erster': 0, 'Linie': 0, 'erhöht': 0, 'sondern': 0.31, 'dem': 0.19, 'der': 0.19, 'Männer': 0.14, 'gleichgestellt': 0, 'werden': 0, 'Weil': 0.04, 'nennt': 0, 'man': 0, 'Gleichberechtigung': 0.16, 'Und': 0.06, 'wollen': 0.09, 'wir': 0}",neutral,"[0.4209402, 0.27792495, 0.3011349]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.2333333333333333,neutral,"@tho__hug @gerhardpfister Das ist so - ich bin aber sicher, dass sich die Stimmbevölkerung ein eigenes Bild gemacht hat. Im Sept kam ja auch ein linkes Anliegen (Vaterschaftsurlaub) durch: Man sollte uns die Mündigkeit nicht absprechen, nur weil man eine Abstimmung verliert.",sichern stimmbevölkerung eigen bild sept kommen ja link anliegen vaterschaftsurlaub sollen mündigkeit absprechen abstimmung verlieren,,,,,,,"{'Das': 0.06, 'ist': 0, 'so': 0, 'ich': 0.02, 'bin': 0, 'aber': 0.07, 'sicher': 0, 'dass': 0.08, 'sich': 0, 'die': 0.06, 'Stimmbevölkerung': 0, 'ein': 0, 'eigenes': 0.08, 'Bild': 0, 'gemacht': 0, 'hat': 0, 'Im': 0, 'Sept': 0, 'kam': 0.44, 'ja': 0, 'auch': 0, 'linkes': 0, 'Anliegen': 0, 'Vaterschaftsurlaub': 0.6299999999999999, 'durch': 0.44, 'Man': 0, 'sollte': 0, 'uns': 0, 'Mündigkeit': 0, 'nicht': 0, 'absprechen': 0, 'nur': 0, 'weil': 0.07, 'man': 0, 'eine': 0, 'Abstimmung': 0, 'verliert': 0}",negative,"[0.2564205, 0.7171447, 0.026434764]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Ein Ja zum #Vaterschaftsurlaub ist ein Nein zur Gleichstellung, denn die Elternzeit wird damit für Jahre vom Tisch sein.

Können wir bitte endlich im 21. Jahrhundert ankommen?
#Abstimmungen @Tamedia",ja vaterschaftsurlaub nein gleichstellung elternzeit jahre tisch bitte endlich jahrhundert ankommen abstimmungen,,,,,,,"{'Ein': 0.07, 'Ja': 0, 'zum': 0.045, 'Vaterschaftsurlaub': 0.06, 'ist': 0.12, 'ein': 0, 'Nein': 0.12, 'zur': 0.045, 'Gleichstellung': 0.13, 'denn': 0, 'die': 0.04, 'Elternzeit': 0.08, 'wird': 0.02, 'damit': 0.04, 'für': 0.03, 'Jahre': 0.04, 'vom': 0.04, 'Tisch': 0.07, 'sein': 0, 'Können': 0.03, 'wir': 0, 'bitte': 0, 'endlich': 0, 'im': 0, '21.': 0, 'Jahrhundert': 0.07, 'ankommen': 0.05, 'Abstimmungen': 0}",positive,"[0.018397039, 0.014489393, 0.9671136]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@sacovo Was hat Vaterschaftsurlaub damit zu tun ob du dir Kinder leisten kannst?
Warum können nur noch Reiche Kinder haben, wenn wir keine zwei Wochen Vaterschaftsurlaub einführen?

Wir als Schweizer wären schon längst ausgerottet, weil (Achtung) bisher gibt es keinen Vaterschaftsurlaub.",vaterschaftsurlaub tun kinder leisten warum reichen kinder zwei wochen vaterschaftsurlaub einfahren schweizer schon längst ausrotten achtung bisher geben vaterschaftsurlaub,,,,,,,"{'Was': 0, 'hat': 0, 'Vaterschaftsurlaub': 0.505, 'damit': 0.01, 'zu': 0.01, 'tun': 0.01, 'ob': 0, 'du': 0, 'dir': 0.01, 'Kinder': 0.01, 'leisten': 0.01, 'kannst': 0.01, 'Warum': 0.02, 'können': 0.02, 'nur': 0.01, 'noch': 0, 'Reiche': 0.02, 'haben': 0.02, 'wenn': 0.03, 'wir': 0, 'keine': 0, 'zwei': 0.01, 'Wochen': 0.05, 'einführen': 0.03, 'Wir': 0.02, 'als': 0.01, 'Schweizer': 0.01, 'wären': 0.02, 'schon': 0, 'längst': 0.04, 'ausgerottet': 0.03, 'weil': 0.3, 'Achtung': 0, 'bisher': 0, 'gibt': 0, 'es': 0, 'keinen': 0}",negative,"[0.039414912, 0.9538642, 0.0067209313]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@fri_velo @HobbesNils @lohnabzuegeNein Dann bringt der Vaterschaftsurlaub also nichts? Sind ja auch nur zwei Wochen und dann muss man entweder selber Ferien nehmen oder ist danach eben ""wieder weg"".
Familienplanung ist nicht Staatsaufgabe.",bringen vaterschaftsurlaub ja zwei wochen entweder selber ferien nehmen danach eben familienplanung staatsaufgabe,,,,,,,"{'Dann': 0.11, 'bringt': 0, 'der': 0, 'Vaterschaftsurlaub': 0.77, 'also': 0, 'nichts': 0, 'Sind': 0.04, 'ja': 0.14, 'auch': 0, 'nur': 0.16, 'zwei': 0.04, 'Wochen': 0.08, 'und': 0.14, 'dann': 0.11, 'muss': 0.02, 'man': 0, 'entweder': 0.08, 'selber': 0, 'Ferien': 0, 'nehmen': 0.02, 'oder': 0.07, 'ist': 0.04, 'danach': 0, 'eben': 0, 'wieder': 0, 'weg': 0, 'Familienplanung': 0.04, 'nicht': 0.05, 'Staatsaufgabe': 0.04}",negative,"[0.278104, 0.70868963, 0.013206332]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@HobbesNils @lohnabzuegeNein Nein, denn dieser ""Haufen"" sagt genau Nein zu etwas auf Kosten anderer: deinen Vaterschaftsurlaub, den der Steuerzahler zahlen soll. 

Hat's weh getan, sich selbst in's Bein zu schiessen?",nein haufen sagen genau nein kosten vaterschaftsurlaub steuerzahler zahlen s weh tun s bein schiessen,,,,,,,"{'Nein': 0.11, 'denn': 0, 'dieser': 0.08, 'Haufen': 0, 'sagt': 0, 'genau': 0, 'zu': 0.02, 'etwas': 0.05, 'auf': 0, 'Kosten': 0, 'anderer': 0, 'deinen': 0, 'Vaterschaftsurlaub': 0.55, 'den': 0.02, 'der': 0.02, 'Steuerzahler': 0.14, 'zahlen': 0, 'soll': 0, ""Hat's"": 0, 'weh': 0, 'getan': 0.22, 'sich': 0, 'selbst': 0, ""in's"": 0, 'Bein': 0, 'schiessen': 0.05}",neutral,"[0.7246273, 0.2561032, 0.01926952]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"Dass bei der Einteilung #Vaterschaftsurlaub / #Mutterschaftsurlaub der #frauenstreik2019 nicht auf die Barrikaden geht... Hallo Gleichstellung? Warum nicht 14 Wochen #Elternzeit + keine 8-Wochen-Regelung? Eltern sollen frei entscheiden, wie sie ihre Familie planen! @srfnews https://t.co/QuTs9Rc4Sy",einteilung vaterschaftsurlaub mutterschaftsurlaub frauenstreik2019 barrikaden gehen hallo gleichstellung warum wochen elternzeit wochen regelung eltern sollen frei entscheiden familie planen,,,,,,,"{'Dass': 0.06, 'bei': 0, 'der': 0.1, 'Einteilung': 0, 'Vaterschaftsurlaub': 0.03, 'Mutterschaftsurlaub': 0.03, 'frauenstreik2019': 0, 'nicht': 0.04, 'auf': 0, 'die': 0.1, 'Barrikaden': 0.1, 'geht': 0, '...': 0, 'Hallo': 0, 'Gleichstellung': 0.05, 'Warum': 0.05, '14': 0, 'Wochen': 0.04, 'Elternzeit': 0.03, 'keine': 0, '8-Wochen-Regelung': 0.04, 'Eltern': 0.04, 'sollen': 0.03, 'frei': 0, 'entscheiden': 0.03, 'wie': 0.03, 'sie': 0, 'ihre': 0.01, 'Familie': 0.03, 'planen': 0.03}",neutral,"[0.66862875, 0.03621515, 0.2951561]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"RT @lisakatharina: Man kann dagegen sein, Steuern zu senken, weil man mit dem Geld anderes machen will. Aber eine Steuersenkung für ""gefähr…",dagegen steuern senken geld steuersenkung gefähr,,,,,,,,,,"{'Man': 0, 'kann': 0.12, 'dagegen': 0.035, 'sein': 0, 'Steuern': 0, 'zu': 0.02, 'senken': 0, 'weil': 0.03, 'man': 0, 'mit': 0.02, 'dem': 0.025, 'Geld': 0.04, 'anderes': 0.04, 'machen': 0.03, 'will': 0, 'Aber': 0.59, 'eine': 0, 'Steuersenkung': 0.62, 'für': 0.35, 'gefähr': 0, '…': 0}",negative,"[0.12240663, 0.6897184, 0.18787496]",,,,,,,,,,,,,,,,,,,,,,negative
