answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@rudolf_mohler Ich bin für einen Vaterschaftsurlaub, gegen Kürzungen bei der Sozialhilfe und für Nachhilfegutscheine. Ich gebs ja zu...",vaterschaftsurlaub kürzungen sozialhilfe nachhilfegutscheine gebs ja,,,,,,,"{'Ich': 0.03, 'bin': 0, 'für': 0.16, 'einen': 0, 'Vaterschaftsurlaub': 0.38, 'gegen': 1.0, 'Kürzungen': 1.0, 'bei': 0, 'der': 0, 'Sozialhilfe': 0.2, 'und': 0.34, 'Nachhilfegutscheine': 0.19, 'gebs': 0, 'ja': 0.34, 'zu': 0, '...': 0}",positive,"[0.1467, 0.025713403, 0.8275866]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@David40045105 @MartinCJanssen @sonjakobert Das ""Schweizer Volk"" ist keine ""ethnische Nation"", sondern eine ""politische Nation"". Wer Schweizer*in ist, entscheidet nicht die ausschliesslich die Abstammung, sondern ein auch ein Einbürgerungsverfahren.",schweizer volk ethnisch nation politische nation wer schweizer entscheiden ausschliesslich abstammung einbürgerungsverfahren,,,,,,,,,,"{'Das': 0.69, 'Schweizer': 0.22, 'Volk': 0.04, 'ist': 0.14, 'keine': 0, 'ethnische': 0.07, 'Nation': 0.07, 'sondern': 0.32, 'eine': 0, 'politische': 0.1, 'Wer': 0.33, 'Schweizer*in': 0.22, 'entscheidet': 0, 'nicht': 0.31, 'die': 0.69, 'ausschliesslich': 0, 'Abstammung': 0, 'ein': 0, 'auch': 0.24, 'Einbürgerungsverfahren': 1.0}",neutral,"[0.9240456, 0.0029343388, 0.07302009]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"@Dave63680744 @CHKI86 @MarcoMinuz @RealRubenPhilip Wo habe ich gesagt, dass es kein Problem sei? Wenn aber jemand eingebürgert wurde, ist diese Person Schweizer*in. Punkt.
Man kann sich lange über Einwanderung oder Einbürgerung unterhalten/streiten, aber wer Schweizer*in ist das, fertig.",sagen problem jemand einbürgern person schweizer punkt lang einwanderung einbürgerung unterhalten streiten wer schweizer fertigen,,,,,,,,,,"{'Wo': 0.01, 'habe': 0, 'ich': 0.01, 'gesagt': 0, 'dass': 0.02, 'es': 0.02, 'kein': 0, 'Problem': 0.01, 'sei': 0, 'Wenn': 0, 'aber': 0.27, 'jemand': 0.02, 'eingebürgert': 0.02, 'wurde': 0, 'ist': 0.02, 'diese': 0, 'Person': 0.03, 'Schweizer*in': 0.03, 'Punkt': 0, 'Man': 0, 'kann': 0.07, 'sich': 0, 'lange': 0.04, 'über': 0, 'Einwanderung': 0.35, 'oder': 1.0, 'Einbürgerung': 1.0, 'unterhalten': 0, 'streiten': 0, 'wer': 0.06, 'das': 0.02, 'fertig': 0}",neutral,"[0.9897508, 0.0037670382, 0.0064822217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@gregorischmid @andreaskyriacou @nggalai @uelifisch @adfichter @glp_sg Und ihre Position zu Eheöffnung und Sterbehilfe ist der Grund dafür, weswegen wir auf einen Nationalratssitz verzichten sollen? Wir werden den Sitz zusammen mit SP und Grüne nicht machen.",position eheöffnung sterbehilfe grund dafür weswegen nationalratssitz verzichten sollen sitzen zusammen sp grüne,,,,,,,,,,,,,"{'Und': 0.03, 'ihre': 0, 'Position': 0.17, 'zu': 0, 'Eheöffnung': 1.0, 'und': 0.03, 'Sterbehilfe': 1.0, 'ist': 0.05, 'der': 0.02, 'Grund': 0, 'dafür': 0, 'weswegen': 0.03, 'wir': 0, 'auf': 0.36, 'einen': 0.02, 'Nationalratssitz': 0, 'verzichten': 0, 'sollen': 0.02, 'Wir': 0.02, 'werden': 0.02, 'den': 0.02, 'Sitz': 0.07, 'zusammen': 0.03, 'mit': 0.02, 'SP': 0.04, 'Grüne': 0, 'nicht': 0.02, 'machen': 0}",neutral,"[0.8476057, 0.088447794, 0.06394641]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,"@adfichter @gregorischmid Das Wahlsystem zwingt kleine Parteien dazu ideologische Zugeständisse zu machen. Und die EVP wegen ihrer Position zu #ehefüralle, Sterbehilfe und Co. jetzt derart auszuschliessen ist derart übertrieben.",wahlsystem zwingen kleine parteien ideologische zugeständisse evp wegen position ehefüralle sterbehilfe co derart auszuschliessen derart übertreiben,,,,,,,,,,,,,"{'Das': 0.09, 'Wahlsystem': 0.13, 'zwingt': 0.05, 'kleine': 0.03, 'Parteien': 0.07, 'dazu': 0.07, 'ideologische': 0.08, 'Zugeständisse': 0.07, 'zu': 0.07, 'machen': 0, 'Und': 0.27, 'die': 0.09, 'EVP': 0, 'wegen': 0.02, 'ihrer': 0.04, 'Position': 0.07, 'ehefüralle': 0, 'Sterbehilfe': 1.0, 'und': 0.27, 'Co.': 0, 'jetzt': 0.07, 'derart': 0.14, 'auszuschliessen': 0.17, 'ist': 0.1, 'übertrieben': 0.22}",neutral,"[0.8269093, 0.14776915, 0.025321491]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@MarcRudisuli Ich bin für Steuersenkungen immer zu haben, aber dieser Steuerabzug zementiert das traditionelle Familienbild und torpediert so das eigentliche Ziel der Vorlage.",steuersenkungen immer steuerabzug zementieren traditionell familienbild torpedieren eigentlich ziel vorlage,,,,,,,,,,,,,,,,"{'Ich': 0.23, 'bin': 0, 'für': 1.0, 'Steuersenkungen': 0.52, 'immer': 0.36, 'zu': 0, 'haben': 0, 'aber': 0.24, 'dieser': 0.15, 'Steuerabzug': 0.08499999999999999, 'zementiert': 0, 'das': 0, 'traditionelle': 0.04, 'Familienbild': 0.05, 'und': 0.04, 'torpediert': 0, 'so': 0, 'eigentliche': 0.03, 'Ziel': 0.07, 'der': 0.04, 'Vorlage': 0}",positive,"[0.4730945, 0.013301554, 0.513604]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,neutral,"@MFrauchigerSVP Wenn 85% der Eltern nicht profitieren und nur die 15% der reichsten Eltern, dann macht das nicht so Sinn. Steuersenkungen sind fast immer eine gute Idee, aber sicher nicht so.",eltern profitieren reich eltern sinn steuersenkungen fast immer gut idee sichern,,,,,,,,,,,,,,,,"{'Wenn': 0, 'der': 0.01, 'Eltern': 0.03, 'nicht': 1.0, 'profitieren': 0.03, 'und': 0.02, 'nur': 0.04, 'die': 0.01, 'reichsten': 0.02, 'dann': 0, 'macht': 0, 'das': 0.57, 'so': 0, 'Sinn': 0, 'Steuersenkungen': 0.4, 'sind': 0.19, 'fast': 0, 'immer': 0.55, 'eine': 0, 'gute': 0, 'Idee': 0, 'aber': 1.0, 'sicher': 0}",positive,"[0.23844846, 0.33602366, 0.42552793]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jglp_sg: Die Welt entwickelt sich weiter, ob mit oder ohne uns. Innovation ist gefordert! 

Unser Vorstoss zu erneuerbaren Energiequell…",welt entwickeln weit innovation fordern vorstoss erneuerbaren energiequell,,,,,,,,,,,,,,,,,,,"{'Die': 0.05, 'Welt': 0.06, 'entwickelt': 0, 'sich': 0, 'weiter': 0, 'ob': 0, 'mit': 0.05, 'oder': 0.07, 'ohne': 0.04, 'uns': 0.03, 'Innovation': 0.11, 'ist': 0.09, 'gefordert': 0.11, 'Unser': 1.0, 'Vorstoss': 0, 'zu': 0, 'erneuerbaren': 0.3, 'Energiequell': 0.11, '…': 0}",positive,"[0.025283875, 0.00560738, 0.9691087]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@HuslerLaurenz @RuediNoser Nuklearenergie, weil Erneuerbare subventioniert werden. Selten so gelacht.",nuklearenergie erneuerbare subventioniert selten lachen,,,,,,,,,,,,,,,,,,,"{'Nuklearenergie': 0.635, 'weil': 1.0, 'Erneuerbare': 0, 'subventioniert': 0.52, 'werden': 0, 'Selten': 0.55, 'so': 0.07, 'gelacht': 0.36}",neutral,"[0.4959237, 0.39926735, 0.10480893]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @bastiengirod: 6. Bezüglich Erneuerbare Energien ist der grosse Vorteil, dass die Lastkurve von Kühlgeräten mit Produktion von Solar übe…",bezüglich erneuerbare energien grosse vorteil lastkurve kühlgeräten produktion solar üben,,,,,,,,,,,,,,,,,,,"{'6.': 0, 'Bezüglich': 0.05, 'Erneuerbare': 1.0, 'Energien': 1.0, 'ist': 0.04, 'der': 0.06, 'grosse': 0, 'Vorteil': 0.19, 'dass': 0.05, 'die': 0.06, 'Lastkurve': 0.09, 'von': 0, 'Kühlgeräten': 0, 'mit': 0.05, 'Produktion': 0.11, 'Solar': 0.16, 'übe': 0, '…': 0}",positive,"[0.0041519757, 0.001720198, 0.99412787]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@ErdnussSir Die Frage in der Prüfung lautete übrigens: ""Was sind die Argumente für Hayek, die Marktwirtschaft als 'Spiel' zu verstehen?""",fragen prüfung lauten übrigens argumente hayek marktwirtschaft spiel verstehen,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.59, 'Frage': 0, 'in': 0.04, 'der': 0.59, 'Prüfung': 0, 'lautete': 0, 'übrigens': 0.19249999999999998, 'Was': 0.12, 'sind': 0.14, 'die': 0.59, 'Argumente': 0.87, 'für': 0.42, 'Hayek': 0.37, 'Marktwirtschaft': 0.7, 'als': 1.0, 'Spiel': 0.45, 'zu': 0.81, 'verstehen': 0.905}",neutral,"[0.8268834, 0.044226184, 0.12889042]",,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,positive,"Es ist wie in der Marktwirtschaft, nur weil man viel leistet (und das habe ich, immerhin den ganzen Wahlkampf der Partei gestemmt) bekommt nachher als Ergebnis nicht unbedingt mehr. ¯\_(ツ)_/¯

Manchmal schwierig zu akzeptieren, aber so ist es eben.",marktwirtschaft leisten immerhin ganz wahlkampf partei stemmen bekommen nachher ergebnis unbedingt mehr ツ manchmal schwierig akzeptieren eben,,,,,,,,,,,,,,,,,,,,,,"{'Es': 0.01, 'ist': 0.01, 'wie': 0, 'in': 1.0, 'der': 0.01, 'Marktwirtschaft': 0.315, 'nur': 0, 'weil': 0.07, 'man': 0, 'viel': 0.034999999999999996, 'leistet': 0, 'und': 0.02, 'das': 0.01, 'habe': 0, 'ich': 0.02, 'immerhin': 0.015, 'den': 0.01, 'ganzen': 0.01, 'Wahlkampf': 0.02, 'Partei': 0.01, 'gestemmt': 0, 'bekommt': 0, 'nachher': 0, 'als': 0.01, 'Ergebnis': 0.02, 'nicht': 0, 'unbedingt': 0.01, 'mehr': 0.02, '¯\\_(ツ)_/¯': 0, 'Manchmal': 0.505, 'schwierig': 0.03, 'zu': 0.01, 'akzeptieren': 0.03, 'aber': 0.01, 'so': 0, 'es': 0.01, 'eben': 0}",positive,"[0.010531625, 0.0033213263, 0.9861471]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"@EnzFelix @marcel_baur @JusoSchweiz @jevp_ch ""Es ist wie in der freien Marktwirtschaft, die Glück jedem verspricht, der ihre Ordnung – freiwillig – akzeptiert.""

Antikapitalismus in der NZZ 😂",frei marktwirtschaft glück jed versprechen ordnung freiwillig akzeptieren antikapitalismus nzz,,,,,,,,,,,,,,,,,,,,,,"{'Es': 0, 'ist': 0, 'wie': 0, 'in': 0, 'der': 0, 'freien': 1.0, 'Marktwirtschaft': 0.675, 'die': 0.04, 'Glück': 0.12, 'jedem': 0, 'verspricht': 0.16, 'ihre': 0, 'Ordnung': 0.07, '–': 0, 'freiwillig': 0, 'akzeptiert': 0, 'Antikapitalismus': 0, 'NZZ': 0}",positive,"[0.0020249358, 0.0013365692, 0.99663854]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Auf Papier kann ich ja noch nachvollziehen, aber einen Screenshot per Mail verschickt und dann ausgedruckt, jesses.
#Digitalisierung https://t.co/Nt09iXzauK",papier ja nachvollziehen screenshot per mail verschicken ausdrucken jesses digitalisierung,,,,,,,,,,,,,,,,,,,,,,,,,"{'Auf': 0.05, 'Papier': 0.09, 'kann': 0.04, 'ich': 0.03, 'ja': 0.04, 'noch': 0.04, 'nachvollziehen': 0, 'aber': 0.05, 'einen': 0.05, 'Screenshot': 0.13, 'per': 0, 'Mail': 0, 'verschickt': 0.05, 'und': 0.04, 'dann': 0.05, 'ausgedruckt': 0.075, 'jesses': 0.22, 'Digitalisierung': 1.0}",neutral,"[0.8690026, 0.009279306, 0.12171818]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Ich habe mich sehr auf diesen Podcast gefreut. Unbedingt anhören. Liberalismus und Umweltschutz gehören zusammen! https://t.co/xkKPS1fbJ4,podcast freuen unbedingt anhören liberalismus umweltschutz gehören zusammen,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Ich': 0.06, 'habe': 0, 'mich': 0, 'sehr': 0, 'auf': 0, 'diesen': 0.05, 'Podcast': 0.26, 'gefreut': 0, 'Unbedingt': 0, 'anhören': 0.33, 'Liberalismus': 1.0, 'und': 0.52, 'Umweltschutz': 0.76, 'gehören': 0.37, 'zusammen': 0.34}",positive,"[0.0013982604, 0.0011052693, 0.9974964]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@haeslii_f @MullerAltermatt @Jungfreisinnige @upschweiz @FDP_Liberalen Ich bin kein Gentechnik-Gegner, aber das klassische Umweltschutz-Millieu wirst du damit schlicht nicht überzeugen.",gentechnik gegner klassische umweltschutz millieu schleichen überzeugen,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Ich': 0.07, 'bin': 0, 'kein': 0, 'Gentechnik-Gegner': 0, 'aber': 0.08, 'das': 0, 'klassische': 1.0, 'Umweltschutz-Millieu': 0.785, 'wirst': 0.06, 'du': 0, 'damit': 0, 'schlicht': 0, 'nicht': 0.4, 'überzeugen': 0.43}",positive,"[0.29997417, 0.20064881, 0.49937695]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@AlainS1991 Ja, werden wir ja immer wieder. Was jetzt für Optionen auf dem Tisch liegen: EU-Beitritt, EWR-Beitritt, Unternehmensteuern senken. Alles mit dabei. So sollte es doch sein :)",ja ja immer optionen tisch liegen eu beitreten ewr beitreten unternehmensteuern senken dabei sollen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Ja': 0.03, 'werden': 0.05, 'wir': 0, 'ja': 0.03, 'immer': 0, 'wieder': 0.04, 'Was': 0, 'jetzt': 0.05, 'für': 0, 'Optionen': 0.1, 'auf': 0.02, 'dem': 0.03, 'Tisch': 0.03, 'liegen': 0, 'EU-Beitritt': 0.03, 'EWR-Beitritt': 0.04, 'Unternehmensteuern': 0.04, 'senken': 0, 'Alles': 0.16, 'mit': 0, 'dabei': 0.2, 'So': 0, 'sollte': 0.27, 'es': 0, 'doch': 0, 'sein': 0}",neutral,"[0.6551451, 0.15054885, 0.19430603]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@AlainS1991 @nomesnebs Das Argument ""EWR-Beitritt ist EU-Beitritt"", war schon damals falsch. Die meisten EWR-Mitglieder sind seither nicht der EU beigetreten. Aus verschiedenen Gründen.",argument ewr beitreten eu beitreten schon damals falsch meist ewr mitglieder seither eu beitreten verschieden gründen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Das': 0.08, 'Argument': 0.16, 'EWR-Beitritt': 0.08, 'ist': 0.04, 'EU-Beitritt': 0.09, 'war': 0, 'schon': 0, 'damals': 0.05, 'falsch': 0.21, 'Die': 0.08, 'meisten': 0.25, 'EWR-Mitglieder': 0.1, 'sind': 0, 'seither': 0.26, 'nicht': 0.21, 'der': 0.08, 'EU': 0, 'beigetreten': 0.08, 'Aus': 0, 'verschiedenen': 0, 'Gründen': 0}",neutral,"[0.6082706, 0.38590518, 0.0058242134]",,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@MFrauchigerSVP Wenn du die Guillotinenklausel scheisse findest, solltest du dich für ein Rahmenabkommen stark machen.

Den Seich mit ""faktischer EU-Beitritt"" hat man schon beim EWR erzählt. 🙃",guillotinenklausel scheisse finden sollen rahmenabkommen stark seich faktisch eu beitreten schon beim ewr erzählen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Wenn': 0, 'du': 0, 'die': 0.04, 'Guillotinenklausel': 0, 'scheisse': 0, 'findest': 0, 'solltest': 0.38, 'dich': 0.11, 'für': 0.04, 'ein': 0, 'Rahmenabkommen': 0.035, 'stark': 0, 'machen': 0, 'Den': 0.04, 'Seich': 0, 'mit': 0, 'faktischer': 0, 'EU-Beitritt': 0.105, 'hat': 0, 'man': 0, 'schon': 0, 'beim': 0.05500000000000001, 'EWR': 0, 'erzählt': 0.52}",neutral,"[0.74421835, 0.24032529, 0.015456405]",,,,,,,,,,positive
