answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"E-Voting, Automatisierung, Netzneutralität, Programmieren für Kinder: Meine #Grossratswahlen @smartvoteCH Antworten zur Digitalpolitik des Kantons Bern #WahlBE18 #BE18 https://t.co/FsRlYqF9Ze",e voting automatisierung netzneutralität programmieren kinder grossratswahlen antworten digitalpolitik kantons bern wahlbe18 be18,,,,,,,"{'E-Voting': 0, 'Automatisierung': 0.15, 'Netzneutralität': 0.115, 'Programmieren': 0, 'für': 0.08, 'Kinder': 0.1, 'Meine': 0.45, 'Grossratswahlen': 0, 'Antworten': 0, 'zur': 0.51, 'Digitalpolitik': 0.445, 'des': 0, 'Kantons': 0, 'Bern': 0.08, 'WahlBE18': 0, 'BE18': 0.18}",positive,"[0.3666962, 0.13891615, 0.49438757]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@vecirex @cwasi Die Genfer bauen eine Open Source E-Voting Plattform. Bist du da auch dagegen?,genfer bauen open source e voting plattform dagegen,,,,,,,"{'Die': 0.06, 'Genfer': 0.05, 'bauen': 0, 'eine': 0, 'Open': 0.03, 'Source': 0.06, 'E-Voting': 0, 'Plattform': 0.12, 'Bist': 0.715, 'du': 0, 'da': 0, 'auch': 0, 'dagegen': 0.06}",neutral,"[0.6506019, 0.31510592, 0.034292158]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"Wer noch nicht abgestimmt hat, jetzt ist höchste Eisenbahn: JA für die Einhaltung der Menschenrechte im Ausland @konzern_vi und JA zum Verbot von Kriegsmaterial-Finanzierung durch Pensionskassen etc. @kriegsgeschaeft https://t.co/NzDO7C0cgL",wer abstimmen hoch eisenbahn ja einhaltung menschenrechte ausland ja verbieten kriegsmaterial finanzierung pensionskassen etc,,,,,,,,,,"{'Wer': 0, 'noch': 0, 'nicht': 0.03, 'abgestimmt': 0.18, 'hat': 0, 'jetzt': 0.02, 'ist': 0.03, 'höchste': 0.08, 'Eisenbahn': 0.29, 'JA': 0.06, 'für': 0.07, 'die': 0.38, 'Einhaltung': 0, 'der': 0.38, 'Menschenrechte': 0.195, 'im': 0, 'Ausland': 0.11, 'und': 0.06, 'zum': 0.235, 'Verbot': 0, 'von': 0, 'Kriegsmaterial-Finanzierung': 0.995, 'durch': 0, 'Pensionskassen': 0.195, 'etc.': 0}",neutral,"[0.8845585, 0.033143952, 0.082297534]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @evppev_be: Die EVP BE befür­wor­tet sowohl das Ver­bot der Finan­zie­rung von #Kriegsmaterial-Pro­du­zen­ten wie auch die #Konzernveran…,evp be befür wor tet sowohl ver bieten finan zie rung kriegsmaterial pro zen ten konzernveran,,,,,,,,,,"{'Die': 0.08, 'EVP': 0, 'BE': 0.09, 'befür\xadwor\xadtet': 0, 'sowohl': 0.095, 'das': 0, 'Ver\xadbot': 0, 'der': 0.08, 'Finan\xadzie\xadrung': 0, 'von': 0, 'Kriegsmaterial-Pro\xaddu\xadzen\xadten': 0.1125, 'wie': 0, 'auch': 0, 'die': 0.08, 'Konzernveran': 0.06, '…': 0}",neutral,"[0.66243, 0.12970553, 0.20786443]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Heutiger Start der 2021 @researchdigisus Vorlesung #DigitaleNachhaltigkeit ist geglückt! Rund 70 @unibern Informatik-Studierenden interessieren sich dieses Semester für Themen rund um Digitalisierung und Nachhaltigkeit. Überblick und Aufzeichnungen auf https://t.co/QomabGM1XJ https://t.co/ouddyyoBUZ,heutig start vorlesung digitalenachhaltigkeit glücken rund informatik studierend interessieren semester themen rund digitalisierung nachhaltigkeit überblick aufzeichnungen,,,,,,,,,,,,,"{'Heutiger': 0.03, 'Start': 0.03, 'der': 0.02, 'Vorlesung': 0.08, 'DigitaleNachhaltigkeit': 0.52, 'ist': 0, 'geglückt': 0.07, 'Rund': 0.07, 'Informatik-Studierenden': 0.1, 'interessieren': 0.51, 'sich': 0, 'dieses': 0.1, 'Semester': 0.09, 'für': 0, 'Themen': 0, 'rund': 0.07, 'um': 0, 'Digitalisierung': 0, 'und': 0.07, 'Nachhaltigkeit': 0.52, 'Überblick': 0.13, 'Aufzeichnungen': 0.13, 'auf': 0.14}",neutral,"[0.64362824, 0.00566993, 0.35070178]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @researchdigisus: Weiter geht‘s mit #flaviocurti von @itnovum. Mit #SMART-en Plattformen &amp; Daten als Treiber für die Digitalisierung. 
D…",weit gehen s flaviocurti smart en plattformen amp daten treiber digitalisierung d,,,,,,,,,,,,,"{'Weiter': 0.05, 'geht': 0, '‘': 0, 's': 0, 'mit': 0, 'flaviocurti': 0, 'von': 0, 'Mit': 0, 'SMART-en': 0, 'Plattformen': 0, 'amp': 0, 'Daten': 0, 'als': 0, 'Treiber': 0, 'für': 0, 'die': 0, 'Digitalisierung': 0, 'D': 0, '…': 0}",neutral,"[0.94367594, 0.0068756095, 0.049448464]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @researchdigisus: Der erste Vortrag von @branderd von @snowflakeCH zu Interoperabilität von Open Source als Digitalisierungsgrundlage: ""…",erste vortrag interoperabilität open source digitalisierungsgrundlage,,,,,,,,,,,,,"{'Der': 0.23, 'erste': 0.11, 'Vortrag': 0, 'von': 0.12, 'zu': 0.1, 'Interoperabilität': 0.12, 'Open': 0.04, 'Source': 0.07, 'als': 0.05, 'Digitalisierungsgrundlage': 0.135, '…': 0}",neutral,"[0.58098996, 0.018175773, 0.40083426]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @researchdigisus: Mittwoch &amp; Donnerstag findet der #NLP-Hackathon vom Kompetenznetzwerk Digitalisierung (CND) der @unibern und @DH_unibe…,mittwoch amp donnerstag finden nlp hackathon kompetenznetzwerk digitalisierung cnd,,,,,,,,,,,,,"{'Mittwoch': 0.41, 'amp': 0.14, 'Donnerstag': 0, 'findet': 0, 'der': 0.2, 'NLP-Hackathon': 0, 'vom': 0.49, 'Kompetenznetzwerk': 0.08499999999999999, 'Digitalisierung': 0, 'CND': 0.09, 'und': 0.13, '…': 0}",neutral,"[0.8628411, 0.019491982, 0.11766684]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@EMdeBoer @marcelsalathe @hannesgassert @chplusplus Beispielsweise eine fachlich fundierte, neutrale Pro- und Contra Auslegung zur #eID Abstimmung: Was sagen die Digitalisierungs-Promotor*innen von @chplusplus zu @E_ID_Info bzw. @e_id_referendum?",beispielsweise fachlich fundieren neutral pro contra auslegung eid abstimmung sagen digitalisierungs promotor innen bzw,,,,,,,,,,,,,"{'Beispielsweise': 0.06, 'eine': 0, 'fachlich': 0, 'fundierte': 0, 'neutrale': 0.05, 'Pro-': 0, 'und': 0.02, 'Contra': 0, 'Auslegung': 0, 'zur': 0.26, 'eID': 0.06, 'Abstimmung': 0, 'Was': 0, 'sagen': 0.86, 'die': 0.26, 'Digitalisierungs-Promotor*innen': 0.34500000000000003, 'von': 0, 'zu': 0, 'bzw.': 0}",neutral,"[0.9414937, 0.05145084, 0.0070554432]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,"@EMdeBoer @marcelsalathe @hannesgassert @chplusplus Sehr gut! Dann bin ich gespannt, was @chplusplus mehr und besser macht als all die anderen 37 IT- und Digitalisierungs- und Daten-Vereine, -Verbände und -Initiativen, die es in der CH gibt ;)",gut spannen mehr gut all it digitalisierungs daten vereine verbände initiativen ch geben,,,,,,,,,,,,,"{'Sehr': 0.04, 'gut': 0, 'Dann': 0.06, 'bin': 0, 'ich': 0.02, 'gespannt': 0, 'was': 0, 'mehr': 0.03, 'und': 0.15, 'besser': 0.04, 'macht': 0, 'als': 0, 'all': 0.09, 'die': 0.07, 'anderen': 0, 'IT-': 0, 'Digitalisierungs-': 1.0, 'Daten-Vereine': 0.08, '-Verbände': 0.09, '-Initiativen': 0.11, 'es': 0, 'in': 0.14, 'der': 0.07, 'CH': 0, 'gibt': 0}",positive,"[0.012346514, 0.0022783226, 0.98537517]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @s_sommaruga: Darin sind wir uns alle einig: Die Digitalisierung ist wichtig für die Zukunft der Schweiz. Die E-ID bringt uns hier vorwä…,darin all digitalisierung wichtig zukunft schweiz e id bringen vorwä,,,,,,,,,,,,,"{'Darin': 0.17, 'sind': 0, 'wir': 0, 'uns': 0.07, 'alle': 0, 'einig': 0, 'Die': 0.1, 'Digitalisierung': 0, 'ist': 0.61, 'wichtig': 1.0, 'für': 0.79, 'die': 0.1, 'Zukunft': 0.34, 'der': 0.1, 'Schweiz': 0.18, 'E-ID': 0, 'bringt': 0.09, 'hier': 0.08, 'vorwä': 0, '…': 0}",positive,"[0.0068364926, 0.0031678828, 0.9899956]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@AnaelJAmbers Jetzt mal nicht überbeissen: Wir hinterlassen täglich tausendfach Spuren im Netz, insbesondere bei den Tech Giganten. Wer jetzt die staatlich perfekte Lösung fordert, betreibt Symbolpolitik und bremst vor allem die Digitalisierung in der Verwaltung. (1/2)",mal überbeissen hinterlassen täglich tausendfach spuren netz insbesondere tech giganten wer staatlich perfekte lösung fordern betreiben symbolpolitik bremsen digitalisierung verwaltung,,,,,,,,,,,,,"{'Jetzt': 0.03, 'mal': 0, 'nicht': 0, 'überbeissen': 0, 'Wir': 0.03, 'hinterlassen': 0.07, 'täglich': 0.025, 'tausendfach': 0, 'Spuren': 0, 'im': 0, 'Netz': 0, 'insbesondere': 0.24, 'bei': 0, 'den': 0.06, 'Tech': 0.04, 'Giganten': 0.03, 'Wer': 0.07, 'jetzt': 0.03, 'die': 0.06, 'staatlich': 0, 'perfekte': 0.04, 'Lösung': 0.07, 'fordert': 0, 'betreibt': 0, 'Symbolpolitik': 0.11, 'und': 0.16, 'bremst': 0, 'vor': 0, 'allem': 0, 'Digitalisierung': 0.75, 'in': 0.24, 'der': 0.06, 'Verwaltung': 0.15}",negative,"[0.020019637, 0.8070335, 0.17294684]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @acendch: Der vierte #acendtenDaysofThanks geht an @DigitalImpactCH für den unermüdlichen Einsatz zur Förderung der Digitalisierung der…,vierte acendtendaysofthanks gehen unermüdlich einsatz förderung digitalisierung,,,,,,,,,,,,,"{'Der': 0.24, 'vierte': 0.06, 'acendtenDaysofThanks': 0.4, 'geht': 0.05, 'an': 0, 'für': 0.06, 'den': 0.24, 'unermüdlichen': 0.28, 'Einsatz': 0, 'zur': 0.16499999999999998, 'Förderung': 0, 'der': 0.24, 'Digitalisierung': 0, '…': 0}",positive,"[0.053382702, 0.057183858, 0.88943344]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @EdithGraf: ⁦@parldigi⁩ ⁦@UZH_dsi⁩ bieten Veranstaltungsreihe zu relevanten Themen der Digitalisierung für ⁦@ParlCH⁩. Freue mich dabei z…,bieten veranstaltungsreihe relevant themen digitalisierung freuen dabei z,,,,,,,,,,,,,"{'\u2066\u2069': 0, 'bieten': 0, 'Veranstaltungsreihe': 0, 'zu': 0, 'relevanten': 0, 'Themen': 0, 'der': 0, 'Digitalisierung': 0, 'für': 0, '\u2066\u2069.': 0, 'Freue': 0, 'mich': 0, 'dabei': 0, 'z': 0, '…': 0}",positive,"[0.008249749, 0.0015574138, 0.9901929]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Am kommenden Montag wird Philosoph und Physiker Prof. Claus Beisbart zu ""Was sind ethische Algorithmen?"" im Rahmen des @unibern @DigitalImpactCH Roundtable Digitalisierung referieren und diskutieren. Es hat noch virtuelle Plätze frei ;) https://t.co/C85WC01X3D https://t.co/W9UwGNHX8b",kommend montag philosoph physiker prof claus beisbart ethische algorithmen rahmen roundtable digitalisierung referieren diskutieren virtuelle plätze frei,,,,,,,,,,,,,"{'Am': 0, 'kommenden': 0, 'Montag': 0.02, 'wird': 0.05, 'Philosoph': 0.03, 'und': 0.07, 'Physiker': 0.03, 'Prof.': 0, 'Claus': 0.03, 'Beisbart': 0.03, 'zu': 0, 'Was': 0, 'sind': 0.09, 'ethische': 0.05, 'Algorithmen': 0.03, 'im': 0, 'Rahmen': 0, 'des': 0, 'Roundtable': 0.38, 'Digitalisierung': 0, 'referieren': 0.15, 'diskutieren': 0, 'Es': 0, 'hat': 0, 'noch': 0.09, 'virtuelle': 0.1, 'Plätze': 0, 'frei': 0}",neutral,"[0.9726565, 0.005217811, 0.022125648]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @inside_it: Genf soll internationaler Digitalisierungs-Hub werden
Der Bundesrat legt eine Strategie einer Digital-Aussenpolitik vor. Gen…",genf international digitalisierungs hub bundesrat legen strategie digital aussenpolitik gen,,,,,,,,,,,,,"{'Genf': 0.16, 'soll': 0, 'internationaler': 0.06, 'Digitalisierungs-Hub': 0, 'werden': 0, 'Der': 0.12, 'Bundesrat': 0.07, 'legt': 0, 'eine': 0, 'Strategie': 0.07, 'einer': 0, 'Digital-Aussenpolitik': 0.07250000000000001, 'vor': 0, 'Gen': 0, '…': 0}",positive,"[0.01535923, 0.0028233896, 0.9818173]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @cwasi: Heute zu Gast an #BernerDigitaltage. Die Schweiz muss Gas geben in der Digitalisierung:
📲Ja zum #eID-Gesetz und rasche Umsetzung…",heute gast bernerdigitaltage schweiz gas geben digitalisierung ja eid gesetz rasch umsetzung,,,,,,,,,,,,,"{'Heute': 0.06, 'zu': 0.09, 'Gast': 0, 'an': 0, 'BernerDigitaltage': 0, 'Die': 0.08, 'Schweiz': 0.1, 'muss': 0.09, 'Gas': 0.7, 'geben': 0, 'in': 1.0, 'der': 0.08, 'Digitalisierung': 0, 'Ja': 0.07, 'zum': 0.08499999999999999, 'eID-Gesetz': 0.07500000000000001, 'und': 0.07, 'rasche': 0.1, 'Umsetzung': 0.1, '…': 0}",positive,"[0.26939467, 0.025754657, 0.7048507]",,,,,,,,,,,,,,,,neutral
