answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3448,absa_sentiment_3448,absa_scores_3448,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,neutral,"Erst vor 50 Jahren wurde das #Frauenstimmrecht in der 🇨🇭 eingeführt. Und es gibt noch viel zu tun. Ich bin stolz, für ein Unternehmen zu arbeiten, das als eines der Ersten den Lohngleichheitsdialog durchgeführt und erfolgreich abgeschlossen hat. #equalpay https://t.co/Cj86IVp3Nm https://t.co/cxGaRKiXGW",erst jahren frauenstimmrecht einführen geben tun stolz unternehmen arbeiten erst lohngleichheitsdialog durchführen erfolgreich abschließen equalpay,,,,,,,,,,,,,"{'Erst': 0.02, 'vor': 0, '50': 0, 'Jahren': 0.02, 'wurde': 0, 'das': 0, 'Frauenstimmrecht': 0, 'in': 0.01, 'der': 0, '🇨': 0, '🇭': 0, 'eingeführt': 0, 'Und': 0, 'es': 0, 'gibt': 0, 'noch': 0, 'viel': 0, 'zu': 0, 'tun': 0, 'Ich': 0, 'bin': 0, 'stolz': 0, 'für': 0, 'ein': 0, 'Unternehmen': 0, 'arbeiten': 0, 'als': 0, 'eines': 0, 'Ersten': 0, 'den': 0, 'Lohngleichheitsdialog': 0, 'durchgeführt': 0, 'und': 0, 'erfolgreich': 0, 'abgeschlossen': 0, 'hat': 0, 'equalpay': 0}",positive,"[0.08778466, 0.0063503035, 0.905865]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Werner Luginbühl zur #Lohngleichheit. #session #gleichstellung @alliance_F https://t.co/ta5ojNlRwV,werner luginbühl lohngleichheit session gleichstellung,,,,,,,,,,,,,"{'Werner': 0.52, 'Luginbühl': 0, 'zur': 0, 'Lohngleichheit': 0, 'session': 0.2, 'gleichstellung': 0.26}",positive,"[0.110685006, 0.009897799, 0.87941724]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"@oscarmachtmiau @mcw_bern @MichelleRenaud1 @rolnam @cwasi @PoliceBern @klimastreik Wir reden hier von der Schweiz. In der Schweiz wird kein fossiler Energieträger gefördert. Die Politik hat nicht nichts gemacht. ES2050 reicht nicht, ich weiss dass mehr gehen muss. Ball tief halten.",reden schweiz schweiz fossil energieträger fördern politik es2050 reichen weiss mehr gehen ball tief halten,,,,,,,,,,,,,,,,"{'Wir': 0.06, 'reden': 0, 'hier': 0.2, 'von': 0, 'der': 0, 'Schweiz': 0.77, 'In': 0.34, 'wird': 0, 'kein': 1.0, 'fossiler': 0.97, 'Energieträger': 0, 'gefördert': 0.92, 'Die': 0, 'Politik': 0, 'hat': 0, 'nicht': 0.08, 'nichts': 0, 'gemacht': 0, 'ES2050': 0.11, 'reicht': 0, 'ich': 0.04, 'weiss': 0, 'dass': 0.06, 'mehr': 0.05, 'gehen': 0, 'muss': 0.03, 'Ball': 0.06, 'tief': 0, 'halten': 0}",neutral,"[0.6562481, 0.2914737, 0.05227824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @Mitte_Centre: 🔸Einfachere #Bewilligungsverfahren für erneuerbare Energien für den #Bürokratieabbau https://t.co/6A1wa6zSVU,einfach bewilligungsverfahren erneuerbare energien bürokratieabbau,,,,,,,,,,,,,,,,,,,"{'Einfachere': 0.48, 'Bewilligungsverfahren': 0.48, 'für': 0.33, 'erneuerbare': 0.83, 'Energien': 0.7, 'den': 0.11, 'Bürokratieabbau': 0.17}",positive,"[0.18770513, 0.041279193, 0.77101564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Interview mit @axpo Chef in der @AargauerZeitung: PV alleine reicht nicht, es braucht auch #Windkraft . Aber wir müssen die Verfahren ändern. Meine Worte! #Es2050 #ErneuerbareEnergien https://t.co/sMU0QSZ3HV",interview chef pv alleine reichen brauchen windkraft müssen verfahren ändern worte es2050 erneuerbareenergien,,,,,,,,,,,,,,,,,,,"{'Interview': 0.05, 'mit': 0.02, 'Chef': 0, 'in': 0.02, 'der': 0.06, 'PV': 0.05, 'alleine': 0.04, 'reicht': 0, 'nicht': 0.08, 'es': 0.04, 'braucht': 0.05, 'auch': 0.08, 'Windkraft': 0.045, 'Aber': 0.06, 'wir': 0, 'müssen': 0.055, 'die': 0.06, 'Verfahren': 0, 'ändern': 0.08, 'Meine': 0.08, 'Worte': 0.16, 'Es2050': 0.76, 'ErneuerbareEnergien': 0.57}",positive,"[0.14375292, 0.021641025, 0.83460605]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Die #Sonne scheint gratis. Nutzenwir ihre #Energie!Der Solarstrommarkt in der Schweiz ist letztes Jahr um fast 50% gewachsen. Doch es braucht ein noch stärkeres Wachstum sollen die fossilen Brennstoffe durch erneuerbare ersetzt werden. #dekarbonisierung https://t.co/PVUzH26Lzu https://t.co/0rhgocJAi6,sonne scheinen gratis nutzenwir energie solarstrommarkt schweiz letzt jahr fast wachsen brauchen stark wachstum sollen fossil brennstoffe erneuerbare ersetzen dekarbonisierung,,,,,,,,,,,,,,,,,,,"{'Die': 0.04, 'Sonne': 0.04, 'scheint': 0.03, 'gratis': 0.03, 'Nutzenwir': 0.02, 'ihre': 0, 'Energie': 0.04, 'Der': 0.04, 'Solarstrommarkt': 0, 'in': 0.03, 'der': 0.04, 'Schweiz': 0.06, 'ist': 0.02, 'letztes': 0.02, 'Jahr': 0.03, 'um': 0, 'fast': 0, '50': 0, 'gewachsen': 0, 'Doch': 0.03, 'es': 0.02, 'braucht': 0, 'ein': 0, 'noch': 0, 'stärkeres': 0.03, 'Wachstum': 0.08, 'sollen': 0, 'die': 0.04, 'fossilen': 0.07, 'Brennstoffe': 0.09, 'durch': 0, 'erneuerbare': 0.09, 'ersetzt': 0.06, 'werden': 0, 'dekarbonisierung': 1.0}",neutral,"[0.6721459, 0.123188004, 0.2046661]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Erneuerbare Energien werden in der Schweiz von Gemeinde zu Gemeinde unterschiedlich gefördert. Mittels PLZ-Eingabe können Unternehmen und Privatpersonen ermitteln, von welchen Förderprogrammen sie profitieren können. #decarbonization #sustainability https://t.co/T90Ff9ZrOl",erneuerbare energien schweiz gemeinden gemeinden unterschiedlich fördern mittels plz eingabe unternehmen privatpersonen ermitteln welch förderprogrammen profitieren decarbonization sustainability,,,,,,,,,,,,,,,,,,,"{'Erneuerbare': 0.76, 'Energien': 0.22, 'werden': 0, 'in': 0.42, 'der': 0, 'Schweiz': 0.26, 'von': 0.05, 'Gemeinde': 0, 'zu': 0.12, 'unterschiedlich': 0, 'gefördert': 1.0, 'Mittels': 0, 'PLZ-Eingabe': 0, 'können': 0, 'Unternehmen': 0, 'und': 0.06, 'Privatpersonen': 0.05, 'ermitteln': 0, 'welchen': 0.06, 'Förderprogrammen': 0.05, 'sie': 0, 'profitieren': 0.04, 'decarbonization': 0.12, 'sustainability': 0.09}",neutral,"[0.9446203, 0.014295424, 0.041084256]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Erneuerbare Energien stellen die Stromversorgung vor Herausforderungen. Wie begegnet man diesen? Vielversprechende Ansätze entstehen aktuell am Grid Edge – der Schnittstelle zwischen Netz und Verbrauchern. #gridedge #decarbonisation #klimawandel
https://t.co/10R8ebwLwb",erneuerbare energien stellen stromversorgung herausforderungen begegnen vielversprechend ansätze entstehen aktuell grid edge schnittstelle netz verbrauchern gridedge decarbonisation klimawandel,,,,,,,,,,,,,,,,,,,"{'Erneuerbare': 0.41, 'Energien': 0.51, 'stellen': 0, 'die': 0.03, 'Stromversorgung': 0.085, 'vor': 0, 'Herausforderungen': 1.0, 'Wie': 0, 'begegnet': 0, 'man': 0, 'diesen': 0, 'Vielversprechende': 0.06, 'Ansätze': 0.07, 'entstehen': 0, 'aktuell': 0, 'am': 0, 'Grid': 0.05, 'Edge': 0.03, '–': 0, 'der': 0, 'Schnittstelle': 0, 'zwischen': 0, 'Netz': 0, 'und': 0, 'Verbrauchern': 0, 'gridedge': 0, 'decarbonisation': 0, 'klimawandel': 0}",positive,"[0.018990275, 0.36305833, 0.61795145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"#Batteriespeicher ermöglichen es, die Produktion erneuerbarer Energien zeitlich von deren Verbrauch zu entkoppeln. Dementsprechend steigen Zahl und Größe der Systeme an – und damit steigt die Gefahr elektrisch verursachter Brände. Erfahren Sie mehr 👉 https://t.co/NixyDeFFY2 https://t.co/qTsJFtzH1S",batteriespeicher ermöglichen produktion erneuerbarer energien zeitlich verbrauch entkoppeln dementsprechend steigen zahl größe systeme steigen gefahr elektrisch verursacht brände erfahren mehr,,,,,,,,,,,,,,,,,,,"{'Batteriespeicher': 0, 'ermöglichen': 0, 'es': 0, 'die': 0, 'Produktion': 0.07, 'erneuerbarer': 0.05, 'Energien': 0.06, 'zeitlich': 0, 'von': 0.06, 'deren': 0, 'Verbrauch': 0.09, 'zu': 0.04, 'entkoppeln': 0.11, 'Dementsprechend': 0.09, 'steigen': 0, 'Zahl': 0.04, 'und': 0, 'Größe': 0.06, 'der': 0.07, 'Systeme': 0.11, 'an': 0, '–': 0, 'damit': 0, 'steigt': 0, 'Gefahr': 0, 'elektrisch': 0, 'verursachter': 0, 'Brände': 0, 'Erfahren': 0, 'Sie': 0, 'mehr': 0}",positive,"[0.1628518, 0.051093776, 0.78605443]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,RT @Siemens_Schweiz: Der Bedarf an Batteriespeichern für erneuerbare Energien wird in Zukunft massiv steigen. Könnten neben den bekannten L…,bedarf batteriespeichern erneuerbare energien zukunft massiv steigen neben bekannt l,,,,,,,,,,,,,,,,,,,"{'Der': 0.38, 'Bedarf': 0, 'an': 0, 'Batteriespeichern': 0.155, 'für': 0.14, 'erneuerbare': 0.31, 'Energien': 0.16, 'wird': 0.08, 'in': 0.21, 'Zukunft': 0.11, 'massiv': 0, 'steigen': 0, 'Könnten': 0, 'neben': 0, 'den': 0.38, 'bekannten': 0.49, 'L': 0.56, '…': 0}",positive,"[0.029354978, 0.025076326, 0.9455687]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,0.0,14.0,-0.5,neutral,RT @SwissSmallHydro: Als die #Energiewende noch Realität war... Schade dass diese Form von erneuerbarer Stromerzeugung heute so wenig Beach…,energiewende realität schaden form erneuerbarer stromerzeugung heute wenig beach,,,,,,,,,,,,,,,,,,,"{'Als': 0.11, 'die': 0.07, 'Energiewende': 0.07, 'noch': 0.09, 'Realität': 0.13, 'war': 0, '...': 0, 'Schade': 0, 'dass': 0.54, 'diese': 0.3, 'Form': 0.23, 'von': 0, 'erneuerbarer': 0.69, 'Stromerzeugung': 0.1, 'heute': 0.12, 'so': 0.14, 'wenig': 0.1, 'Beach': 0.08, '…': 0}",negative,"[0.012039713, 0.91688526, 0.07107497]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @Siemens_Schweiz: In Sachen Energie wird es künftig um 3 grosse Themen gehen: #EMobilität, #Energieeffizienz und #erneuerbareEnergien. I…",sachen energie künftig grosse themen gehen emobilität energieeffizienz erneuerbareenergien i,,,,,,,,,,,,,,,,,,,"{'In': 0.03, 'Sachen': 0, 'Energie': 0.04, 'wird': 0.04, 'es': 0, 'künftig': 0.07, 'um': 0, '3': 0, 'grosse': 0, 'Themen': 0, 'gehen': 0, 'EMobilität': 0, 'Energieeffizienz': 0.075, 'und': 0.48, 'erneuerbareEnergien': 0.16499999999999998, 'I': 1.0, '…': 0}",positive,"[0.010504896, 0.004092624, 0.98540246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Soeben hat der Nationalrat meine Motion: 
""Volkswirtschaftlich effiziente Integration erneuerbarer Energien in die Stromnetze"" angenommen.  #ES2050 #Herbstsession #Fotovoltaik  https://t.co/rZRR2RfZnH",soeben nationalrat motion volkswirtschaftlich effiziente integration erneuerbarer energien stromnetze annehmen es2050 herbstsession fotovoltaik,,,,,,,,,,,,,,,,,,,"{'Soeben': 0.03, 'hat': 0, 'der': 0.12, 'Nationalrat': 0.075, 'meine': 0.04, 'Motion': 0.21, 'Volkswirtschaftlich': 0.85, 'effiziente': 1.0, 'Integration': 1.0, 'erneuerbarer': 0.92, 'Energien': 0.2, 'in': 0, 'die': 0.12, 'Stromnetze': 0.095, 'angenommen': 0, 'ES2050': 0.07, 'Herbstsession': 0.06, 'Fotovoltaik': 0}",positive,"[0.0028995427, 0.0020113382, 0.9950891]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@keller885 @20min Lieber Urs Keller. Wir brauchen keine Störefriede, wir brauchen Macher: Ich wette kein einzige dieser Aktivisten hat je einen Sonnenkollektor, PV Anlage, Wärmepumpe installiert oder sonst etwas mit erneuerbaren Energien konkret gearbeitet.",lieb urs keller brauchen störefriede brauchen macher wette einzig aktivisten je sonnenkollektor pv anlage wärmepumpe installieren erneuerbaren energien konkret arbeiten,,,,,,,,,,,,,,,,,,,"{'Lieber': 0.04, 'Urs': 0.06, 'Keller': 0.06, 'Wir': 0.02, 'brauchen': 0.03, 'keine': 0, 'Störefriede': 0, 'wir': 0, 'Macher': 0, 'Ich': 0.03, 'wette': 0.06, 'kein': 0, 'einzige': 0, 'dieser': 0, 'Aktivisten': 0.09, 'hat': 0, 'je': 0, 'einen': 0.05, 'Sonnenkollektor': 0.13, 'PV': 0.1, 'Anlage': 0, 'Wärmepumpe': 0.10500000000000001, 'installiert': 0.09, 'oder': 0.06, 'sonst': 0, 'etwas': 0, 'mit': 0.35, 'erneuerbaren': 1.0, 'Energien': 1.0, 'konkret': 0, 'gearbeitet': 0}",positive,"[0.20129494, 0.03654571, 0.76215935]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @vse_aes: Heute in der Handelszeitung: Die Elektromobilität ist zunehmend auf Strom aus erneuerbaren Energien angewiesen. Wollen wir die…,heute handelszeitung elektromobilität zunehmen strom erneuerbaren energien anweisen,,,,,,,,,,,,,,,,,,,"{'Heute': 0.13, 'in': 0.06, 'der': 0.06, 'Handelszeitung': 0, 'Die': 0.06, 'Elektromobilität': 0.33, 'ist': 0.51, 'zunehmend': 1.0, 'auf': 0.17, 'Strom': 0, 'aus': 0, 'erneuerbaren': 0.59, 'Energien': 0.12, 'angewiesen': 0, 'Wollen': 0.09, 'wir': 0, 'die': 0.06, '…': 0}",negative,"[0.3139133, 0.629699, 0.056387767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@FranzStirnimann @BDPSchweiz @LandoltMartin Lieber Herr Stirnimann: Die BDP hat sich stets für den geordneten Ausstieg aus der Kernenergie eingesetzt: Sprich Aufbau erneuerbarer Energien, keine neuen KKW. NIE hat die BDP Kohlestromimporte propagiert.",lieb herr stirnimann bdp stets geordnet aussteigen kernenergie einsetzen sprechen aufbau erneuerbarer energien neu kkw nie bdp kohlestromimporte propagieren,,,,,,,,,,,,,,,,,,,"{'Lieber': 0.05, 'Herr': 0, 'Stirnimann': 0.13, 'Die': 0.07, 'BDP': 0.1, 'hat': 0, 'sich': 0, 'stets': 0.02, 'für': 0, 'den': 0.07, 'geordneten': 0.08, 'Ausstieg': 0, 'aus': 0.03, 'der': 0.07, 'Kernenergie': 0.13, 'eingesetzt': 0, 'Sprich': 0, 'Aufbau': 0, 'erneuerbarer': 1.0, 'Energien': 1.0, 'keine': 0, 'neuen': 0.11, 'KKW': 0, 'NIE': 0.28, 'die': 0.07, 'Kohlestromimporte': 0.1, 'propagiert': 0.11}",positive,"[0.15700708, 0.12990464, 0.7130883]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Ich bedaure sehr, dass diese sinnvolle erneuerbare Energie - die Wasserkraft - in der ES2050 nicht stärker unterstützt wurde. https://t.co/mPaxMzqNDh",bedaure sinnvoll erneuerbare energie wasserkraft es2050 stark unterstützen,,,,,,,,,,,,,,,,,,,"{'Ich': 0.17, 'bedaure': 0, 'sehr': 0.12, 'dass': 0.28, 'diese': 0.53, 'sinnvolle': 0, 'erneuerbare': 1.0, 'Energie': 0.65, 'die': 0.16, 'Wasserkraft': 0.54, 'in': 0.11, 'der': 0.16, 'ES2050': 0.29, 'nicht': 0.23, 'stärker': 0, 'unterstützt': 0, 'wurde': 0}",positive,"[0.0032186522, 0.020531759, 0.9762496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
