answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-0.85,negative,"Thurgauer Einbürgerungsgesetz ist peinlich! Bin gleicher Meinung wie der Schreiber dieses Leserbriefes. Aber man muss sehen, dass knapp die Hälfte des #Grossrat #Thurgau das Gesetz so ablehnt! Es ist ein SVP/FDP/EDU-Gesetz - Schlussabst. folgt aber noch! https://t.co/H883rSLRfw",thurgauer einbürgerungsgesetz peinlich gleich meinung schreiber leserbriefes sehen knapp hälfte grossrat thurgau gesetz ablehnen svp fdp edu gesetz schlussabst folgen,,,,,,,,,,,,,"{'Thurgauer': 0.07, 'Einbürgerungsgesetz': 0.48000000000000004, 'ist': 0.02, 'peinlich': 0, 'Bin': 0, 'gleicher': 0.19, 'Meinung': 0.2, 'wie': 0, 'der': 0.02, 'Schreiber': 0, 'dieses': 0.04, 'Leserbriefes': 0.04375, 'Aber': 0.04, 'man': 0, 'muss': 0.03, 'sehen': 0.05, 'dass': 0.04, 'knapp': 0, 'die': 0.02, 'Hälfte': 0.05, 'des': 0, 'Grossrat': 0, 'Thurgau': 0.07, 'das': 0.04, 'Gesetz': 0.04, 'so': 0, 'ablehnt': 0, 'Es': 0.02, 'ein': 0, 'SVP': 0, 'FDP': 0.03, 'EDU-Gesetz': 0.04, 'Schlussabst': 0.03, 'folgt': 0, 'aber': 0.04, 'noch': 0}",negative,"[0.0025057048, 0.98934937, 0.008144951]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Liebe CVP/EVP-Fraktion: Das Sprachniveau gehört nicht ins Gesetz! #Thurgau Einbürgerungsrecht auf Zielgeraden: https://t.co/IeMKuIETJG,lieb cvp evp fraktion sprachniveau hören gesetz thurgau einbürgerungsrecht zielgeraden,,,,,,,,,,,,,"{'Liebe': 0, 'CVP': 0.12, 'EVP-Fraktion': 0.14500000000000002, 'Das': 0.09, 'Sprachniveau': 0.13, 'gehört': 0, 'nicht': 0.15, 'ins': 0, 'Gesetz': 0.19, 'Thurgau': 0.83, 'Einbürgerungsrecht': 0.48, 'auf': 0.2, 'Zielgeraden': 0.13}",positive,"[0.0029783945, 0.001281055, 0.99574053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"50% meiner wöchentlichen Nerven-Reserven habe im #Grossrat #Thurgau bei den SVP-Anträgen zum Einbürgerungsgesetz gebraucht, den Rest brauche ich jetzt #SUINIR #HoppSchwiiz",wöchentlich nerven reserven grossrat thurgau svp anträgen einbürgerungsgesetz gebrauchen rest brauche suinir hoppschwiiz,,,,,,,,,,,,,"{'meiner': 0, 'wöchentlichen': 0.06, 'Nerven-Reserven': 0.05, 'habe': 0, 'im': 0, 'Grossrat': 0, 'Thurgau': 0.12, 'bei': 0, 'den': 0.07, 'SVP-Anträgen': 0.195, 'zum': 0.07, 'Einbürgerungsgesetz': 1.0, 'gebraucht': 0, 'Rest': 0.08, 'brauche': 0.07, 'ich': 0.05, 'jetzt': 0, 'SUINIR': 0, 'HoppSchwiiz': 0.17}",neutral,"[0.6627548, 0.021143448, 0.31610182]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Und weiter geht‘s im Takt! FDP und SVP möchten schlanke Gesetze und bauen munter das Einbürgerungsgesetz #Thurgau aus! #nogo #Grossrat,weit gehen s takt fdp svp mögen schlank gesetze bauen munter einbürgerungsgesetz thurgau nogo grossrat,,,,,,,,,,,,,"{'Und': 0.11, 'weiter': 0, 'geht': 0.03, '‘': 0, 's': 0, 'im': 0, 'Takt': 0, 'FDP': 0, 'und': 0, 'SVP': 0, 'möchten': 0, 'schlanke': 0, 'Gesetze': 0, 'bauen': 0, 'munter': 0, 'das': 0, 'Einbürgerungsgesetz': 0, 'Thurgau': 0, 'aus': 0, 'nogo': 0, 'Grossrat': 0}",positive,"[0.012514813, 0.003469064, 0.9840162]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,Wieso das Sprachniveau ins Gesetz schreiben? Unnötig! #Thurgau hat das schärfste Einbürgerungsgesetz der Schweiz: https://t.co/nBeRuUtJn1,wieso sprachniveau gesetz schreiben unnötig thurgau scharf einbürgerungsgesetz schweiz,,,,,,,,,,,,,"{'Wieso': 0, 'das': 0, 'Sprachniveau': 0.04, 'ins': 0, 'Gesetz': 0.36, 'schreiben': 0.04, 'Unnötig': 0.07, 'Thurgau': 0.14, 'hat': 0, 'schärfste': 0, 'Einbürgerungsgesetz': 0.6, 'der': 0.16, 'Schweiz': 0.1}",positive,"[0.0023886522, 0.0019311915, 0.9956801]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,#glp #Thurgau beschliesst einstimmig JA-Parole zur erleichterten Einbürgerung 3. Ausländergeneration @glpTG,glp thurgau beschliesst einstimmig ja parole erleichtern einbürgerung ausländergeneration,,,,,,,,,,,,,"{'glp': 0.12, 'Thurgau': 0.17, 'beschliesst': 0, 'einstimmig': 0.09, 'JA-Parole': 0, 'zur': 0.33, 'erleichterten': 0, 'Einbürgerung': 1.0, '3.': 0, 'Ausländergeneration': 0.16}",positive,"[0.017194979, 0.0021181712, 0.98068684]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @glpTG: GLP unterstützt Unternehmenssteuerreform III, den NAF und die erleichterte Einbürgerung https://t.co/qZWVOvyv7z",glp unterstützen unternehmenssteuerreform iii naf erleichtern einbürgerung,,,,,,,,,,,,,"{'GLP': 0.15, 'unterstützt': 0.31, 'Unternehmenssteuerreform': 0.2, 'III': 0.15, 'den': 0.21, 'NAF': 0.22, 'und': 0.42, 'die': 0.21, 'erleichterte': 0, 'Einbürgerung': 1.0}",positive,"[0.0038631589, 0.0018951743, 0.9942417]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,#Thurgau #Grossrat Kein kantonaler Einbürgerungstest - das bleibt Sache der Gemeinden! Richtig so!,thurgau grossrat kantonaler einbürgerungstest bleiben sache gemeinden richtig,,,,,,,,,,,,,"{'Thurgau': 0.35, 'Grossrat': 0, 'Kein': 1.0, 'kantonaler': 0.79, 'Einbürgerungstest': 0.715, 'das': 0.06, 'bleibt': 0.19, 'Sache': 0.15, 'der': 0.07, 'Gemeinden': 0.1, 'Richtig': 0.09, 'so': 0}",neutral,"[0.6455605, 0.028715221, 0.32572436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,Morgen #Grossrat #Thurgau zentral Diskussion Französisch erst ab Sek-stufe; Einbürgerungstest (äh - wozu sowas?) u.v.m. - Sitzung ganztägig,morgen grossrat thurgau zentral diskussion französisch erst ab sek stufe einbürgerungstest äh wozu sowas u v m sitzung ganztägig,,,,,,,,,,,,,"{'Morgen': 0.11, 'Grossrat': 0, 'Thurgau': 0.06, 'zentral': 0.03, 'Diskussion': 0.1, 'Französisch': 0.05, 'erst': 0, 'ab': 0, 'Sek-stufe': 0, 'Einbürgerungstest': 0.495, 'äh': 0, 'wozu': 0.1, 'sowas': 0, 'u.v.m.': 0, 'Sitzung': 0, 'ganztägig': 0.22500000000000003}",neutral,"[0.9783774, 0.0022563147, 0.01936628]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Morgen im #Grossrat #Thurgau 2. Lesung Spitalbauten und dann Antrag betreffend Konzept Langsamverkehr und evtl. Mot. ""vereinf. Einbürgerung""",morgen grossrat thurgau lesung spitalbauten antrag betreffen konzept langsamverkehr evtl mot vereinf einbürgerung,,,,,,,,,,,,,"{'Morgen': 0.04, 'im': 0, 'Grossrat': 0, 'Thurgau': 0.1, '2.': 0, 'Lesung': 0.08, 'Spitalbauten': 0, 'und': 0.08, 'dann': 0.03, 'Antrag': 0.13, 'betreffend': 0, 'Konzept': 0.19, 'Langsamverkehr': 0.08499999999999999, 'evtl.': 0, 'Mot': 0, 'vereinf': 0, 'Einbürgerung': 1.0}",neutral,"[0.67515385, 0.055555128, 0.26929098]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Der Regierungsrat #Thurgau möchte die #Lohngleichheitscharta aus staatspolitischen Gründen nicht unterzeichnen. Aber er könnte doch von sich aus auf die Idee kommen, jährlich im Geschäftsbericht über die Lohngleichheit in der Verwaltung zu berichten! @NinaSchlaefli #fauleAusrede",regierungsrat thurgau mögen lohngleichheitscharta staatspolitischen gründen unterzeichnen idee kommen jährlich geschäftsbericht lohngleichheit verwaltung berichten fauleausrede,,,,,,,,,,,,,,,,"{'Der': 0.09, 'Regierungsrat': 0.035, 'Thurgau': 0.07, 'möchte': 0, 'die': 0.09, 'Lohngleichheitscharta': 0.7675000000000001, 'aus': 0, 'staatspolitischen': 0.06, 'Gründen': 0, 'nicht': 0.05, 'unterzeichnen': 0.04, 'Aber': 0.03, 'er': 0, 'könnte': 0.02, 'doch': 0, 'von': 0, 'sich': 0, 'auf': 0.35, 'Idee': 0, 'kommen': 0.02, 'jährlich': 0, 'im': 0, 'Geschäftsbericht': 0.11, 'über': 0, 'Lohngleichheit': 1.0, 'in': 0.28, 'der': 0.09, 'Verwaltung': 0.2, 'zu': 0.04, 'berichten': 0, 'fauleAusrede': 0}",positive,"[0.04914248, 0.004516238, 0.94634134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,neutral,@Oberthurgau @SRF Eine Steuersenkung ist wie eine Lohnerhöhung- wirkt in die Zukunft. Eine Steuergutschrift ist wie ein Bonus - bezahlt aus einem guten Ergebnis. Was ist jetzt betriebswirtschaftlich schlauer? Steuergutschrift ist nicht bürokratisch- siehe aktuell der Kinderabzug.,steuersenkung lohnerhöhung wirken zukunft steuergutschrift bonus bezahlen gut ergebnis betriebswirtschaftlich schlau steuergutschrift bürokratisch siehe aktuell kinderabzug,,,,,,,,,,,,,,,,,,,"{'Eine': 0, 'Steuersenkung': 0.275, 'ist': 0.11, 'wie': 0, 'eine': 0, 'Lohnerhöhung-': 0, 'wirkt': 0, 'in': 0, 'die': 0.02, 'Zukunft': 0.13, 'Steuergutschrift': 0.02, 'ein': 0, 'Bonus': 0.31, 'bezahlt': 0.07, 'aus': 0, 'einem': 0, 'guten': 0.02, 'Ergebnis': 0.04, 'Was': 0, 'jetzt': 0.06, 'betriebswirtschaftlich': 0, 'schlauer': 0.02, 'nicht': 0.05, 'bürokratisch-': 0, 'siehe': 0, 'aktuell': 0, 'der': 0.02, 'Kinderabzug': 0.01}",negative,"[0.15440184, 0.71828866, 0.12730947]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.3333333333333333,neutral,"@Oberthurgau @SRF Steuergutschrift statt Steuersenkung - was meinst Du Urs? Nicht die kommenden mit Garantie schwierigen Jahre mit einer Steuersenkung belasten, sondern das aktuelle Resultat in einer angemessenen Form der Bevölkerung zurückgeben und die aktuelle Corona-Situation entlasten",steuergutschrift statt steuersenkung urs kommend garantie schwierig jahre steuersenkung belasten aktuell resultat angemessen form bevölkerung zurückgeben aktuell corona situation entlasten,,,,,,,,,,,,,,,,,,,"{'Steuergutschrift': 0.435, 'statt': 0.6799999999999999, 'Steuersenkung': 0.03, 'was': 0, 'meinst': 0.11, 'Du': 0, 'Urs': 0.08, 'Nicht': 0.06, 'die': 0.02, 'kommenden': 0.03, 'mit': 0.03, 'Garantie': 0.05, 'schwierigen': 0.06, 'Jahre': 0.04, 'einer': 0, 'belasten': 0.08, 'sondern': 0.04, 'das': 0, 'aktuelle': 0.03, 'Resultat': 0, 'in': 0.03, 'angemessenen': 0, 'Form': 0.02, 'der': 0.02, 'Bevölkerung': 0.02, 'zurückgeben': 0.02, 'und': 0.02, 'Corona-Situation': 0, 'entlasten': 0.04}",neutral,"[0.67841387, 0.08478256, 0.23680359]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"@NicErzer @pascal_s_schmid Ja das sehe ich auch so. Es ist eine kurzfristige Massnahme, die sehr schnell wirkt. Steuersenkungen wirken erst viel später.",ja sehen kurzfristig massnahme schnellen wirken steuersenkungen wirken erst spät,,,,,,,,,,,,,,,,,,,"{'Ja': 0, 'das': 0.08, 'sehe': 0, 'ich': 0.04, 'auch': 0, 'so': 0, 'Es': 0.07, 'ist': 0.07, 'eine': 0, 'kurzfristige': 0.13, 'Massnahme': 0.26, 'die': 0, 'sehr': 0.1, 'schnell': 0, 'wirkt': 0.24, 'Steuersenkungen': 0.79, 'wirken': 0.24, 'erst': 0, 'viel': 0.07, 'später': 0.72}",positive,"[0.120019555, 0.032256883, 0.8477236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@pascal_s_schmid Ordnungspolitisch ja - als antizyklische Investition ins Gewerbe kann ich es aber unterstützen. Steuersenkung schliesse ich aber auch nicht aus.,ordnungspolitisch ja antizyklische investition gewerbe unterstützen steuersenkung schliesse,,,,,,,,,,,,,,,,,,,"{'Ordnungspolitisch': 0.07, 'ja': 0, 'als': 0.03, 'antizyklische': 0, 'Investition': 0.04, 'ins': 0, 'Gewerbe': 0, 'kann': 0.28, 'ich': 0.35, 'es': 0, 'aber': 0.69, 'unterstützen': 0.24, 'Steuersenkung': 0.4, 'schliesse': 0, 'auch': 0, 'nicht': 1.0, 'aus': 0.22}",neutral,"[0.59432465, 0.3990508, 0.006624608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
