answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @natalieimboden: Bad news! #Krankenkassenprämien steigen 2017 um 4-5 Prozent. #Prämienverbilligungen stärken, statt schwächen!  https://…",bad news krankenkassenprämien steigen prozent prämienverbilligungen stärken statt schwächen,,,,,,,,,,,,,,,,"{'Bad': 0.69, 'news': 0.19, 'Krankenkassenprämien': 0.09, 'steigen': 0.26, '2017': 0, 'um': 0, '4': 0, '5': 0, 'Prozent': 0.08, 'Prämienverbilligungen': 0.465, 'stärken': 0.41, 'statt': 0.7, 'schwächen': 0}",positive,"[0.052385908, 0.24422172, 0.7033923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @BrunoVanoni1: 62,9 Prozent JA in Zollikofen zur Erleichterten Einbürgerung der 3. Generation - obwohl die stärkste Ortspartei für ein N…",prozent ja zollikofen erleichtern einbürgerung generation obwohl stark ortspartei n,,,,,,,,,,,,,,,,,,,"{'62,9': 0, 'Prozent': 0.1, 'JA': 0, 'in': 0.17, 'Zollikofen': 0.29, 'zur': 0.07, 'Erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.07, '3.': 0, 'Generation': 0.12, 'obwohl': 0.16, 'die': 0.07, 'stärkste': 0.09, 'Ortspartei': 0.075, 'für': 0.04, 'ein': 0, 'N': 0.03, '…': 0}",positive,"[0.003824479, 0.0023834035, 0.9937921]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @gruenebern: Grosse Freude: Kanton Bern klar für erleichterte Einbürgerung! https://t.co/kZMAfnloj4,grosse freude kanton bern klaren erleichtern einbürgerung,,,,,,,,,,,,,,,,,,,"{'Grosse': 0, 'Freude': 0.18, 'Kanton': 0.09, 'Bern': 0.1, 'klar': 0, 'für': 0, 'erleichterte': 0, 'Einbürgerung': 0.75}",positive,"[0.016128764, 0.032889172, 0.95098203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"62,9 Prozent JA in Zollikofen zur Erleichterten Einbürgerung der 3. Generation - obwohl die stärkste Ortspartei für ein NEIN warb!",prozent ja zollikofen erleichtern einbürgerung generation obwohl stark ortspartei nein werben,,,,,,,,,,,,,,,,,,,"{'62,9': 0, 'Prozent': 0.11, 'JA': 0, 'in': 0.13, 'Zollikofen': 0.29, 'zur': 0.06, 'Erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.06, '3.': 0, 'Generation': 0.11, 'obwohl': 0.12, 'die': 0.06, 'stärkste': 0.08, 'Ortspartei': 0.07500000000000001, 'für': 0.05, 'ein': 0, 'NEIN': 0.1, 'warb': 0}",positive,"[0.005730354, 0.002421798, 0.9918479]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @GrueneCH: Jetzt abstimmen: Ja zur erleichterten #Einbürgerung der 3. Generation! #abst17 https://t.co/PuPlEYkfpU,abstimmen ja erleichtern einbürgerung generation abst17,,,,,,,,,,,,,,,,,,,"{'Jetzt': 0.04, 'abstimmen': 0.17, 'Ja': 0, 'zur': 0.145, 'erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.08, '3.': 0, 'Generation': 0.15, 'abst17': 0.19}",positive,"[0.0029259897, 0.0013181213, 0.99575585]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,negative,"RT @operationlibero: Die 6 grössten Lügen des SVP-Flyers zur erleichterten Einbürgerung. Lesen, JA! stimmen, retweeten: https://t.co/YM4TBY…",grössten lügen svp flyers erleichtern einbürgerung lesen ja stimmen retweeten,,,,,,,,,,,,,,,,,,,"{'Die': 0.09, '6': 0, 'grössten': 0.12, 'Lügen': 0, 'des': 0, 'SVP-Flyers': 0, 'zur': 0.09, 'erleichterten': 0, 'Einbürgerung': 1.0, 'Lesen': 0.18, 'JA': 0, 'stimmen': 0, 'retweeten': 0.13}",positive,"[0.039586287, 0.021256462, 0.93915725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FrickerJonas: Abstimmungsempfehlungen der #Grünen für den 12. Februar. #USR3 #naf #Abst17 #einbürgerung #parlCH https://t.co/RfCI1m95h4,abstimmungsempfehlungen grün februar usr3 naf abst17 einbürgerung parlch,,,,,,,,,,,,,,,,,,,"{'Abstimmungsempfehlungen': 0.05, 'der': 0.03, 'Grünen': 0.02, 'für': 0.04, 'den': 0.03, '12.': 0, 'Februar': 0.03, 'USR3': 0.08, 'naf': 0.08, 'Abst17': 0.46, 'einbürgerung': 1.0, 'parlCH': 0.13}",neutral,"[0.634867, 0.009517511, 0.35561553]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @cyrillbolliger: Burka-Einbürgerungen? Von wegen! Diese 5 Grafiken musst du kennen https://t.co/MMKl4oXZK1,burka einbürgerungen wegen grafiken musst kennen,,,,,,,,,,,,,,,,,,,"{'Burka-Einbürgerungen': 0.595, 'Von': 0, 'wegen': 0, 'Diese': 0, '5': 0, 'Grafiken': 0.06, 'musst': 0.025, 'du': 0, 'kennen': 0.07}",neutral,"[0.711084, 0.01820058, 0.27071545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @ruediloeffel: Fakten können beim Abstimmen helfen: Was man über die erleichterte #Einbürgerung wissen muss. #Abst17 https://t.co/3twKnA…,fakten beim abstimmen helfen erleichtern einbürgerung wissen abst17,,,,,,,,,,,,,,,,,,,"{'Fakten': 0.09, 'können': 0, 'beim': 0, 'Abstimmen': 0, 'helfen': 0.1, 'Was': 0, 'man': 0, 'über': 0, 'die': 0, 'erleichterte': 0, 'Einbürgerung': 1.0, 'wissen': 0.11, 'muss': 0.07, 'Abst17': 0.35}",positive,"[0.35066232, 0.0062399064, 0.6430978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @operationlibero: JA zur erleichterten Einbürgerung der 3. Generation am 12. Februar. Deine Spende macht unsere Kampagne erst möglich: h…,ja erleichtern einbürgerung generation februar spenden kampagne erst möglich h,,,,,,,,,,,,,,,,,,,"{'JA': 0, 'zur': 0.16499999999999998, 'erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.09, '3.': 0, 'Generation': 0.17, 'am': 0, '12.': 0, 'Februar': 0.1, 'Deine': 0.13, 'Spende': 0.23, 'macht': 0, 'unsere': 0.05, 'Kampagne': 0.16, 'erst': 0, 'möglich': 0.07, 'h': 0.08, '…': 0}",positive,"[0.0015844112, 0.0025291261, 0.9958865]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @lschmitter: Jetzt Appell unterzeichnen - am 12.2. JA zur erleichterten Einbürgerung für 3. Generation stimmen! https://t.co/dUKwH62eYD…,appell unterzeichnen ja erleichtern einbürgerung generation stimmen,,,,,,,,,,,,,,,,,,,"{'Jetzt': 0.06, 'Appell': 0.11, 'unterzeichnen': 0.18, 'am': 0, '12.2.': 0, 'JA': 0, 'zur': 0.255, 'erleichterten': 0, 'Einbürgerung': 1.0, 'für': 0.27, '3.': 0, 'Generation': 0.25, 'stimmen': 0}",positive,"[0.013226064, 0.0049745017, 0.9817994]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @gruenebern: Revision Bürgerrechtsgesetz: Grüne fordern bei Einbürgerungen Abbau von Hürden &amp; neue Willkommenskultur @kanton_bern https:…,revision bürgerrechtsgesetz grüne fordern einbürgerungen abbau hürden amp neue willkommenskultur https,,,,,,,,,,,,,,,,,,,"{'Revision': 0.06, 'Bürgerrechtsgesetz': 0.055, 'Grüne': 0, 'fordern': 0.23, 'bei': 0, 'Einbürgerungen': 1.0, 'Abbau': 0, 'von': 0, 'Hürden': 0, 'amp': 0.11, 'neue': 0.07, 'Willkommenskultur': 0.13, 'https': 0.07, '…': 0}",positive,"[0.29850712, 0.14491275, 0.55658007]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @dirk_meisel: ""Ich finde es sehr bedenklich, dass diese Risiken von Fortpflanzungsmedizinern kaum thematisiert werden"":  https://t.co/XQ…",finden bedenklich risiken fortpflanzungsmedizinern kaum thematisieren,,,,,,,,,,,,,,,,,,,,,,"{'Ich': 0.19, 'finde': 0.82, 'es': 0, 'sehr': 1.0, 'bedenklich': 0, 'dass': 0.74, 'diese': 0, 'Risiken': 0.13, 'von': 0, 'Fortpflanzungsmedizinern': 0.33499999999999996, 'kaum': 0, 'thematisiert': 0, 'werden': 0}",negative,"[0.008485782, 0.94349116, 0.048023134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.5666666666666667,negative,"Vor einer Woche aufmüpfige Stimmung an der Demo für #lohngleichheit auf dem Bundesplatz, heute traurig an Demo für #seebrücke - weniger Leute, nachdenklich, #MoveForLife https://t.co/PrqSJUIgPi",woche aufmüpfig stimmung demo lohngleichheit bundesplatz heute traurig demo seebrücke wenig leute nachdenklich moveforlife,,,,,,,,,,,,,,,,,,,,,,,,,"{'Vor': 0, 'einer': 0, 'Woche': 0.04, 'aufmüpfige': 0.06, 'Stimmung': 0.06, 'an': 0, 'der': 0.12, 'Demo': 0.14, 'für': 0.29, 'lohngleichheit': 0, 'auf': 0.05, 'dem': 0.12, 'Bundesplatz': 0.16, 'heute': 0.08, 'traurig': 0.28, 'seebrücke': 0, 'weniger': 1.0, 'Leute': 0.82, 'nachdenklich': 0, 'MoveForLife': 0.25}",negative,"[0.06697161, 0.86747813, 0.06555024]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @natalieimboden: 48 Männer, ua Regierungsrat @paschnegg, 3 Frauen sind gegen neues Gesetz #Lohngleichheit. Wo ist Verfassungstreue? @der…",männer ua regierungsrat frauen neu gesetz lohngleichheit verfassungstreue,,,,,,,,,,,,,,,,,,,,,,,,,"{'48': 0, 'Männer': 0.02, 'ua': 0, 'Regierungsrat': 0, '3': 0, 'Frauen': 0.02, 'sind': 0.06, 'gegen': 0.17, 'neues': 0.03, 'Gesetz': 0.05, 'Lohngleichheit': 0, 'Wo': 1.0, 'ist': 0.7, 'Verfassungstreue': 0, '…': 0}",negative,"[0.4159852, 0.4244349, 0.15957995]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @regulatschanz: ""Frauen sind die Mehrheit d. Bevölkerung - eine Subito-Initiative für Lohngleichheit muss &amp; wird man gewinnen"" sagt @Bru…",frauen mehrheit d bevölkerung subito initiative lohngleichheit amp gewinnen sagen,,,,,,,,,,,,,,,,,,,,,,,,,"{'Frauen': 0.14, 'sind': 0.07, 'die': 0.07, 'Mehrheit': 0.07, 'd.': 0, 'Bevölkerung': 0.13, 'eine': 0.06, 'Subito-Initiative': 0, 'für': 0.36, 'Lohngleichheit': 1.0, 'muss': 0, 'amp': 0.12, 'wird': 0.06, 'man': 0, 'gewinnen': 0.12, 'sagt': 0.06, '…': 0}",positive,"[0.06857157, 0.0047488543, 0.9266796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @natalieimboden: erfreulicher Fortschritt für #Lohngleichheit. Ab 1.1.2017 wird bei Staatsbeiträgen an Dritte gleiche Löhne für Frauen /…,erfreulich fortschritt lohngleichheit ab staatsbeiträgen dritt gleich löhnen frauen,,,,,,,,,,,,,,,,,,,,,,,,,"{'erfreulicher': 0, 'Fortschritt': 0.14, 'für': 0.78, 'Lohngleichheit': 0, 'Ab': 0, '1.1.2017': 0, 'wird': 0, 'bei': 0, 'Staatsbeiträgen': 0, 'an': 0, 'Dritte': 0, 'gleiche': 1.0, 'Löhne': 1.0, 'Frauen': 0.22, '…': 0}",neutral,"[0.6042054, 0.0252683, 0.37052622]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"RT @ruediloeffel: ""Sparen"" bei Kindern, Jugendlichen, Behinderten, Alten, sozial Schwachen usw. für Steuersenkungen. #chamemache #GRBE http…",sparen kindern jugendlich behindern alt sozial schwach usw steuersenkungen chamemache grbe http,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Sparen': 0, 'bei': 0, 'Kindern': 0.04, 'Jugendlichen': 0, 'Behinderten': 0, 'Alten': 0.04, 'sozial': 0, 'Schwachen': 0, 'usw.': 0, 'für': 1.0, 'Steuersenkungen': 0.73, 'chamemache': 0, 'GRBE': 0.05, 'http': 0.21, '…': 0}",neutral,"[0.89914805, 0.010122262, 0.09072966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"RT @spkantonbern: Nirgendwo wurde die #USR3 so klar abgelehnt wie im Kanton Bern. Trotzdem plant der Regierungsrat Steuersenkungen. 😡
https…",nirgendwo usr3 klaren ablehnen kanton bern trotzdem planen regierungsrat steuersenkungen https,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Nirgendwo': 0.06, 'wurde': 0, 'die': 0.21, 'USR3': 0.07, 'so': 0, 'klar': 0, 'abgelehnt': 0, 'wie': 0, 'im': 0, 'Kanton': 0.07, 'Bern': 0.07, 'Trotzdem': 0.25, 'plant': 0, 'der': 0.21, 'Regierungsrat': 0.32, 'Steuersenkungen': 0.705, 'https': 0.18, '…': 0}",neutral,"[0.9694799, 0.005186793, 0.025333283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @Bern_Stadt: Kantonale Steuerrevision: Berner Stadtregierung lehnt Steuersenkungen für Firmen ab.
#Vernehmlassung
https://t.co/7IfUgrkeMY",kantonale steuerrevision berner stadtregierung lehnen steuersenkungen firmen ab vernehmlassung,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Kantonale': 0.25, 'Steuerrevision': 0.47, 'Berner': 0, 'Stadtregierung': 0.5349999999999999, 'lehnt': 1.0, 'Steuersenkungen': 0.6699999999999999, 'für': 0.55, 'Firmen': 0.28, 'ab': 0, 'Vernehmlassung': 0.33}",negative,"[0.20817195, 0.76289594, 0.028932124]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @natalieimboden: Angekündigte Steuergeschenke @kanton_bern nützen nichts. Abbruch Steuersenkungsübung. Für Betroffene braucht es sozialv…,angekündigt steuergeschenke nützen abbruch steuersenkungsübung betroffen brauchen sozialv,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Angekündigte': 0.27, 'Steuergeschenke': 0.12, 'nützen': 0, 'nichts': 0, 'Abbruch': 1.0, 'Steuersenkungsübung': 0.18000000000000002, 'Für': 0.13, 'Betroffene': 0.14, 'braucht': 0.04, 'es': 0, 'sozialv': 0.05, '…': 0}",negative,"[0.2456813, 0.62290895, 0.1314097]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
