answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @MullerAltermatt: Das Parlament will den Vaterschaftsurlaub nicht. Dann fragen wir halt das Volk. Jetzt kommt die Volksinitiative!

http…",parlament vaterschaftsurlaub fragen halt volk kommen volksinitiative http,"{'Das': 0.04, 'Parlament': 0.23, 'will': 0, 'den': 0.04, 'Vaterschaftsurlaub': 0.62, 'nicht': 1.0, 'Dann': 0.1, 'fragen': 0, 'wir': 0, 'halt': 0, 'das': 0, 'Volk': 0.06, 'Jetzt': 0.08, 'kommt': 0.06, 'die': 0.04, 'Volksinitiative': 0.23500000000000001, 'http': 0.07, '…': 0}",negative,"[0.29422486, 0.56351435, 0.14226076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Weitere Ohrfeige für junge Väter und Mütter #rechtsrutschCH @GrueneCH #Elternzeit #Vaterschaftsurlaub  https://t.co/JYbzdBT27J,weit ohrfeigen junge väter mütter rechtsrutschch elternzeit vaterschaftsurlaub,"{'Weitere': 0, 'Ohrfeige': 0.07, 'für': 0.06, 'junge': 0, 'Väter': 0.03, 'und': 0.04, 'Mütter': 0.04, 'rechtsrutschCH': 0, 'Elternzeit': 0.32, 'Vaterschaftsurlaub': 0.5}",positive,"[0.10606852, 0.013354969, 0.88057655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.55,neutral,RT @nr_mayagraf: Bitte weiter so liebes #Baselbiet mit JA zu erleichterter Einbürgerung und Nein zu @USR3Bschiss . Schöne Sunndig :) https:…,bitte weit lieb baselbiet ja erleichtert einbürgerung nein schöne sunndig https,,,,"{'Bitte': 0, 'weiter': 0, 'so': 0, 'liebes': 0.08, 'Baselbiet': 0, 'mit': 0.2, 'JA': 0.17, 'zu': 0.08, 'erleichterter': 0, 'Einbürgerung': 1.0, 'und': 0.17, 'Nein': 0.15, 'Schöne': 0, 'Sunndig': 0, 'https': 0.13, '…': 0}",positive,"[0.0038693368, 0.002218851, 0.99391186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @nr_mayagraf: Lasst unsere Kinder gemeinsam die Zukunft der Schweiz gestalten! JA zu erleichterten Einbürgerung der 3.Generation #JaZur3…,lasst kinder gemeinsam zukunft schweiz gestalten ja erleichtern einbürgerung generation jazur3,,,,"{'Lasst': 0, 'unsere': 0.04, 'Kinder': 0.11, 'gemeinsam': 0.1, 'die': 0.09, 'Zukunft': 0.12, 'der': 0.09, 'Schweiz': 0.09, 'gestalten': 0, 'JA': 0, 'zu': 0.4, 'erleichterten': 0, 'Einbürgerung': 1.0, '3.Generation': 0, 'JaZur3': 0.14, '…': 0}",positive,"[0.0008884087, 0.0013087686, 0.9978028]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Vor 22 Jahren forderten wir @grueneCH die Ehe für alle, diese Session ist es endlich soweit🏳️‍🌈💚 
Heute setze ich mich für Verbesserungen ein:  Es braucht den Zugangs zur Fortpflanzungsmedizin und die originäre Elternschaft auch für lesbische Paare! #ehefüralle @WalderNicolas https://t.co/uTqL0N7Wl2",jahren fordern ehe all session endlich soweit heute setzen verbesserungen brauchen zugangs fortpflanzungsmedizin originäre elternschaft lesbische paare ehefüralle,,,,,,,"{'Vor': 0, '22': 0, 'Jahren': 0.24, 'forderten': 1.0, 'wir': 0, 'die': 0, 'Ehe': 0.04, 'für': 0.03, 'alle': 0.3, 'diese': 0.13, 'Session': 0.14, 'ist': 0.25, 'es': 0.25, 'endlich': 0, 'soweit️\u200d': 0, 'Heute': 0.25, 'setze': 0, 'ich': 0.06, 'mich': 0, 'Verbesserungen': 0.13, 'ein': 0, 'Es': 0.25, 'braucht': 0, 'den': 0, 'Zugangs': 0.08, 'zur': 0.08, 'Fortpflanzungsmedizin': 0.175, 'und': 0.04, 'originäre': 0.03, 'Elternschaft': 0.04, 'auch': 0, 'lesbische': 0.05, 'Paare': 0.03, 'ehefüralle': 0.0325}",positive,"[0.022649048, 0.0029459144, 0.97440505]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Vereinbarkeit von Familien- und Berufsleben, #Lohngleichheit, #Carearbeit: Auch ein Jahr nach dem historischen Frauen*streik sind wir noch am gleichen Punkt. Unser Engagement geht weiter! ✊🏻💜#Gleichstellungjetzt https://t.co/P71sPNX8ZM",vereinbarkeit familien berufsleben lohngleichheit carearbeit jahr historisch frauen streik gleich punkt engagement gehen weit gleichstellungjetzt,,,,,,,,,,"{'Vereinbarkeit': 0.09, 'von': 0, 'Familien-': 0, 'und': 0.04, 'Berufsleben': 0.05, 'Lohngleichheit': 0, 'Carearbeit': 0.08, 'Auch': 0, 'ein': 0.03, 'Jahr': 0.06, 'nach': 0.03, 'dem': 0.04, 'historischen': 0, 'Frauen*streik': 0.0825, 'sind': 0.04, 'wir': 0, 'noch': 0.04, 'am': 0, 'gleichen': 0.05, 'Punkt': 0.06, 'Unser': 0.18, 'Engagement': 0, 'geht': 0, 'weiter': 0, 'Gleichstellungjetzt': 0.7849999999999999}",positive,"[0.017345618, 0.012277238, 0.9703772]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Jetzt fehlt noch @Kanton_BL auf der langen Liste aber er kann bald nachziehen #ChartaLohngleichheit #LandratBL @BalzStuecki @MarcSchinzel 👍 https://t.co/4RjHW3QodX,fehlen lang liste bald nachziehen chartalohngleichheit landratbl,,,,,,,,,,"{'Jetzt': 0.02, 'fehlt': 0.025, 'noch': 0.02, 'auf': 0.02, 'der': 0.03, 'langen': 0.02, 'Liste': 0, 'aber': 0.04, 'er': 0.02, 'kann': 0.03, 'bald': 0, 'nachziehen': 0.045, 'ChartaLohngleichheit': 0, 'LandratBL': 0}",neutral,"[0.76207477, 0.061042584, 0.17688261]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,RT @gruenebern: Wir sind Grün - wir sind viele - wir sind wütend - wir fordern #Lohngleichheit #enough18 https://t.co/RdubX5Q9un,grün wüten fordern lohngleichheit enough18,,,,,,,,,,"{'Wir': 0.79, 'sind': 0.21, 'Grün': 0.15, 'wir': 0, 'viele': 0, 'wütend': 0, 'fordern': 1.0, 'Lohngleichheit': 0.54, 'enough18': 0.93}",positive,"[0.08292653, 0.016067041, 0.90100646]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @alinetrede: #Lohngleichheitjetzt #gleichstellungsgesetz einhalten! @GrueneCH https://t.co/azMouK5yoK,lohngleichheitjetzt gleichstellungsgesetz einhalten,,,,,,,,,,"{'Lohngleichheitjetzt': 0.43, 'gleichstellungsgesetz': 0.15000000000000002, 'einhalten': 0}",positive,"[0.046189435, 0.006098418, 0.9477122]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @regulatschanz: Grüner Block für #Lohngleichheit. Genug ist genug! #enough18 #enough https://t.co/j4Qv1NmjpL,grün block lohngleichheit genug genug enough18 enough,,,,,,,,,,"{'Grüner': 0, 'Block': 0.04, 'für': 0.09, 'Lohngleichheit': 0, 'Genug': 0.13, 'ist': 1.0, 'genug': 0.13, 'enough18': 0.23, 'enough': 0.13}",positive,"[0.0080559915, 0.003953008, 0.98799103]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @aninaineichen: Wir sind bereit! Mit ⁦@othommen⁩ und ⁦@flobrenzikofer⁩ #EnoughIsEnough #Lohngleichheit https://t.co/un5NT2GlP9,bereiten enoughisenough lohngleichheit,,,,,,,,,,"{'Wir': 0.05, 'sind': 0.07, 'bereit': 0.13, 'Mit': 0.23, '\u2066\u2069': 0, 'und': 0, 'EnoughIsEnough': 0, 'Lohngleichheit': 0}",positive,"[0.0023159047, 0.0022316647, 0.99545246]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Wir fordern #Lohngleichheit Punkt. Schluss. #1Mai2018 @Kanton_BL mit @grueneBL @sp_bl @nr_mayagraf @RegulaBuehlmann @jusobl @jgbnordwest @enussbi https://t.co/YI6kLG4AtM,fordern lohngleichheit punkt schluss 1mai2018,,,,,,,,,,"{'Wir': 0.62, 'fordern': 1.0, 'Lohngleichheit': 0.23, 'Punkt': 0.13, 'Schluss': 0.4, '1Mai2018': 0, 'mit': 0.12}",positive,"[0.06288898, 0.015743457, 0.9213676]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @lohngleichheit: «Mit seinem Entscheid rechtfertigt der Ständerat den andauernden Verfassungsbruch, zementiert die Geschlechterungleichh…",entscheid rechtfertigen ständerat andauernd verfassungsbruch zementieren geschlechterungleichh,,,,,,,,,,"{'«': 0, 'Mit': 0, 'seinem': 0, 'Entscheid': 0, 'rechtfertigt': 0, 'der': 0, 'Ständerat': 0, 'den': 0, 'andauernden': 0, 'Verfassungsbruch': 0, 'zementiert': 0, 'die': 0, 'Geschlechterungleichh': 0, '…': 0}",negative,"[0.20543598, 0.57200795, 0.22255613]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @KaelinIrene: Auf den Punkt gebracht: #Lohngleichheit ist kein Zückerli sondern ein #Verfassungsauftrag. Wer sich gegen griffige #Massna…,punkt bringen lohngleichheit zückerli verfassungsauftrag wer griffig massna,,,,,,,,,,"{'Auf': 0, 'den': 0, 'Punkt': 0, 'gebracht': 0, 'Lohngleichheit': 0.505, 'ist': 0.59, 'kein': 0, 'Zückerli': 0, 'sondern': 1.0, 'ein': 0, 'Verfassungsauftrag': 0.115, 'Wer': 0.07, 'sich': 0, 'gegen': 0, 'griffige': 0, 'Massna': 0.08, '…': 0}",negative,"[0.21746606, 0.50088924, 0.2816447]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @FrickerJonas: #EqualPayDay: Frauen arbeiten bis am 24.2. für den Männer-Lohn des Vorjahres #Lohngleichheit ♀️♂️
Unterschreiben: https:/…",equalpayday frauen arbeiten männer lohn vorjahres lohngleichheit unterschreiben https,,,,,,,,,,"{'EqualPayDay': 1.0, 'Frauen': 0.31, 'arbeiten': 0.27, 'bis': 0.23, 'am': 0, '24.2.': 0, 'für': 0.08, 'den': 0.02, 'Männer-Lohn': 0.05, 'des': 0, 'Vorjahres': 0.03, 'Lohngleichheit': 0, '️️': 0, 'Unterschreiben': 0, 'https': 0, ':/': 0, '…': 0}",positive,"[0.3393229, 0.009061922, 0.6516152]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,RT @nr_mayagraf: Gut gebrüllt Vater ;)! Und die Frau gleich mit: sie wartet seit 35 Jahren auf Lohngleichheit #Bundesverfassung https://t.c…,gut brüllen vater frau gleichen warten seit jahren lohngleichheit bundesverfassung,,,,,,,,,,"{'Gut': 0, 'gebrüllt': 0, 'Vater': 0.12, 'Und': 0.11, 'die': 0.17, 'Frau': 0, 'gleich': 0, 'mit': 0, 'sie': 0.39, 'wartet': 1.0, 'seit': 0, '35': 0, 'Jahren': 0.51, 'auf': 0, 'Lohngleichheit': 0.835, 'Bundesverfassung': 0.155}",neutral,"[0.89575696, 0.08633196, 0.017911106]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @nr_mayagraf: Nationalrat streicht Botschaft für Lohngleichheit aus dem #Legislaturprogramm mit 91 zu 89 Stimmen. Ohrfeige für jede erwe…,nationalrat streichen botschaft lohngleichheit legislaturprogramm stimmen ohrfeigen jed erwe,,,,,,,,,,"{'Nationalrat': 0.23500000000000001, 'streicht': 0, 'Botschaft': 0, 'für': 0.18, 'Lohngleichheit': 0.73, 'aus': 0, 'dem': 0.045, 'Legislaturprogramm': 0, 'mit': 0.14, '91': 0, 'zu': 0.06, '89': 0, 'Stimmen': 0, 'Ohrfeige': 0.2, 'jede': 0, 'erwe': 0, '…': 0}",positive,"[0.036409024, 0.0039227805, 0.95966816]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Es braucht eine rasche und faire Lösung, damit Mieter*innen besser geschützt sind #Kündigungsschutz #Existenzsicherung JETZT! https://t.co/150IhnYPho",brauchen rasch faire lösung mieter innen gut schützen kündigungsschutz existenzsicherung,,,,,,,,,,,,,"{'Es': 0.04, 'braucht': 0, 'eine': 0, 'rasche': 0, 'und': 0.06, 'faire': 0, 'Lösung': 0.19, 'damit': 0, 'Mieter*innen': 0.33, 'besser': 0.17, 'geschützt': 0.64, 'sind': 0.08, 'Kündigungsschutz': 1.0, 'Existenzsicherung': 0.41, 'JETZT': 0.23}",positive,"[0.044664595, 0.04212186, 0.91321355]",,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5666666666666667,neutral,Die Teilrevision zum Schutz von Whistleblowerinnen und Whistleblower ist zu komplex und schützt die Betroffenen zu wenig. Die @GrueneCH fordert einen besseren Kündigungsschutz. Der Rat folgt dieser Empfehlung und tritt nicht auf die Vorlage ein @WalderNicolas https://t.co/tkcsJnNjhD,teilrevision schutz whistleblowerinnen whistleblower komplex schützen betroffen wenig fordern gut kündigungsschutz rat folgen empfehlung tritt vorlage,,,,,,,,,,,,,"{'Die': 0.02, 'Teilrevision': 0.05, 'zum': 0.03, 'Schutz': 1.0, 'von': 0, 'Whistleblowerinnen': 0, 'und': 0.05, 'Whistleblower': 0, 'ist': 0.03, 'zu': 0.04, 'komplex': 0.05, 'schützt': 0, 'die': 0.02, 'Betroffenen': 0.06, 'wenig': 0, 'fordert': 0.92, 'einen': 0, 'besseren': 1.0, 'Kündigungsschutz': 0.5725, 'Der': 0.02, 'Rat': 0, 'folgt': 0.06, 'dieser': 0.05, 'Empfehlung': 0.07, 'tritt': 0, 'nicht': 0.07, 'auf': 0.03, 'Vorlage': 0, 'ein': 0}",negative,"[0.20647919, 0.4469259, 0.3465949]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @marionnasch: Das @ParlCH verschärfte das Kriegsmaterialgesetz – gegen den Willen der Rüstungslobby, die den Bundesrat auf ihrer Seite w…",verschärfen kriegsmaterialgesetz willen rüstungslobby bundesrat seite w,,,,,,,,,,,,,,,,"{'Das': 0.09, 'verschärfte': 0.84, 'das': 0.22, 'Kriegsmaterialgesetz': 0.8625, '–': 0, 'gegen': 0, 'den': 0, 'Willen': 0, 'der': 0, 'Rüstungslobby': 0, 'die': 0, 'Bundesrat': 0, 'auf': 0, 'ihrer': 0, 'Seite': 0, 'w': 0, '…': 0}",neutral,"[0.9061214, 0.041479543, 0.05239906]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @GrueneCH: 📻 Spannendes Gespräch mit Leni Robert. Umweltschutz und Gleichstellung hatten für sie schon immer Priorität. Die Pionierin sa…,spannend gespräch leni robert umweltschutz gleichstellung schon immer priorität pionierin sa,,,,,,,,,,,,,,,,,,,"{'Spannendes': 0.1, 'Gespräch': 0.17, 'mit': 0.18, 'Leni': 0.18, 'Robert': 0.15, 'Umweltschutz': 0.865, 'und': 0.5, 'Gleichstellung': 1.0, 'hatten': 0, 'für': 0.08, 'sie': 0, 'schon': 0, 'immer': 0.2, 'Priorität': 0.46, 'Die': 0.11, 'Pionierin': 0.24, 'sa': 0, '…': 0}",positive,"[0.0012079024, 0.0010899089, 0.9977022]",,,,,,,,,,,,,positive
50.0,75.0,71.0,0.15,neutral,Die Bau und Umweltschutzdirektion BL @bl zieht keine Lehren aus der Vergangenheit und will weiterhin wertvolle Fruchtfolgeflächen zerstören -wir bleiben dran ▶️ #Kulturlandschützen #Zersiedelungsinitiative https://t.co/F2sfVNAy1f,bau umweltschutzdirektion bl ziehen lehren vergangenheit weiterhin wertvolle fruchtfolgeflächen zerstören bleiben dran kulturlandschützen zersiedelungsinitiative,,,,,,,,,,,,,,,,,,,"{'Die': 0.1, 'Bau': 0.05, 'und': 0.32, 'Umweltschutzdirektion': 0.12, 'BL': 0.2, 'zieht': 0, 'keine': 0, 'Lehren': 0.04, 'aus': 0, 'der': 0.1, 'Vergangenheit': 0.34, 'will': 0, 'weiterhin': 0, 'wertvolle': 0.03, 'Fruchtfolgeflächen': 0.02, 'zerstören': 0.05, '-wir': 0, 'bleiben': 0, 'dran': 0, '▶': 0, '️': 0, 'Kulturlandschützen': 0, 'Zersiedelungsinitiative': 0}",negative,"[0.073913276, 0.58981514, 0.33627158]",,,,,,,,,,,,,neutral
