answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
100.0,100.0,100.0,1.0,negative,"RT @CCC_CH: E-Voting - rekapitulierend ""[w]eshalb E-Voting keine gute Idee ist, und vermutlich auch nie eine sein wird"" von @blog_fdik_org…",e voting rekapitulieren w eshalb e voting gut idee vermutlich nie,,,,"{'E-Voting': 0, 'rekapitulierend': 0, 'w': 0.09, 'eshalb': 0, 'keine': 0, 'gute': 0, 'Idee': 0, 'ist': 0.09, 'und': 0.1, 'vermutlich': 0, 'auch': 0, 'nie': 0, 'eine': 0, 'sein': 0, 'wird': 0.06, 'von': 0, '…': 0}",neutral,"[0.55383825, 0.3083779, 0.13778389]",,,,positive
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - die Katze ist aus dem Sack: umfassende Kritik von @adfichter vom @RepublikMagazin am @scytl-E-Voting-System, das die…",e voting katze sack umfassend kritik e voting system,,,,"{'E-Voting': 0, 'die': 0.08, 'Katze': 0.05, 'ist': 0.07, 'aus': 0.03, 'dem': 0.08, 'Sack': 0, 'umfassende': 0.18, 'Kritik': 0.15, 'von': 0, 'vom': 0.08, 'am': 0, '-E-Voting-System': 0, 'das': 1.0, '…': 0}",positive,"[0.08071553, 0.019544978, 0.8997395]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - @timpritlove &amp; @Linuzifer im Logbuch:Netzpolitik @me_netzpolitik, Ausgabe #LNP284, zum E-Voting-Moratorium.
https://…",e voting amp logbuch netzpolitik ausgabe lnp284 e voting moratorium,,,,"{'E-Voting': 0, 'amp': 0.04, 'im': 0, 'Logbuch': 0.17, 'Netzpolitik': 0, 'Ausgabe': 0, 'LNP284': 0.35, 'zum': 0.33, 'E-Voting-Moratorium': 0}",neutral,"[0.71019024, 0.15039966, 0.1394101]",,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - die @NZZ spricht Klartext via Fabian Schläfer:
""Der Nutzen von E-Voting ist verschwindend klein gemessen an den Risi…",e voting sprechen klartext via fabian schläfer nutzen e voting verschwinden klein messen risi,,,,"{'E-Voting': 0, 'die': 0.06, 'spricht': 0.03, 'Klartext': 0.03, 'via': 0.03, 'Fabian': 0.03, 'Schläfer': 0, 'Der': 0.06, 'Nutzen': 0.07, 'von': 0, 'ist': 0.3, 'verschwindend': 0, 'klein': 0, 'gemessen': 0, 'an': 0, 'den': 0.06, 'Risi': 0, '…': 0}",negative,"[0.19024532, 0.7856386, 0.024116091]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - @blog_fdik_org 2013 in der @NZZ:
«[W]as anderswo nur mit grossem Aufwand manipuliert werden kann, kann man hier auto…",e voting w as anderswo grossem aufwinden manipulieren auto,,,,"{'E-Voting': 0, 'in': 0.06, 'der': 0, '«': 0, 'W': 0, 'as': 0, 'anderswo': 0, 'nur': 0, 'mit': 0, 'grossem': 0, 'Aufwand': 0, 'manipuliert': 0, 'werden': 0, 'kann': 0, 'man': 0, 'hier': 0, 'auto': 0, '…': 0}",neutral,"[0.69899696, 0.0812725, 0.21973056]",,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @vecirex: Ein ausgezeichnetes Interview mit @eric_dubuis in @srfnews zum E-Voting, das auch Leute wie @ChrFolini lesen sollten - so wg.…",ausgezeichnet interview e voting leute lesen sollen wg,,,,"{'Ein': 0, 'ausgezeichnetes': 0.52, 'Interview': 0.23, 'mit': 0.06, 'in': 0.05, 'zum': 0, 'E-Voting': 0, 'das': 0.2, 'auch': 0, 'Leute': 0.12, 'wie': 0, 'lesen': 0.1, 'sollten': 0.07, 'so': 0.39, 'wg': 0, '…': 0}",positive,"[0.3617022, 0.09989445, 0.5384034]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Philippe Stalder (@Philzvill) im @tagesanzeiger-Interview mit Volker Birk (@blog_fdik_org):
 «Alle E-Voting-Systeme der Schweiz…",philippe stalder interview volker birk all e voting systeme schweiz,,,,"{'Philippe': 0.22, 'Stalder': 0.31, 'im': 0, '-Interview': 0, 'mit': 0.15, 'Volker': 0.24, 'Birk': 0.24, '):': 0, '«': 0, 'Alle': 0, 'E-Voting-Systeme': 0, 'der': 0, 'Schweiz': 0, '…': 0}",neutral,"[0.61734515, 0.100163706, 0.28249118]",,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @martinsteiger: Abmahnung für den Chaos Computer Club wegen E-Voting-«Hack», unter anderem sei das Wappenschutzgesetz verletzt worden ……",abmahnung chaos computer club wegen e voting hack wappenschutzgesetz verletzen,,,,"{'Abmahnung': 0.16, 'für': 0.08, 'den': 0.36, 'Chaos': 0.11, 'Computer': 0.03, 'Club': 0.03, 'wegen': 0.14, 'E-Voting-«Hack': 0, '»': 0, 'unter': 0, 'anderem': 0, 'sei': 0, 'das': 0, 'Wappenschutzgesetz': 0, 'verletzt': 0, 'worden': 0, '…': 0}",negative,"[0.08490883, 0.9022611, 0.012830174]",,,,negative
50.0,75.0,57.0,0.0,negative,RT @martinsteiger: E-Voting: «Unsere Behörden riskieren den totalen Vertrauensverlust in das Wahlsystem.» (Via @Falcoc56.) https://t.co/PdT…,e voting behörden riskieren total vertrauensverlust wahlsystem via,,,,"{'E-Voting': 0, '«': 0, 'Unsere': 0, 'Behörden': 0, 'riskieren': 0, 'den': 0, 'totalen': 0, 'Vertrauensverlust': 0, 'in': 0, 'das': 0, 'Wahlsystem': 0, '»': 0, 'Via': 0}",negative,"[0.35119697, 0.5721686, 0.076634414]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ppsde: Alt-#Bundesrätin greift Ur-Piratenthemen in der #Digitalisierung auf. Wann wird sie Mitglied bei den #Piraten ?
Wann wirst DU Mi…",alt bundesrätin greifen ur piratenthemen digitalisierung wann mitglied piraten wann mi,,,,,,,"{'Alt-#Bundesrätin': 0.10750000000000001, 'greift': 0, 'Ur-Piratenthemen': 0, 'in': 0.65, 'der': 0.05, 'Digitalisierung': 0, 'auf': 0, 'Wann': 0.03, 'wird': 0.03, 'sie': 0.04, 'Mitglied': 0.04, 'bei': 0, 'den': 0.05, 'Piraten': 0.13, 'wirst': 0.03, 'DU': 0, 'Mi': 0, '…': 0}",neutral,"[0.822405, 0.04887906, 0.12871598]",neutral
0.0,0.0,0.0,-1.0,neutral,"RT @CCC_CH: Crypto-Wars/Totalüberwachung - wenn ein Verbot von Ende-zu-Ende-Crypto kommt, ist die #Digitalisierung in Europa vollends gesch…",crypto wars totalüberwachung verbieten ende ende crypto kommen digitalisierung europa vollends gesch,,,,,,,"{'Crypto-Wars': 0, 'Totalüberwachung': 0.05, 'wenn': 0.1, 'ein': 0, 'Verbot': 0.09, 'von': 0, 'Ende-zu-Ende-Crypto': 0.2, 'kommt': 0, 'ist': 0.37, 'die': 0, 'Digitalisierung': 0, 'in': 0.16, 'Europa': 0.25, 'vollends': 0.43, 'gesch': 0, '…': 0}",negative,"[0.06613395, 0.9237613, 0.010104659]",negative
100.0,100.0,86.0,0.7,neutral,"Digitales EOL statt digitaler Nachhaltigkeit - die Folgen nachhaltig proprietärer Digitalisierung
=&gt; #vendorLockin 😐
#OpenSource könnte das Problem lösen; #openStandards sind nicht genug, da jemand die #securityUpdates liefern muss. #IoT
@tagesanzeiger
https://t.co/CZA2Gt6n0w",digital eol statt digital nachhaltigkeit folgen nachhaltig proprietärer digitalisierung gt vendorlockin opensource problem lösen openstandards genug jemand securityupdates liefern iot,,,,,,,"{'Digitales': 0.11, 'EOL': 0.1, 'statt': 0.27, 'digitaler': 0.11, 'Nachhaltigkeit': 0.25, 'die': 0.06, 'Folgen': 0, 'nachhaltig': 0, 'proprietärer': 0, 'Digitalisierung': 0, 'gt': 0.08, 'vendorLockin': 0.24, 'OpenSource': 0.1, 'könnte': 0.04, 'das': 0, 'Problem': 0.11, 'lösen': 0.07, 'openStandards': 0.13, 'sind': 0.03, 'nicht': 0.04, 'genug': 0.04, 'da': 0, 'jemand': 0.05, 'securityUpdates': 0.15, 'liefern': 0.06, 'muss': 0.03, 'IoT': 0.05}",positive,"[0.03743369, 0.14355431, 0.81901205]",positive
50.0,75.0,57.0,0.0,neutral,RT @FuturICT: #Cyberangriffe: Eine Denkpause für die #Digitalisierung  https://t.co/EKhhfIT3qJ,cyberangriffe denkpause digitalisierung,,,,,,,"{'Cyberangriffe': 0, 'Eine': 0, 'Denkpause': 0.295, 'für': 0.63, 'die': 0, 'Digitalisierung': 0}",neutral,"[0.9419004, 0.04557435, 0.012525294]",neutral
100.0,100.0,100.0,1.0,neutral,RT @CCC_CH: E-ID - @vecirex im @Megafon_RS_Bern: wie eine E-ID nach Grundsätzen guter #Digitalisierung aussehen müsste und wieso das #BGEID…,e id e id grundsätzen gut digitalisierung aussehen müsste wieso bgeid,,,,,,,"{'E-ID': 0, 'im': 0.03, 'wie': 0, 'eine': 0, 'nach': 0, 'Grundsätzen': 0.97, 'guter': 0, 'Digitalisierung': 0, 'aussehen': 0.06, 'müsste': 0.11, 'und': 0.15, 'wieso': 0, 'das': 0, 'BGEID': 0.22, '…': 0}",positive,"[0.003321639, 0.0016294732, 0.9950488]",positive
75.0,75.0,71.0,0.35,neutral,RT @wearecubedesign: Führt die Digitalisierung zu mehr Kollaboration oder zu sozialer Vereinsamung? Die Statements der Besucher des  #Swiss…,führen digitalisierung mehr kollaboration sozial vereinsamung statements besucher swiss,,,,,,,"{'Führt': 0, 'die': 0.03, 'Digitalisierung': 0, 'zu': 0.06, 'mehr': 0.21, 'Kollaboration': 0.12, 'oder': 0.12, 'sozialer': 0.12, 'Vereinsamung': 0.05, 'Die': 0.03, 'Statements': 0.11, 'der': 0.03, 'Besucher': 0, 'des': 0, 'Swiss': 0.03, '…': 0}",neutral,"[0.79282945, 0.1680302, 0.039140336]",positive
50.0,75.0,57.0,0.0,neutral,"#Freedomvote schafft Klarheit in Fragen zur Digitalisierung für die Wahl 2019
#votepirate @ppsde @fsfe @parldigi @CH_Open @adfinissygroup @digiges_ch @OpendataCH
https://t.co/K2LTuSJUDn",freedomvote schaffen klarheit fragen digitalisierung wahl votepirate,,,,,,,"{'Freedomvote': 0.73, 'schafft': 1.0, 'Klarheit': 1.0, 'in': 0.43, 'Fragen': 0.53, 'zur': 0.08, 'Digitalisierung': 0, 'für': 0.12, 'die': 0.08, 'Wahl': 0, 'votepirate': 0}",positive,"[0.0065989695, 0.0017201173, 0.9916809]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @IhrNationalrat: Für #WahlCH19 beim Wahlentscheid #Digitalisierung #OpenSource #FLOSS #PublicCode #eGov wichtig?

Für mehr #DigitaleKomp…",wahlch19 beim wahlentscheid digitalisierung opensource floss publiccode egov wichtig mehr digitalekomp,,,,,,,"{'Für': 0.08, 'WahlCH19': 0, 'beim': 0, 'Wahlentscheid': 1.0, 'Digitalisierung': 1.0, 'OpenSource': 0.48, 'FLOSS': 0.15, 'PublicCode': 0.18, 'eGov': 0.12, 'wichtig': 0.11, 'mehr': 0.06, 'DigitaleKomp': 0, '…': 0}",neutral,"[0.62069035, 0.024162916, 0.3551467]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Digitalisierung - die Anbindung vom Bundesrat (via @WThurnherr) an @dgt_switzerland, die die Jubelveranstaltung #SwissDigitalDa…",digitalisierung anbindung bundesrat via jubelveranstaltung swissdigitalda,,,,,,,"{'Digitalisierung': 0, 'die': 0.04, 'Anbindung': 0.15, 'vom': 0.06, 'Bundesrat': 0.055, 'via': 0.08, 'an': 0, 'Jubelveranstaltung': 0, 'SwissDigitalDa': 0.13, '…': 0}",neutral,"[0.6984096, 0.012811768, 0.28877857]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @digiges_ch: #KarlDigital am 13. Juni 2019 zur
Digitalisierung im Gesundheitswesen, mit:

* Julian Mausbach: Elektronisches Patientendos…",karldigital juni digitalisierung gesundheitswesen julian mausbach elektronisch patientendos,,,,,,,"{'KarlDigital': 0.25, 'am': 0, '13.': 0, 'Juni': 0.12, 'zur': 0, 'Digitalisierung': 0, 'im': 0, 'Gesundheitswesen': 0.25, 'mit': 0.15, 'Julian': 0.04, 'Mausbach': 0.04, 'Elektronisches': 0.07, 'Patientendos': 0, '…': 0}",positive,"[0.48705238, 0.014739232, 0.49820828]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @sixgroup: #FinTech, #Digitalisierung und #Blockchain haben auch Auswirkungen auf die Finanzmarktregulierung. Das zeigt ein entsprechend…",fintech digitalisierung blockchain auswirkungen finanzmarktregulierung zeigen entsprechen,,,,,,,"{'FinTech': 0.31, 'Digitalisierung': 0, 'und': 0.52, 'Blockchain': 0.26, 'haben': 0.13, 'auch': 0.25, 'Auswirkungen': 0, 'auf': 0.08, 'die': 0, 'Finanzmarktregulierung': 0.07, 'Das': 0, 'zeigt': 0, 'ein': 0, 'entsprechend': 0, '…': 0}",positive,"[0.09920188, 0.0442497, 0.8565484]",neutral
50.0,75.0,57.0,0.0,neutral,RT @leonieclaude: Was bedeutet die Digitalisierung für die Bildung? Wie sieht die Schule der Zukunft aus? Und wie werden Schüler*innen auf…,bedeuten digitalisierung bildung sehen schule zukunft schüler innen,,,,,,,"{'Was': 0, 'bedeutet': 0, 'die': 0.04, 'Digitalisierung': 0, 'für': 0.12, 'Bildung': 0.22, 'Wie': 0, 'sieht': 0, 'Schule': 0.1, 'der': 0.04, 'Zukunft': 0.07, 'aus': 0, 'Und': 0.04, 'wie': 0.03, 'werden': 0, 'Schüler*innen': 0.07, 'auf': 0.04, '…': 0}",neutral,"[0.94021165, 0.040440697, 0.019347578]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @maemst: ""Nachhaltige Digitalisierung und digitale Nachhaltigkeit: Die zwei Seiten einer Münze"" Heutige Präsentation bei der Berner Regi…",nachhaltig digitalisierung digitale nachhaltigkeit zwei seiten münzen heutige präsentation berner regi,,,,,,,"{'Nachhaltige': 1.0, 'Digitalisierung': 0, 'und': 0.27, 'digitale': 0.24, 'Nachhaltigkeit': 0.27, 'Die': 0.07, 'zwei': 0.07, 'Seiten': 0, 'einer': 0, 'Münze': 0.14, 'Heutige': 0, 'Präsentation': 0.08, 'bei': 0.05, 'der': 0.07, 'Berner': 0, 'Regi': 0.11, '…': 0}",positive,"[0.0014951774, 0.0019531667, 0.99655163]",neutral
0.0,0.0,0.0,-1.0,neutral,RT @heiseonline: Massiver Internetausfall in Seoul zeigt Risiken der Digitalisierung https://t.co/8HK4YlcPUZ,massiv internetausfall seoul zeigen risiken digitalisierung,,,,,,,"{'Massiver': 0.14, 'Internetausfall': 0, 'in': 0.1, 'Seoul': 0.11, 'zeigt': 0, 'Risiken': 1.0, 'der': 0.34, 'Digitalisierung': 0}",negative,"[0.02447625, 0.6624142, 0.31310958]",negative
