answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.6999999999999998,neutral,"@HaugBluemaili @Dede71Mueller @BarbaraLuethi Die Väter sind wichtig weil sie wichtig sind! Und der #Vaterschaftsurlaub ist wichtig damit die Väter in diese Rolle finden können. Und damit das Paar gemeinsam zu Eltern werden kann.
So einfach ist das.",väter wichtig wichtig vaterschaftsurlaub wichtig väter rolle finden paar gemeinsam eltern einfach,,,,"{'Die': 0.03, 'Väter': 0.06, 'sind': 0.03, 'wichtig': 0.36, 'weil': 0.04, 'sie': 0, 'Und': 0.05, 'der': 0.03, 'Vaterschaftsurlaub': 0.76, 'ist': 0.34, 'damit': 0, 'die': 0.03, 'in': 0, 'diese': 0.04, 'Rolle': 0.14, 'finden': 0.04, 'können': 0, 'das': 0.04, 'Paar': 0, 'gemeinsam': 0.03, 'zu': 0, 'Eltern': 0.06, 'werden': 0, 'kann': 0.03, 'So': 0.03, 'einfach': 0.08}",positive,"[0.0060962895, 0.0058266753, 0.98807704]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Die #FDP lehnt den #Vaterschaftsurlaub ab.
Wobei, so ganz eindeutig ist das dann doch nicht bei 134:133 bei 8 Enthaltungen. ""Klares Ergebnis"" sieht anders aus. #Elternzeit wird kommen, aber jetzt gilt es, dieses Minimum von 2 Wochen endlich zu sichern.",fdp lehnen vaterschaftsurlaub ab wobei ganz eindeutig enthaltungen klar ergebnis sehen elternzeit kommen gelten minimum wochen endlich sichern,,,,"{'Die': 0.07, 'FDP': 0.78, 'lehnt': 1.0, 'den': 0.07, 'Vaterschaftsurlaub': 0.13, 'ab': 0, 'Wobei': 0.33, 'so': 0, 'ganz': 0, 'eindeutig': 0.12, 'ist': 0.05, 'das': 0.08, 'dann': 0, 'doch': 0, 'nicht': 0.12, 'bei': 0, '134:133': 0, 'Enthaltungen': 0.22, 'Klares': 0.1, 'Ergebnis': 0.17, 'sieht': 0, 'anders': 0.09, 'aus': 0, 'Elternzeit': 0.15000000000000002, 'wird': 0.14, 'kommen': 0.08, 'aber': 0.03, 'jetzt': 0.07, 'gilt': 0, 'es': 0.05, 'dieses': 0.03, 'Minimum': 0.06, 'von': 0, 'Wochen': 0.08, 'endlich': 0, 'zu': 0.04, 'sichern': 0.04}",neutral,"[0.53185123, 0.17740841, 0.2907403]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@Dede71Mueller @StrebelLuca @EugenHani @susanne_brunner Die Schweiz soll auch nicht Lösungen aus anderen Ländern nachahmen. Sondern wie immer einen eigenen, typisch schweizerischen Weg suchen und finden. Das braucht Zeit und darum #vaterschaftsurlaub jetzt.",schweiz lösungen ländern nachahmen immer eigen typisch schweizerisch suchen finden brauchen zeit darum vaterschaftsurlaub,,,,"{'Die': 0, 'Schweiz': 0.05, 'soll': 0, 'auch': 0.03, 'nicht': 0.03, 'Lösungen': 0.05, 'aus': 0, 'anderen': 0, 'Ländern': 0.04, 'nachahmen': 0.08, 'Sondern': 0, 'wie': 0, 'immer': 0.03, 'einen': 0, 'eigenen': 0.04, 'typisch': 0, 'schweizerischen': 0.05, 'Weg': 0, 'suchen': 0, 'und': 0.07, 'finden': 0, 'Das': 0, 'braucht': 0, 'Zeit': 0.04, 'darum': 0, 'vaterschaftsurlaub': 0.44, 'jetzt': 0.15}",positive,"[0.2368845, 0.11631725, 0.6467982]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Die Beispiele im Artikel zeigen, wo die Probleme liegen.
Vaterschaftsurlaub und Elternzeit helfen, diese Hürde zu meistern. Partnerschaftliche Modelle sind ein Gewinn, in intakter Beziehung, oder bei Trennung. Dafür setze ich mich ein. https://t.co/KcZgxDpBTa",beispiele artikel zeigen probleme liegen vaterschaftsurlaub elternzeit helfen hürde meistern partnerschaftliche modelle gewinn intakt beziehung trennung dafür setzen,,,,"{'Die': 0.02, 'Beispiele': 0.15, 'im': 0, 'Artikel': 0.07, 'zeigen': 0.06, 'wo': 0.07, 'die': 0.02, 'Probleme': 0.11, 'liegen': 0.09, 'Vaterschaftsurlaub': 0.595, 'und': 1.0, 'Elternzeit': 0.57, 'helfen': 0.72, 'diese': 0.06, 'Hürde': 0.09, 'zu': 0.04, 'meistern': 0, 'Partnerschaftliche': 0.16, 'Modelle': 0.06, 'sind': 0.05, 'ein': 0, 'Gewinn': 0, 'in': 0.02, 'intakter': 0.02, 'Beziehung': 0.07, 'oder': 0.05, 'bei': 0, 'Trennung': 0.05, 'Dafür': 0, 'setze': 0, 'ich': 0.03, 'mich': 0}",positive,"[0.001060772, 0.0013886285, 0.99755055]",,,,,,,,,,,,,positive
75.0,75.0,86.0,0.425,negative,"Endlich haben wir den Vaterschaftsurlaub. Jetzt aber schleunigst den Titel ändern. ""Urlaub"" ist sowas von falsch. Papizeit trifft es da viel eher. Zeit mit Papi, aber eben auch Zeit für Papi, in die Rolle als Vater zu gelangen. Hilft übrigens für echte Gleichstellung.",endlich vaterschaftsurlaub schleunigst titel ändern urlaub sowas falsch papizeit treffen eher zeit papi eben zeit papi rolle vater gelingen helfen übrigens echte gleichstellung,,,,"{'Endlich': 1.0, 'haben': 0.33, 'wir': 0, 'den': 0.01, 'Vaterschaftsurlaub': 0.735, 'Jetzt': 0.28, 'aber': 0.02, 'schleunigst': 0.0575, 'Titel': 0.1, 'ändern': 0.045, 'Urlaub': 0, 'ist': 0.03, 'sowas': 0, 'von': 0, 'falsch': 0, 'Papizeit': 0.03, 'trifft': 0, 'es': 0.03, 'da': 0, 'viel': 0, 'eher': 0, 'Zeit': 0.03, 'mit': 0.01, 'Papi': 0, 'eben': 0, 'auch': 0.02, 'für': 0.01, 'in': 0, 'die': 0.01, 'Rolle': 0.02, 'als': 0.02, 'Vater': 0.02, 'zu': 0.01, 'gelangen': 0, 'Hilft': 0.07, 'übrigens': 0.0275, 'echte': 0.01, 'Gleichstellung': 0.03}",positive,"[0.35052004, 0.18750948, 0.46197048]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,Bravo @meyer_mattea. Ein hervorragendes Statement gerade im Nationalrat zum Vaterschaftsurlaub. Alle wesentlichen Punkte in 3 Minuten zusammengefasst.,bravo hervorragend statement gerade nationalrat vaterschaftsurlaub all wesentlich punkte minuten zusammengefasst,,,,"{'Bravo': 0.1, 'Ein': 0, 'hervorragendes': 0.22, 'Statement': 0.49, 'gerade': 0, 'im': 0, 'Nationalrat': 0.645, 'zum': 0.17, 'Vaterschaftsurlaub': 0.71, 'Alle': 0.1, 'wesentlichen': 0.11, 'Punkte': 0.1, 'in': 0.05, 'Minuten': 0.06, 'zusammengefasst': 0.11}",positive,"[0.002578814, 0.0011144398, 0.9963068]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Heute hat es der Nationalrat in der Hand, endlich wenigstens ein kleines bisschen näher zum Rest der modernen Welt aufzuschließen. 2 Wochen sind 10x mehr als bisher. #vaterschaftsurlaub #elternzeit #wahlch19 #deOligahtnachBern @VeV_CH  https://t.co/lco8Aw9wnD",heute nationalrat hand endlich wenigstens klein bisschen nähern rest modern welt aufschließen wochen 10x mehr bisher vaterschaftsurlaub elternzeit wahlch19 deoligahtnachbern,,,,"{'Heute': 0.06, 'hat': 0, 'es': 0.02, 'der': 0.03, 'Nationalrat': 0.03, 'in': 0, 'Hand': 0, 'endlich': 0.02, 'wenigstens': 0.025, 'ein': 0, 'kleines': 0.03, 'bisschen': 0.03, 'näher': 0.03, 'zum': 0.025, 'Rest': 0.02, 'modernen': 0.04, 'Welt': 0.04, 'aufzuschließen': 0.02, 'Wochen': 0.1, 'sind': 0.1, '10x': 0, 'mehr': 0.05, 'als': 0, 'bisher': 0, 'vaterschaftsurlaub': 0.42, 'elternzeit': 0.42, 'wahlch19': 0.16, 'deOligahtnachBern': 0.26}",neutral,"[0.581024, 0.054597404, 0.36437866]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Beim Vaterschaftsurlaub sehe ich die Forderung eher als vorläufige Minimalvariante. Mit allem anderen bin ich aber einverstanden. Nachhaltige Wirtschaft - Wir wollen eine Schweiz, die wächst und gerecht ist. https://t.co/IU2hGpaKDf https://t.co/NHI0wPfFQK",beim vaterschaftsurlaub sehen forderung eher vorläufig minimalvariante einverstanden nachhaltig wirtschaft schweiz wachsen gerecht,,,,"{'Beim': 0.07, 'Vaterschaftsurlaub': 0.67, 'sehe': 0.13, 'ich': 0.04, 'die': 0.07, 'Forderung': 0, 'eher': 0, 'als': 0.06, 'vorläufige': 0.07, 'Minimalvariante': 0, 'Mit': 0.03, 'allem': 0.05, 'anderen': 0, 'bin': 0, 'aber': 0.06, 'einverstanden': 0.05500000000000001, 'Nachhaltige': 0.06, 'Wirtschaft': 0, 'Wir': 0.05, 'wollen': 0.07, 'eine': 0, 'Schweiz': 0.07, 'wächst': 0.05, 'und': 0.03, 'gerecht': 0, 'ist': 0.03}",neutral,"[0.7079598, 0.11339026, 0.17865]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Wunderbar beschrieben. Eltern werden ist Frauensache, sagt unser Autor - Vaterschaftsurlaub als Aufholzeit https://t.co/x6PQAOUHGJ",wunderbar beschreiben eltern frauensache sagen autor vaterschaftsurlaub aufholzeit,,,,"{'Wunderbar': 0, 'beschrieben': 0.17, 'Eltern': 0.07, 'werden': 0, 'ist': 0.13, 'Frauensache': 0.11, 'sagt': 0.51, 'unser': 0.14, 'Autor': 0.2, 'Vaterschaftsurlaub': 0.595, 'als': 1.0, 'Aufholzeit': 0.76}",positive,"[0.32869038, 0.037526865, 0.63378274]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @MarionVPfister: @simonmichel kann es sein, dass es noch andere Werte gibt als rein monetäre? der #Vaterschaftsurlaub dient der Bindung…",werte geben rein monetäre vaterschaftsurlaub dienen bindung,,,,"{'kann': 0, 'es': 0, 'sein': 0, 'dass': 0.04, 'noch': 0, 'andere': 0, 'Werte': 0.14, 'gibt': 0.06, 'als': 0, 'rein': 0, 'monetäre': 0.08, 'der': 0.48, 'Vaterschaftsurlaub': 0.62, 'dient': 0.55, 'Bindung': 0, '…': 0}",positive,"[0.0062844185, 0.0022295734, 0.991486]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Ich bin hier mit der @JCVPSchweiz  auf einer Linie. Der 2wöchige Vaterschaftsurlaub ist ein Kompromiss der dank der @CVP_PDC nun Realität werden kann. Aber eine Lösung für die damit verbundenen Themen kann nur eine ausgedehnte #18WochenElternzeit sein. https://t.co/qnMX4EJSbE,linie 2wöchige vaterschaftsurlaub kompromiss danken realität lösung verbunden themen ausgedehnt 18wochenelternzeit,,,,"{'Ich': 0.03, 'bin': 0, 'hier': 0.11, 'mit': 0.06, 'der': 0.05, 'auf': 0, 'einer': 0, 'Linie': 0.1, 'Der': 0.05, '2wöchige': 0, 'Vaterschaftsurlaub': 0.17, 'ist': 0.49, 'ein': 0, 'Kompromiss': 0.49, 'dank': 0.04, 'nun': 0, 'Realität': 0.18, 'werden': 0, 'kann': 0.06, 'Aber': 0.15, 'eine': 0, 'Lösung': 0.13, 'für': 0, 'die': 0.05, 'damit': 0.025, 'verbundenen': 0, 'Themen': 0, 'nur': 0.07, 'ausgedehnte': 0, '18WochenElternzeit': 0.07, 'sein': 0}",negative,"[0.23714869, 0.65161234, 0.111239]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Und irgendwann wird dann auch der Bund noch merken, dass moderne Väter Elternzeit haben möchten, oder zumindest Vaterschaftsurlaub der den Namen verdient. #Vereinbarkeit #Elternzeit #Teilzeitfürmänner https://t.co/qOiD01v9Ql",irgendwann bund merken modern väter elternzeit mögen zumindest vaterschaftsurlaub namen verdienen vereinbarkeit elternzeit teilzeitfürmänner,,,,"{'Und': 0.05, 'irgendwann': 0, 'wird': 0.08, 'dann': 0, 'auch': 0.08, 'der': 0.07, 'Bund': 0, 'noch': 0, 'merken': 0, 'dass': 0.42, 'moderne': 0.08, 'Väter': 0.07, 'Elternzeit': 0.045, 'haben': 0, 'möchten': 0, 'oder': 0.44, 'zumindest': 0.715, 'Vaterschaftsurlaub': 0.52, 'den': 0.07, 'Namen': 0, 'verdient': 0, 'Vereinbarkeit': 0.05, 'Teilzeitfürmänner': 0.05}",positive,"[0.29151228, 0.14811625, 0.5603715]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@nicolebarandun Liebe Nicole, wunderbar. Genau so sehe ich das auch. Familien- und Erwerbsarbeit muss unbedingt in der Zukunft von beiden Eltern gemeinsam erbracht werden können. Dafür brauchen wir #Elternzeit oder #Vaterschaftsurlaub sowie #TeilzeitfürMänner.",lieb nicole wunderbar genau sehen familien erwerbsarbeit unbedingt zukunft beid eltern gemeinsam erbringen dafür brauchen elternzeit vaterschaftsurlaub sowie teilzeitfürmänner,,,,"{'Liebe': 0, 'Nicole': 0.1, 'wunderbar': 0, 'Genau': 0.03, 'so': 0, 'sehe': 0.04, 'ich': 0.03, 'das': 0.03, 'auch': 0, 'Familien-': 0, 'und': 0.05, 'Erwerbsarbeit': 0.095, 'muss': 0, 'unbedingt': 0, 'in': 0.04, 'der': 0.06, 'Zukunft': 0.1, 'von': 0, 'beiden': 0.05, 'Eltern': 0.07, 'gemeinsam': 0.06, 'erbracht': 0, 'werden': 0, 'können': 0, 'Dafür': 0, 'brauchen': 1.0, 'wir': 0, 'Elternzeit': 0.42, 'oder': 0.63, 'Vaterschaftsurlaub': 0.41, 'sowie': 0.11, 'TeilzeitfürMänner': 0.095}",positive,"[0.22951016, 0.05118132, 0.71930856]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Elternteil statt Vaterschaftsurlaub unbedingt. Aber bitte keine Mogelpackung liebe @FDP_Liberalen. Die Gelegenheit für gute Lösungen wäre günstig. Liebe @CVP_PDC Kollegen und Kolleginnen, wie wäre es mit einer mutigen Lösung aus der Mitte der Schweiz?",elternteil statt vaterschaftsurlaub unbedingt bitte mogelpackung lieb gelegenheit gut lösungen günstig lieb kollegen kolleginnen mutig lösung mitte schweiz,,,,"{'Elternteil': 0.46, 'statt': 0.765, 'Vaterschaftsurlaub': 0.895, 'unbedingt': 0.31, 'Aber': 0.12, 'bitte': 0, 'keine': 0, 'Mogelpackung': 0.05, 'liebe': 0, 'Die': 0.04, 'Gelegenheit': 0.03, 'für': 0.03, 'gute': 0, 'Lösungen': 0.04, 'wäre': 0.04, 'günstig': 0, 'Liebe': 0, 'Kollegen': 0.02, 'und': 0, 'Kolleginnen': 0.02, 'wie': 0.05, 'es': 0, 'mit': 0, 'einer': 0, 'mutigen': 0, 'Lösung': 0.04, 'aus': 0, 'der': 0.04, 'Mitte': 0, 'Schweiz': 0.02}",neutral,"[0.66928613, 0.046073865, 0.28464007]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Podiumsdiskussion der Avia zur Beschaffung Kampfflugzeuge. Souveräner Auftritt von #violaamherd und anschließend spannende Gespräche mit Podiumsteilnehmern. #air2030 @ Le Théâtre, Emmen https://t.co/83f58ftM7i",podiumsdiskussion avia beschaffung kampfflugzeuge souverän auftreten violaamherd anschließen spannend gespräche podiumsteilnehmern air2030 le théâtre emmen,,,,,,,"{'Podiumsdiskussion': 0.17, 'der': 0.08, 'Avia': 0.1, 'zur': 0.08, 'Beschaffung': 0.12, 'Kampfflugzeuge': 0, 'Souveräner': 0, 'Auftritt': 0, 'von': 0, 'violaamherd': 0.39, 'und': 0.45, 'anschließend': 0, 'spannende': 1.0, 'Gespräche': 0, 'mit': 0.36, 'Podiumsteilnehmern': 0, 'air2030': 0.25, 'Le': 0.08, 'Théâtre': 0, 'Emmen': 0.11}",positive,"[0.11215129, 0.026176902, 0.86167186]",,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,negative,"@ckberner @narimoldi Laden so: ""Du brauchst die App wenn Du hier rein willst""
Konsument so: ""Nö - dann komm ich halt nicht""
Ich glaube, das nennt man freie Marktwirtschaft. 
Schon ziemlich freiwillig - oder?",laden brauchen app rein konsument nö komm halt glauben nennen freie marktwirtschaft schon ziemlich freiwillig,,,,,,,,,,"{'Laden': 0, 'so': 0, 'Du': 0, 'brauchst': 0.02, 'die': 0.02, 'App': 0.04, 'wenn': 0.01, 'hier': 0.01, 'rein': 0, 'willst': 0.01, 'Konsument': 0.05, 'Nö': 0, 'dann': 0.01, 'komm': 0, 'ich': 0.02, 'halt': 0, 'nicht': 0.03, 'Ich': 0.02, 'glaube': 0, 'das': 0.04, 'nennt': 0, 'man': 0, 'freie': 1.0, 'Marktwirtschaft': 0.715, 'Schon': 0, 'ziemlich': 0, 'freiwillig': 0.07, 'oder': 0}",positive,"[0.10095098, 0.0112845125, 0.8877646]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Und hier noch eine wichtige Ergänzung zu meinem gestrigen Tweet. #Digitalisierung https://t.co/ZapfOSk5Fh,wichtig ergänzung gestrig tweet digitalisierung,,,,,,,,,,,,,"{'Und': 0.11, 'hier': 0.16, 'noch': 0, 'eine': 0, 'wichtige': 0.32, 'Ergänzung': 0, 'zu': 0.08, 'meinem': 0.1, 'gestrigen': 0.18, 'Tweet': 0.28, 'Digitalisierung': 1.0}",positive,"[0.006032083, 0.0012781165, 0.9926898]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @DanielKaeppeli: Cyber-Rekrutenschule - das Parlament zeigt wieder einmal, wie wenig es von #Internet und #Digitalisierung versteht.
htt…",cyber rekrutenschule parlament zeigen wenig internet digitalisierung verstehen htt,,,,,,,,,,,,,"{'Cyber-Rekrutenschule': 0, 'das': 0, 'Parlament': 0.08, 'zeigt': 0, 'wieder': 0.19, 'einmal': 0.11, 'wie': 0.64, 'wenig': 1.0, 'es': 0, 'von': 0, 'Internet': 0.19, 'und': 0.1, 'Digitalisierung': 0, 'versteht': 1.0, 'htt': 0.08, '…': 0}",negative,"[0.20811158, 0.7753506, 0.016537767]",,,,neutral
