answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.6,neutral,"Dank unserem Wohlstand und einer starken Landwirtschaft. Deine Vorfahren hätten ohne Fleisch kaum überlebt und auf den Wolf konnten sie auch gut verzichten. Für dich und viele andere hoffe ich nur, dass das Erwachen nicht zu spät erfolgt😦 https://t.co/spwwtJRB7d",danken wohlstand stark landwirtschaft vorfahren fleisch kaum überleben wolf gut verzichten hoffen erwachen spät erfolgen,,,,,,,,,,"{'Dank': 0.185, 'unserem': 0.11, 'Wohlstand': 0.28, 'und': 0.02, 'einer': 0, 'starken': 0, 'Landwirtschaft': 1.0, 'Deine': 0.08, 'Vorfahren': 0.14, 'hätten': 0.025, 'ohne': 0.02, 'Fleisch': 0.08, 'kaum': 0, 'überlebt': 0.05, 'auf': 0, 'den': 0.02, 'Wolf': 0.05, 'konnten': 0.02, 'sie': 0, 'auch': 0, 'gut': 0, 'verzichten': 0, 'Für': 0.01, 'dich': 0.02, 'viele': 0, 'andere': 0.02, 'hoffe': 0.03, 'ich': 0.02, 'nur': 0, 'dass': 0.02, 'das': 0.02, 'Erwachen': 0.04, 'nicht': 0, 'zu': 0.11, 'spät': 0.03, 'erfolgt': 0}",positive,"[0.00053316413, 0.0012114801, 0.9982553]",positive
50.0,75.0,57.0,0.0,neutral,"Nein zum Jagdgesetz ist ein Nein gegen die Nutztierhalter, gegen eine funktionierende Berglandwirtschaft, ein Nein zur Verbuschung unserer Kulturlandschaft. Deshalb ein JA mit Vernunft zu einer regulierbaren Jagd . https://t.co/xWVYNZJc6D",nein jagdgesetz nein nutztierhalter funktionierend berglandwirtschaft nein verbuschung kulturlandschaft deshalb ja vernunft regulierbaren jagd,,,,,,,,,,"{'Nein': 0.07, 'zum': 0.05, 'Jagdgesetz': 0.14, 'ist': 0.05, 'ein': 0, 'gegen': 0, 'die': 0.06, 'Nutztierhalter': 0.1, 'eine': 0, 'funktionierende': 0, 'Berglandwirtschaft': 0.5, 'zur': 0.05, 'Verbuschung': 0.18, 'unserer': 0.08, 'Kulturlandschaft': 0.135, 'Deshalb': 0.06, 'JA': 0, 'mit': 0.03, 'Vernunft': 0, 'zu': 0.04, 'einer': 0, 'regulierbaren': 0.05, 'Jagd': 0.1}",positive,"[0.010352488, 0.008712823, 0.9809347]",neutral
50.0,75.0,57.0,0.0,neutral,"Wölfe oder Landwirtschaft, eine Frage welche jeder sich heute und nicht erst morgen stellen muss! Dann, wenn unsere Kulturlandschaft verwildert, Wolfspopulationen sich jedes Jahr um das 4 bis 5 fache vermehren, ist es zu spät! Risse im Lötschental https://t.co/2YNbo3uIdp",wölfe landwirtschaft fragen welch jed heute erst morgen stellen kulturlandschaft verwildert wolfspopulationen jed jahr fache vermehren spät risse lötschental,,,,,,,,,,"{'Wölfe': 1.0, 'oder': 1.0, 'Landwirtschaft': 0.78, 'eine': 0, 'Frage': 0.12, 'welche': 0, 'jeder': 0.08, 'sich': 0, 'heute': 0.07, 'und': 0.04, 'nicht': 0.09, 'erst': 0, 'morgen': 0.06, 'stellen': 0, 'muss': 0.02, 'Dann': 0.05, 'wenn': 0, 'unsere': 0.03, 'Kulturlandschaft': 0.025, 'verwildert': 0, 'Wolfspopulationen': 0.025, 'jedes': 0.02, 'Jahr': 0.01, 'um': 0.16, 'das': 0.06, '4': 0, 'bis': 0, '5': 0, 'fache': 0.01, 'vermehren': 0.04, 'ist': 0.02, 'es': 0.02, 'zu': 0.02, 'spät': 0.02, 'Risse': 0.02, 'im': 0, 'Lötschental': 0}",neutral,"[0.92214525, 0.03652484, 0.041329816]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @Thomas_Egger_NR: Das revidierte #Jagdgesetz ermöglicht ein geregeltes Nebeneinander von Bevölkerung, Landwirtschaft, Tourismus und Gros…",revidierte jagdgesetz ermöglichen geregelt nebeneinander bevölkerung landwirtschaft tourismus gros,,,,,,,,,,"{'Das': 0.09, 'revidierte': 0.6, 'Jagdgesetz': 0.25, 'ermöglicht': 1.0, 'ein': 0, 'geregeltes': 0, 'Nebeneinander': 0, 'von': 0, 'Bevölkerung': 0.16, 'Landwirtschaft': 0.42, 'Tourismus': 0.13, 'und': 0.14, 'Gros': 0, '…': 0}",positive,"[0.02758041, 0.003012503, 0.9694071]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @srfbern: Am Oberwalliser Landwirtschaftszentrum werden auch Neuntklässler unterrichtet. Das ist einzigartig in der Schweiz. 

Jede Woch…",oberwalliser landwirtschaftszentrum neuntklässler unterrichten einzigartig schweiz jed woch,,,,,,,,,,"{'Am': 0, 'Oberwalliser': 0.04, 'Landwirtschaftszentrum': 0.07, 'werden': 0, 'auch': 0.13, 'Neuntklässler': 0.07, 'unterrichtet': 0, 'Das': 0.08, 'ist': 0.17, 'einzigartig': 0.51, 'in': 0.13, 'der': 0.08, 'Schweiz': 0.23, 'Jede': 1.0, 'Woch': 0.84, '…': 0}",positive,"[0.033794634, 0.0019468518, 0.9642585]",neutral
75.0,75.0,71.0,0.35,neutral,"Politik und Gesellschaft werden die Landwirtschaft der Schweiz zu Grunde richten. In wenigen Jahrzehnten vom Selbstversorger zur Kolchose. Ständige Reformen, günstige Importe von Lebensmitteln aus Massentierhaltung, ohne Einhaltung von Tier- und Gewässerschutzvorschriften. https://t.co/6vW4zoPj8Z",politik gesellschaft landwirtschaft schweiz grunde richten wenig jahrzehnten selbstversorger kolchose ständig reformen günstige importe lebensmitteln massentierhaltung einhaltung tier gewässerschutzvorschriften,,,,,,,,,,"{'Politik': 0, 'und': 0.03, 'Gesellschaft': 0.44, 'werden': 0.96, 'die': 0, 'Landwirtschaft': 0.9, 'der': 0, 'Schweiz': 0.45, 'zu': 0.06, 'Grunde': 0, 'richten': 0, 'In': 0.05, 'wenigen': 0.03, 'Jahrzehnten': 0.05, 'vom': 0.04, 'Selbstversorger': 0, 'zur': 0.06, 'Kolchose': 0, 'Ständige': 0, 'Reformen': 0.13, 'günstige': 0.08, 'Importe': 0, 'von': 0.04, 'Lebensmitteln': 0.04, 'aus': 0, 'Massentierhaltung': 0.03, 'ohne': 0.06, 'Einhaltung': 0, 'Tier-': 0, 'Gewässerschutzvorschriften': 0.04}",negative,"[0.01992613, 0.5177451, 0.46232885]",positive
50.0,75.0,57.0,0.0,neutral,"Am besten machen wir es so wie bei der Landwirtschaft: Klare Vorschriften im Tier- und Gewässerschutz und importieren Fleisch aus Massentierhaltung aus dem Ausland. Billigware ist nach wie vor der Kassenschlager, auch bei den vermeintlichen Klimaschützer😐 https://t.co/ArUD4Dg9hO",gut landwirtschaft klaren vorschriften tier gewässerschutz importieren fleisch massentierhaltung ausland billigware kassenschlager vermeintlich klimaschützer,,,,,,,,,,"{'Am': 0, 'besten': 1.0, 'machen': 0.12, 'wir': 0, 'es': 0, 'so': 0, 'wie': 0, 'bei': 0, 'der': 0.04, 'Landwirtschaft': 0.51, 'Klare': 0, 'Vorschriften': 0.14, 'im': 0, 'Tier-': 0, 'und': 0.05, 'Gewässerschutz': 0.055, 'importieren': 0.07, 'Fleisch': 0.03, 'aus': 0, 'Massentierhaltung': 0.04, 'dem': 0.445, 'Ausland': 0.05, 'Billigware': 0, 'ist': 0, 'nach': 0, 'vor': 0, 'Kassenschlager': 0, 'auch': 0, 'den': 0.04, 'vermeintlichen': 0.18, 'Klimaschützer': 0.06}",positive,"[0.020820979, 0.0029823878, 0.97619665]",neutral
50.0,75.0,57.0,0.0,neutral,"Eine Lehrstunde (Pflichtlektüre) für alle Politiker zum Thema Umwelt, Klima und Landwirtschaft. https://t.co/s9XLhuRqYS",lehrstunde pflichtlektüre all politiker thema umwelt klima landwirtschaft,,,,,,,,,,"{'Eine': 0, 'Lehrstunde': 0.15, 'Pflichtlektüre': 0.08, 'für': 0.16, 'alle': 0, 'Politiker': 0, 'zum': 0.2, 'Thema': 0, 'Umwelt': 0.45, 'Klima': 0.7, 'und': 1.0, 'Landwirtschaft': 1.0}",positive,"[0.056624506, 0.0023557509, 0.9410198]",neutral
50.0,75.0,57.0,0.0,neutral,Jede Stimme für den Wolf ist eine Stimme gegen die Landwirtschaft! https://t.co/s8HR706air,jed stimme wolf stimme landwirtschaft,,,,,,,,,,"{'Jede': 0.18, 'Stimme': 0, 'für': 0.1, 'den': 0.09, 'Wolf': 0.14, 'ist': 0.17, 'eine': 0, 'gegen': 1.0, 'die': 0.09, 'Landwirtschaft': 0.47}",positive,"[0.1803776, 0.057648707, 0.7619737]",neutral
25.0,0.0,14.0,-0.5,neutral,"Bild vom 29.Okt.2019 in Münster. Innert 2 Monaten sind mehr als 50 Nutztiere durch einen Wolf getötet worden. Landwirtschaft oder Wolf, die Politik muss sich entscheiden! Beides hat bei uns nicht Platz! https://t.co/vz6ohTbBcJ",bild okt münster innert monaten mehr nutztiere wolf töten landwirtschaft wolf politik entscheiden beide platz,,,,,,,,,,"{'Bild': 0, 'vom': 0.04, '29.Okt.2019': 0, 'in': 0.04, 'Münster': 0, 'Innert': 0.05, '2': 0, 'Monaten': 0.08, 'sind': 0, 'mehr': 0.03, 'als': 0, '50': 0, 'Nutztiere': 0.12, 'durch': 0, 'einen': 0.07, 'Wolf': 0.17, 'getötet': 0.23, 'worden': 0, 'Landwirtschaft': 0.94, 'oder': 0.51, 'die': 0, 'Politik': 0, 'muss': 0.69, 'sich': 0, 'entscheiden': 1.0, 'Beides': 0, 'hat': 0, 'bei': 0, 'uns': 0, 'nicht': 0, 'Platz': 0}",neutral,"[0.76447606, 0.18775694, 0.047767006]",negative
50.0,75.0,57.0,0.0,neutral,Was macht ein Mann in der Politik der keine Ahnung hat von dem was er erzählt? Neben dem Wolf ist die SP der grösste Feind der Landwirtschaft! Sie ist dabei diese zu zerstören! https://t.co/KOEWLhu43t,mann politik ahnung erzählen neben wolf sp grösste feind landwirtschaft dabei zerstören,,,,,,,,,,"{'Was': 0, 'macht': 0, 'ein': 0, 'Mann': 0, 'in': 0.04, 'der': 0.23, 'Politik': 0, 'keine': 0, 'Ahnung': 0.03, 'hat': 0, 'von': 0, 'dem': 0.14500000000000002, 'was': 0, 'er': 0.07, 'erzählt': 0, 'Neben': 0.11, 'Wolf': 0.19, 'ist': 0.07, 'die': 0.23, 'SP': 0.19, 'grösste': 0, 'Feind': 1.0, 'Landwirtschaft': 0.68, 'Sie': 0.27, 'dabei': 0, 'diese': 0, 'zu': 0.06, 'zerstören': 0.17}",positive,"[0.001962243, 0.0017797425, 0.996258]",neutral
50.0,75.0,57.0,0.0,neutral,Herdenschutz ist eine Ilusion!! Wir brauchen Schutz vor dem Wolf! Der Schutz unserer Nutztiere und der Landwirtschaft muss an erster Stelle stehen. Aufwachen bevor es zu spät ist. Unser Kulturgut steht auf dem Spiel!! https://t.co/xlhuJmyTse,herdenschutz ilusion brauchen schutz wolf schutz nutztiere landwirtschaft erst stelle stehen aufwachen bevor spät kulturgut stehen spiel,,,,,,,,,,"{'Herdenschutz': 0, 'ist': 0.06, 'eine': 0, 'Ilusion': 0, 'Wir': 0.02, 'brauchen': 0.03, 'Schutz': 0.24, 'vor': 0.02, 'dem': 0.08, 'Wolf': 0.03, 'Der': 0.08, 'unserer': 0.03, 'Nutztiere': 0, 'und': 1.0, 'der': 0.08, 'Landwirtschaft': 1.0, 'muss': 0, 'an': 0.05, 'erster': 0.27, 'Stelle': 0, 'stehen': 0, 'Aufwachen': 0, 'bevor': 0.02, 'es': 0.06, 'zu': 0, 'spät': 0.01, 'Unser': 0.03, 'Kulturgut': 0.04, 'steht': 0, 'auf': 0, 'Spiel': 0}",positive,"[0.020370042, 0.0068638413, 0.97276616]",neutral
50.0,75.0,57.0,0.0,neutral,"Mindestens 6 tote Schafe in einer Woche. Wolfsrisse im Talgrund des Goms zwischen Oberwald und Bellwald. Der Tierschutz schweigt, der Naturschutz freut sich und die Landwirtschaft geht zu Grunde. Ein Werk von Biologen und Ökofanatiker!",mindestens tot schafe woche wolfsrisse talgrund goms oberwald bellwald tierschutz schweigen naturschutz freuen landwirtschaft gehen grunde werk biologen ökofanatiker,,,,,,,,,,"{'Mindestens': 0.015, '6': 0, 'tote': 0, 'Schafe': 0.04, 'in': 0.01, 'einer': 0, 'Woche': 0.02, 'Wolfsrisse': 0, 'im': 0, 'Talgrund': 0, 'des': 0, 'Goms': 0.04, 'zwischen': 0.04, 'Oberwald': 0.06, 'und': 0.03, 'Bellwald': 0.07, 'Der': 0.02, 'Tierschutz': 0.11, 'schweigt': 0.125, 'der': 0.02, 'Naturschutz': 0, 'freut': 0.58, 'sich': 0, 'die': 0.02, 'Landwirtschaft': 1.0, 'geht': 0, 'zu': 0, 'Grunde': 0, 'Ein': 0.04, 'Werk': 0.04, 'von': 0, 'Biologen': 0.06, 'Ökofanatiker': 0}",positive,"[0.0018406087, 0.0012754515, 0.9968839]",neutral
0.0,0.0,0.0,-0.85,neutral,Das war zu erwarten: zuerst die Kriegserklärung gegen die fossilen Energieträger und nun die Landwirtschaft. Die LINKE Klimahysterie verhext alles was uns den Wohlstand gebracht hat. Mass halten wäre die Lösung! https://t.co/dLamCgiCc8,erwarten zuerst kriegserklärung fossil energieträger landwirtschaft link klimahysterie verhexen wohlstand bringen mass halten lösung,,,,,,,,,,"{'Das': 0.02, 'war': 0.09, 'zu': 0.03, 'erwarten': 0, 'zuerst': 0.68, 'die': 0.02, 'Kriegserklärung': 0.1075, 'gegen': 0.23, 'fossilen': 0.11, 'Energieträger': 0, 'und': 0.34, 'nun': 0, 'Landwirtschaft': 1.0, 'Die': 0.02, 'LINKE': 0, 'Klimahysterie': 0, 'verhext': 0, 'alles': 0.06, 'was': 0.09, 'uns': 0.04, 'den': 0.02, 'Wohlstand': 0.08, 'gebracht': 0.04, 'hat': 0, 'Mass': 0, 'halten': 0, 'wäre': 0.05, 'Lösung': 0.06}",neutral,"[0.8813913, 0.018069329, 0.100539416]",negative
25.0,25.0,28.0,-0.25,neutral,Im Berggebiet werden zu mehr als 90%  Milch- und Fleischprodukte hergestellt. Die Empfehlung des BAFU benachteiligt die fleisch-produzierende Landwirtschaft und fördert den unsinnigen Transport von Lebensmittel. https://t.co/DrTKNJFLXL,berggebiet mehr milch fleischprodukte herstellen empfehlung bafu benachteiligen fleisch produzierend landwirtschaft fördern unsinnig transport lebensmittel,,,,,,,,,,"{'Im': 0, 'Berggebiet': 0.055, 'werden': 0, 'zu': 0, 'mehr': 0.04, 'als': 0, '90': 0, 'Milch-': 0, 'und': 0.25, 'Fleischprodukte': 0.065, 'hergestellt': 0, 'Die': 0.13, 'Empfehlung': 0.16, 'des': 0, 'BAFU': 0, 'benachteiligt': 0, 'die': 0.13, 'fleisch-produzierende': 0, 'Landwirtschaft': 0.82, 'fördert': 0.22, 'den': 0.13, 'unsinnigen': 0, 'Transport': 0.09, 'von': 0, 'Lebensmittel': 0.08}",negative,"[0.003170107, 0.936717, 0.060112912]",negative
50.0,75.0,57.0,0.0,neutral,"Berglandwirtschaft, quo vadis? Mit den Wölfen in den Abgrund😢 https://t.co/dEj1hgzMn8",berglandwirtschaft quo vadis wölfen abgrund,,,,,,,,,,"{'Berglandwirtschaft': 0.61, 'quo': 0.69, 'vadis': 0.4, 'Mit': 0.37, 'den': 0.08, 'Wölfen': 0.12, 'in': 0, 'Abgrund': 0.21}",neutral,"[0.8178826, 0.041400775, 0.14071663]",neutral
100.0,100.0,100.0,1.0,neutral,Der Untergang der Landwirtschaft!! Dies nennt sich BTS (BesondersTierfreundlichesStallhaltesystem)! Der Einzige der sich darüber freut ist der Wolf. Und jetzt sollen noch Zäune vor den Ställen errichtet werden? Wohin dieser Irrsinn noch führt?? https://t.co/bJzZedi0fv,untergang landwirtschaft nennen bts besonderstierfreundlichesstallhaltesystem einzig darüber freuen wolf sollen zäune ställen errichten wohin irrsinn führen,,,,,,,,,,"{'Der': 0.05, 'Untergang': 0, 'der': 0.05, 'Landwirtschaft': 1.0, 'Dies': 0, 'nennt': 0, 'sich': 0, 'BTS': 0.13, 'BesondersTierfreundlichesStallhaltesystem': 0.16, 'Einzige': 0.06, 'darüber': 0.065, 'freut': 0.08499999999999999, 'ist': 0.06, 'Wolf': 0.11, 'Und': 0.04, 'jetzt': 0.06, 'sollen': 0.05, 'noch': 0, 'Zäune': 0.13, 'vor': 0, 'den': 0.05, 'Ställen': 0, 'errichtet': 0, 'werden': 0, 'Wohin': 0.065, 'dieser': 0.06, 'Irrsinn': 0.14, 'führt': 0}",negative,"[0.06151091, 0.6730646, 0.2654245]",positive
