answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,negative,RT @NicoRadio: Ein 4-wöchiger #Vaterschaftsurlaub würde laut Bundesrat die Firmen vor zu grosse organisatorische Herausforderungen stellen.…,wöchiger vaterschaftsurlaub laut bundesrat firmen grosse organisatorische herausforderungen stellen,,,,,,,,,,"{'Ein': 0.35, '4-wöchiger': 0.3, 'Vaterschaftsurlaub': 0.87, 'würde': 0.39, 'laut': 0.12, 'Bundesrat': 0.11, 'die': 0.08, 'Firmen': 0.21, 'vor': 0, 'zu': 0.09, 'grosse': 0, 'organisatorische': 0.13, 'Herausforderungen': 0.12, 'stellen': 0, '…': 0}",negative,"[0.31771228, 0.60467464, 0.077612996]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @ppsde: Unsere Vernehmlassungsantwort zur Neuausrichtung von E-Voting.
tl;dr Keine Experimente mit unserer Basisdemokratie und dabei noc…",vernehmlassungsantwort neuausrichtung e voting tlr experimente basisdemokratie dabei noc,,,,,,,,,,,,,"{'Unsere': 0.18, 'Vernehmlassungsantwort': 0.12000000000000001, 'zur': 0.04, 'Neuausrichtung': 0.18, 'von': 0, 'E-Voting': 0, 'tlr': 0.64, 'Keine': 0, 'Experimente': 0, 'mit': 0.2, 'unserer': 0.18, 'Basisdemokratie': 0.12, 'und': 0.12, 'dabei': 0, 'noc': 0, '…': 0}",neutral,"[0.565403, 0.09074155, 0.3438555]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @LangstrumpfPipo: E-Voting – Ein Lagebericht @JorgoA 
https://t.co/gmPp0DcSLQ https://t.co/eUAbHALGW2",e voting lagebericht,,,,,,,,,,,,,"{'E-Voting': 0, '–': 0, 'Ein': 0, 'Lagebericht': 0}",neutral,"[0.6432521, 0.055834085, 0.3009138]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Mit E-Voting zur Entertainment-Demokratie, der Artikel ist ab heute online: https://t.co/DVnNxvUnsY
19:45 Uhr gibt es den passenden Vortrag dazu am @digiges_ch #Winterkongress.
Darum jetzt die Initiative unterstützen auf https://t.co/VAjjddgYF4
@eVoteMoratorium",e voting entertainment demokratie artikel ab heute online uhr geben passend vortrag winterkongress darum initiative unterstützen,,,,,,,,,,,,,"{'Mit': 1.0, 'E-Voting': 0, 'zur': 0.03, 'Entertainment-Demokratie': 0.245, 'der': 0.03, 'Artikel': 0.23, 'ist': 0.16, 'ab': 0, 'heute': 0.09, 'online': 0.22, '19:45': 0, 'Uhr': 0, 'gibt': 0, 'es': 0.16, 'den': 0.03, 'passenden': 0, 'Vortrag': 0, 'dazu': 0, 'am': 0, 'Winterkongress': 0.025, 'Darum': 0, 'jetzt': 0.18, 'die': 0.03, 'Initiative': 0.07, 'unterstützen': 0.12, 'auf': 0}",neutral,"[0.6350718, 0.05684541, 0.3080827]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: @NZZ Cybervoting - was @CyberMyri / @ETH in @swissinfo_de sagt:

""Es geht beim E-Voting nicht nur um Technologie. Wenn jemand g…",cybervoting sagen gehen beim e voting technologie jemand g,,,,,,,,,,,,,"{'Cybervoting': 0.18, 'was': 0, 'in': 0.07, 'sagt': 0.06, 'Es': 0.07, 'geht': 0, 'beim': 0, 'E-Voting': 0, 'nicht': 0.07, 'nur': 0, 'um': 0, 'Technologie': 0.2, 'Wenn': 0, 'jemand': 1.0, 'g': 1.0, '…': 0}",neutral,"[0.8741665, 0.046554964, 0.07927862]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @eVoteMoratorium: «Letztlich bietet die Volksinitiative für ein E-Voting-Moratorium die beste Garantie, dass keine unsicheren und intran…",letztlich bieten volksinitiative e voting moratorium gut garantie unsicher intran,,,,,,,,,,,,,"{'«': 0, 'Letztlich': 0, 'bietet': 0, 'die': 0, 'Volksinitiative': 0, 'für': 0, 'ein': 0, 'E-Voting-Moratorium': 0, 'beste': 0, 'Garantie': 0, 'dass': 0, 'keine': 0, 'unsicheren': 0, 'und': 0, 'intran': 0, '…': 0}",positive,"[0.18856215, 0.20811114, 0.6033267]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @yvohofer: Nun ist es offiziell: Die eidgenössische Jugendsession 2019 unterstützt die Volksinitiative für ein E-Voting-Moratorium!
Das…",offiziell eidgenössische jugendsession unterstützen volksinitiative e voting moratorium,,,,,,,,,,,,,"{'Nun': 0, 'ist': 0.08, 'es': 0.08, 'offiziell': 0, 'Die': 1.0, 'eidgenössische': 0.07, 'Jugendsession': 0.075, 'unterstützt': 0.57, 'die': 1.0, 'Volksinitiative': 0.1, 'für': 0.08, 'ein': 0, 'E-Voting-Moratorium': 0, 'Das': 1.0, '…': 0}",positive,"[0.35985434, 0.068648666, 0.57149696]",,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"@MatthiasEngel09 weiter: ""... Hilfsmittel der Sehbehinderten auf die Abstimmungsunterlagen abgleichen. «Solange die Unterlagen von Gemeinde zu Gemeinde verschieden sind, ist das aber nicht möglich» ... Dass es eine solche analoge Alternative zum E-Voting gibt, zeigt ein Blick ins Ausland.",weit hilfsmittel sehbehinderten abstimmungsunterlagen abgleichen solange unterlagen gemeinden gemeinden verscheiden möglich analoge alternative e voting geben zeigen blick ausland,,,,,,,,,,,,,"{'weiter': 0.05, '...': 0, 'Hilfsmittel': 0.04, 'der': 0.12, 'Sehbehinderten': 0.075, 'auf': 0, 'die': 0, 'Abstimmungsunterlagen': 0.585, 'abgleichen': 0.07, '«': 0, 'Solange': 0, 'Unterlagen': 0, 'von': 0, 'Gemeinde': 0, 'zu': 0, 'verschieden': 0, 'sind': 0, 'ist': 0, 'das': 0, 'aber': 0, 'nicht': 0, 'möglich': 0, '»': 0, 'Dass': 0, 'es': 0, 'eine': 0, 'solche': 0, 'analoge': 0, 'Alternative': 0, 'zum': 0, 'E-Voting': 0, 'gibt': 0, 'zeigt': 0, 'ein': 0, 'Blick': 0, 'ins': 0, 'Ausland': 0}",neutral,"[0.6286272, 0.33440512, 0.036967687]",,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,negative,"RT @LangstrumpfPipo: ""Nicht einmal die hitzigen Debatten um «Upload-Filter», die Probleme rund ums E-Voting oder die Einführung einer E-ID…",hitzig debatten upload filter probleme rund ums e voting einführung e id,,,,,,,,,,,,,"{'Nicht': 1.0, 'einmal': 0, 'die': 0, 'hitzigen': 0.28, 'Debatten': 0.22999999999999998, 'um': 0, '«': 0, 'Upload-Filter': 0, '»': 0, 'Probleme': 0, 'rund': 0, 'ums': 0, 'E-Voting': 0, 'oder': 0, 'Einführung': 0, 'einer': 0, 'E-ID': 0, '…': 0}",negative,"[0.38701844, 0.588924, 0.02405756]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"E-Voting-Stimmen sind anonyme Daten: eine menschliche Handschrift fehlt. Man vertraut nur den Algorithmen.
https://t.co/eO1Oqmy4Mp
Darum jetzt das @eVoteMoratorium unterstützen.",e voting stimmen anonym daten menschliche handschrift fehlen vertrauen algorithmen darum unterstützen,,,,,,,,,,,,,"{'E-Voting-Stimmen': 0.27, 'sind': 0.17, 'anonyme': 0.3, 'Daten': 0.49, 'eine': 0, 'menschliche': 0.16, 'Handschrift': 0.2, 'fehlt': 0.12, 'Man': 0, 'vertraut': 0, 'nur': 0.18, 'den': 0.19, 'Algorithmen': 0.47, 'Darum': 0, 'jetzt': 1.0, 'das': 0, 'unterstützen': 1.0}",neutral,"[0.4510713, 0.34287035, 0.20605843]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @dbrgn: Die Abschlussberichte zum einzig verbleibenden E-Voting-System der Schweiz sind da. Es ist ein Desaster.

https://t.co/mWqur1gKL…",abschlussberichte einzig verbleibend e voting system schweiz desaster,,,,,,,,,,,,,"{'Die': 0.08, 'Abschlussberichte': 0.17500000000000002, 'zum': 0.08, 'einzig': 0.11, 'verbleibenden': 0.12, 'E-Voting-System': 0, 'der': 0.08, 'Schweiz': 0.17, 'sind': 0.12, 'da': 0, 'Es': 0, 'ist': 0, 'ein': 0, 'Desaster': 1.0}",negative,"[0.008301294, 0.98497146, 0.006727191]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @zac1967: Freude herrscht! Nationalrat unterstützt meine Motion ""E-Versand statt E-Voting"" https://t.co/jglErd1bDV",freude herrschen nationalrat unterstützen motion e versand statt e voting,,,,,,,,,,,,,"{'Freude': 0.13, 'herrscht': 0.11, 'Nationalrat': 0.075, 'unterstützt': 0.29, 'meine': 0.09, 'Motion': 0.17, 'E-Versand': 0, 'statt': 0.18, 'E-Voting': 0}",positive,"[0.1734431, 0.04808357, 0.7784734]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @bitcoinschweiz: E-Voting Schweiz: Projekt ist eine grosse Blackbox – Keine umfassende Audits – Volksinitiative fordert Stopp!
https://t…",e voting schweiz projekt grosse blackbox umfassend audits volksinitiative fordern stopp,,,,,,,,,,,,,"{'E-Voting': 0, 'Schweiz': 0.12, 'Projekt': 0.18, 'ist': 0.2, 'eine': 0, 'grosse': 0, 'Blackbox': 0, '–': 0, 'Keine': 0, 'umfassende': 0, 'Audits': 0, 'Volksinitiative': 0, 'fordert': 0, 'Stopp': 0}",negative,"[0.22474156, 0.6729099, 0.10234851]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Cybervoting - @Mayor_Arnold / @CVP_PDC zum @eVoteMoratorium:

""Ich war bis vor kurzem der Meinung, das E-Voting-Moratorium sei…",cybervoting kurz meinung e voting moratorium,,,,,,,,,,,,,"{'Cybervoting': 0.11, 'zum': 0.27, 'Ich': 0.08, 'war': 0, 'bis': 0.21, 'vor': 0, 'kurzem': 0.2, 'der': 0.27, 'Meinung': 1.0, 'das': 1.0, 'E-Voting-Moratorium': 0, 'sei': 0, '…': 0}",negative,"[0.2879949, 0.69550437, 0.016500778]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: Cybervoting - #echoderzeit vom @SRF mit 3min-Audiopodcast: E-Voting der @postschweiz gescheitert. https://t.co/loveAEbgru

#Cyb…",cybervoting echoderzeit 3min audiopodcast e voting scheitern cyb,,,,,,,,,,,,,"{'Cybervoting': 0.31, 'echoderzeit': 0.23, 'vom': 0.12, 'mit': 0.08, '3min-Audiopodcast': 0, 'E-Voting': 0, 'der': 0, 'gescheitert': 1.0, 'Cyb': 0.17, '…': 0}",negative,"[0.3120606, 0.5198256, 0.16811377]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@PiratenBS_BL Die Piratenpartei führt deshalb seit einiger Zeit eine (leider noch  unvollständige) Liste der verfügbaren E-Voting-Source-Codes und  Sicherungskopien. 
https://t.co/KRObg7h19b

#EVoting @eVoteMoratorium",piratenpartei führen deshalb seit zeit leider unvollständig liste verfügbar e voting source codes sicherungskopien evoting,,,,,,,,,,,,,"{'Die': 0.06, 'Piratenpartei': 0.07500000000000001, 'führt': 0, 'deshalb': 0.07, 'seit': 0, 'einiger': 0.07, 'Zeit': 0.07, 'eine': 0, 'leider': 0.05, 'noch': 0.02, 'unvollständige': 0.07, 'Liste': 0, 'der': 0.06, 'verfügbaren': 0.1, 'E-Voting-Source-Codes': 0, 'und': 0.09, 'Sicherungskopien': 0.11499999999999999, 'EVoting': 0.94}",neutral,"[0.48655856, 0.42810985, 0.085331544]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,RT @eVoteMoratorium: «Ich unterstütze die Schweizer Initiative für ein E-Voting-Moratorium. Die Schweizer Bürger müssen bessere Prozesse ve…,unterstützen schweizer initiative e voting moratorium schweizer bürger müssen gut prozesse ve,,,,,,,,,,,,,"{'«': 0, 'Ich': 0, 'unterstütze': 0, 'die': 0, 'Schweizer': 0, 'Initiative': 0, 'für': 0, 'ein': 0, 'E-Voting-Moratorium': 0, 'Die': 0, 'Bürger': 0, 'müssen': 0, 'bessere': 0, 'Prozesse': 0, 've': 0, '…': 0}",negative,"[0.29678884, 0.54121006, 0.16200106]",,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,RT @watson_news: Schlechte Nachrichten für die Post: Nächste kritische Sicherheitslücke beim E-Voting entdeckt. https://t.co/cW5ZOJPEsi,schlecht nachrichten post nächst kritisch sicherheitslücke beim e voting entdecken,,,,,,,,,,,,,"{'Schlechte': 0.69, 'Nachrichten': 0, 'für': 0.25, 'die': 0.18, 'Post': 0.86, 'Nächste': 0.8, 'kritische': 0.42, 'Sicherheitslücke': 0.17, 'beim': 0.18, 'E-Voting': 0, 'entdeckt': 0.4}",negative,"[0.030662125, 0.96248245, 0.006855447]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @eVoteMoratorium: Hackerin entdeckt neue Lücke im Post-E-Voting  https://t.co/gWBY3WYF1J #eVoting https://t.co/gg2X85KyFG,hackerin entdecken neue lücke post e voting evoting,,,,,,,,,,,,,"{'Hackerin': 0, 'entdeckt': 0, 'neue': 0.12, 'Lücke': 0.21, 'im': 0, 'Post-E-Voting': 0, 'eVoting': 1.0}",negative,"[0.33340988, 0.64467835, 0.021911798]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @CCC_CH: Cybervoting - Volker Birk (@blog_fdik_org) im #TopTalk von TELE-TOP (@diisteletop):
""[D]ass es uns Experten beim E-Voting überh…",cybervoting volker birk toptalk tele top d ass experten beim e voting überh,,,,,,,,,,,,,"{'Cybervoting': 0.16, 'Volker': 0.09, 'Birk': 0.06, 'im': 0, 'TopTalk': 0.11, 'von': 0.09, 'TELE-TOP': 0, '):': 0, 'D': 0.18, 'ass': 0, 'es': 0, 'uns': 0.21, 'Experten': 0.34, 'beim': 0.05, 'E-Voting': 0, 'überh': 0, '…': 0}",neutral,"[0.749856, 0.210179, 0.039965037]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @wecollectCH: @eVoteMoratorium Sammelstart E-Voting Moratorium in Luzern. #eVoting. ▶️ PDF https://t.co/alAJ3BxlxN ▶️ Online unterschrei…,sammelstart e voting moratorium luzern evoting pdf online unterschrei,,,,,,,,,,,,,"{'Sammelstart': 0.105, 'E-Voting': 0, 'Moratorium': 0.2, 'in': 0.06, 'Luzern': 0, 'eVoting': 0.27, '▶': 0, '️': 0, 'PDF': 0, 'Online': 0, 'unterschrei': 0, '…': 0}",neutral,"[0.9508009, 0.026500676, 0.0226985]",,,,,,,,,,,,,,,,neutral
