answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,14.0,-0.6666666666666666,neutral,1/3 der Arten stehen in der Schweiz auf der Roten Liste. Wir sollten bedrohte Tierarten gar nicht mehr jagen! Das „Ja“ der @CVP_PDC zum #Abschussgesetz finde ich bedenklich und entlarvt ihre Umweltschutz-Wahlversprechen als leere Hülse. https://t.co/54rr54EjCG,arten stehen schweiz rot liste sollen bedrohen tierarten gar mehr jagen ja abschussgesetz finden bedenklich entlarven umweltschutz wahlversprechen leer hülsen,,,,,,,,,,,,,,,,,,,"{'1': 0, '3': 0, 'der': 0, 'Arten': 0.04, 'stehen': 0, 'in': 0.01, 'Schweiz': 0.02, 'auf': 0.01, 'Roten': 0, 'Liste': 0, 'Wir': 0.01, 'sollten': 0, 'bedrohte': 0, 'Tierarten': 0.04, 'gar': 0, 'nicht': 0, 'mehr': 0, 'jagen': 0.02, 'Das': 0.03, '„': 0, 'Ja': 0, '“': 0, 'zum': 0, 'Abschussgesetz': 0, 'finde': 0, 'ich': 0, 'bedenklich': 0, 'und': 0, 'entlarvt': 0, 'ihre': 0, 'Umweltschutz-Wahlversprechen': 0, 'als': 0, 'leere': 0, 'Hülse': 0}",negative,"[0.032965817, 0.6913063, 0.27572796]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Der @FDP_Liberalen nicht nur im #Umweltschutz um Längen voraus, sondern auch in der #Wirtschaftspolitik. #EsistZeit für nachhaltiges Wirtschaften. #WahlCH19 https://t.co/NrIxhBeYDY",umweltschutz längen voraus wirtschaftspolitik esistzeit nachhaltig wirtschaften wahlch19,,,,,,,,,,,,,,,,,,,"{'Der': 0, 'nicht': 0.32, 'nur': 0.31, 'im': 0, 'Umweltschutz': 0.6900000000000001, 'um': 0, 'Längen': 0, 'voraus': 0.1, 'sondern': 0.26, 'auch': 0.21, 'in': 0.1, 'der': 0, 'Wirtschaftspolitik': 0.115, 'EsistZeit': 0, 'für': 0.06, 'nachhaltiges': 0.08, 'Wirtschaften': 0, 'WahlCH19': 0}",positive,"[0.0010665751, 0.0014279941, 0.9975055]",,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"RT @klinglergeorg: 54 Abstimmungen für Umweltschutz analysiert. #SVP und #Lega lehnten alles ab, die #FDP über 40. Interessant ist auch, da…",abstimmungen umweltschutz analysieren svp lega lehnen ab fdp interessant,,,,,,,,,,,,,,,,,,,"{'54': 0, 'Abstimmungen': 0, 'für': 0.44, 'Umweltschutz': 0.675, 'analysiert': 1.0, 'SVP': 0, 'und': 0.17, 'Lega': 0, 'lehnten': 0, 'alles': 0.08, 'ab': 0, 'die': 0.09, 'FDP': 0.14, 'über': 0.06, '40.': 0, 'Interessant': 0.1, 'ist': 0.04, 'auch': 0.04, 'da': 0, '…': 0}",positive,"[0.14426465, 0.012997569, 0.8427378]",,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"158 für, 145 gegen 2050 Netto-Null-Ziel. Umweltschutz ist wirklich eine Herzensangelegenheit für die ⁦@FDP_Liberalen⁩. Zumindest für die Hälfte. #DNA via @srfnews https://t.co/XAa4999RaV",netto nullen ziel umweltschutz wirklich herzensangelegenheit zumindest hälfte dna via,,,,,,,,,,,,,,,,,,,"{'158': 0, 'für': 0, '145': 0, 'gegen': 0.08, '2050': 0, 'Netto-Null-Ziel': 0.135, 'Umweltschutz': 0.615, 'ist': 0.47, 'wirklich': 1.0, 'eine': 0, 'Herzensangelegenheit': 0.16499999999999998, 'die': 0, '\u2066\u2069.': 0, 'Zumindest': 0, 'Hälfte': 0, 'DNA': 0, 'via': 0}",positive,"[0.0015204028, 0.001637012, 0.9968426]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"„Offensichtlich haben urbane Wählerinnen und Wähler Gefallen gefunden an einer Partei, die für Europa, mehr Umweltschutz und mehr Wirtschaftsfreundlichkeit ist.“ ⁦@grunliberale⁩ #EsistZeit  https://t.co/mynWCauqJL",offensichtlich urbane wählerinnen wähler fallen finden partei europa mehr umweltschutz mehr wirtschaftsfreundlichkeit esistzeit,,,,,,,,,,,,,,,,,,,"{'„': 0, 'Offensichtlich': 0, 'haben': 0, 'urbane': 0, 'Wählerinnen': 0, 'und': 0, 'Wähler': 0, 'Gefallen': 0, 'gefunden': 0, 'an': 0, 'einer': 0, 'Partei': 0, 'die': 0, 'für': 0, 'Europa': 0, 'mehr': 0, 'Umweltschutz': 0, 'Wirtschaftsfreundlichkeit': 0, 'ist': 0, '“': 0, '\u2066\u2069': 0, 'EsistZeit': 0}",positive,"[0.09069024, 0.030344741, 0.87896496]",,,,,,,neutral
75.0,75.0,71.0,0.3333333333333333,negative,"Schön wärs. Die #FDP hat leider immer noch nicht verstanden, dass Wirtschaft und Umweltschutz keine Gegensätze sind. Oder wie habt ihrs mit Flugticketabgabe, strengeren Tierschutzgesetzen oder höheren Pestizidgrenzwerten? #FuckDePlanet @JFZH @glpzh https://t.co/ShcZnSxvXc",schön wärs fdp leider immer verstehen wirtschaft umweltschutz gegensätze ihrs flugticketabgabe streng tierschutzgesetzen hoch pestizidgrenzwerten fuckdeplanet,,,,,,,,,,,,,,,,,,,"{'Schön': 0.09, 'wärs': 0.04, 'Die': 0.1, 'FDP': 0.19, 'hat': 0, 'leider': 0.15, 'immer': 0, 'noch': 0.09, 'nicht': 0.06, 'verstanden': 0.4, 'dass': 0.4, 'Wirtschaft': 1.0, 'und': 0.94, 'Umweltschutz': 0.765, 'keine': 0, 'Gegensätze': 0, 'sind': 0.11, 'Oder': 0.03, 'wie': 0.03, 'habt': 0, 'ihrs': 0, 'mit': 0.02, 'Flugticketabgabe': 0.09, 'strengeren': 0.05, 'Tierschutzgesetzen': 0.06, 'oder': 0.03, 'höheren': 0.03, 'Pestizidgrenzwerten': 0.065, 'FuckDePlanet': 0.18}",positive,"[0.20474714, 0.11805858, 0.6771943]",,,,,,,positive
0.0,0.0,0.0,-0.85,neutral,"@hjboesch @smartvoteCH Ich fasse Ihre kleine Liste mal zusammen: das Verbrennen fossiler Energieträger, die Verseuchung von ausländischen Gewässern und der Ausbau des Strassenverkehrs sind die Kernpunkte Ihrer fdp’schen Umweltpolitik. Fehlt noch der Abschuss von bedrohten Tierarten ...",fasse kleine liste mal zusammen verbrennen fossil energieträger verseuchung ausländisch gewässern ausbau strassenverkehrs kernpunkte fdp schen umweltpolitik fehlen abschuss bedrohen tierarten,,,,,,,,,,,,,,,,,,,,,,"{'Ich': 0, 'fasse': 0, 'Ihre': 0.09, 'kleine': 0, 'Liste': 0, 'mal': 0, 'zusammen': 0, 'das': 0, 'Verbrennen': 0, 'fossiler': 0.06, 'Energieträger': 0, 'die': 0.05, 'Verseuchung': 0.2, 'von': 0, 'ausländischen': 0.14, 'Gewässern': 0.1, 'und': 0.29, 'der': 0, 'Ausbau': 1.0, 'des': 0, 'Strassenverkehrs': 0.69, 'sind': 0.32, 'Kernpunkte': 0, 'Ihrer': 0.03, 'fdp': 0, '’': 0, 'schen': 0, 'Umweltpolitik': 0, 'Fehlt': 0, 'noch': 0, 'Abschuss': 0, 'bedrohten': 0, 'Tierarten': 0, '...': 0}",positive,"[0.05864181, 0.25683263, 0.68452555]",,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @kathrinbertschy: „Den grössten Einfluss auf den Rückgang der Biodiversität hat die Landwirtschaft, keine Frage. Der landwirtschaftliche…",grössten einfluss rückgang biodiversität landwirtschaft fragen landwirtschaftliche,,,,,,,,,,,,,,,,,,,,,,,,,"{'„': 0, 'Den': 0, 'grössten': 0, 'Einfluss': 0, 'auf': 0, 'den': 0, 'Rückgang': 0, 'der': 0, 'Biodiversität': 0, 'hat': 0, 'die': 0, 'Landwirtschaft': 0, 'keine': 0, 'Frage': 0, 'Der': 0, 'landwirtschaftliche': 0, '…': 0}",positive,"[0.002542379, 0.0011452311, 0.99631244]",neutral
0.0,0.0,0.0,-1.0,neutral,"Die Diskussion über das Tierleid ist noch nicht beendet, sagte Andreas Bisig (GLP): ""Auch durch landwirtschaftliche Maschinen werden in der Schweiz tausende Amphibien, Vögel und Säugetiere getötet."" https://t.co/XWSg9j8bAM",diskussion tierleid beenden sagen andreas bisig glp landwirtschaftliche maschinen schweiz tausende amphibien vögel säugetiere töten,,,,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.04, 'Diskussion': 0.08, 'über': 0.03, 'das': 0, 'Tierleid': 0, 'ist': 0.04, 'noch': 0, 'nicht': 0.03, 'beendet': 0, 'sagte': 0.07, 'Andreas': 0.04, 'Bisig': 0, 'GLP': 0.03, '):': 0, 'Auch': 0.22, 'durch': 0, 'landwirtschaftliche': 0.78, 'Maschinen': 0, 'werden': 0, 'in': 0.16, 'der': 0.04, 'Schweiz': 0.46, 'tausende': 0.34, 'Amphibien': 0.08, 'Vögel': 0.1, 'und': 0.09, 'Säugetiere': 0.1, 'getötet': 0.87}",neutral,"[0.6324208, 0.07596484, 0.29161444]",negative
75.0,75.0,86.0,0.48,neutral,"Eine intensive Landwirtschaft mit hohem Pestizideinsatz ist nicht mehr tragbar. Bei Messungen an 14 Bächen stellte der @kantonsg fest, dass alle ein «erhöhtes oder sehr hohes Risiko für eine Schädigung der Gewässerorganismen aufweisen». @glp_sg
 https://t.co/jqLMm2NlMX",intensive landwirtschaft hoch pestizideinsatz mehr tragbar messungen bächen stellen fest all erhöht hoch risiko schädigung gewässerorganismen aufweisen,,,,,,,,,,,,,,,,,,,,,,,,,"{'Eine': 0, 'intensive': 0.37, 'Landwirtschaft': 0.68, 'mit': 0.21, 'hohem': 0.03, 'Pestizideinsatz': 0.11, 'ist': 0.67, 'nicht': 0, 'mehr': 0, 'tragbar': 0, 'Bei': 0, 'Messungen': 0.08, 'an': 0.05, '14': 0, 'Bächen': 0.02, 'stellte': 0, 'der': 0, 'fest': 0, 'dass': 0.04, 'alle': 0, 'ein': 0, '«': 0, 'erhöhtes': 0, 'oder': 0, 'sehr': 0, 'hohes': 0, 'Risiko': 0, 'für': 0, 'eine': 0, 'Schädigung': 0, 'Gewässerorganismen': 0, 'aufweisen': 0, '»': 0}",negative,"[0.0071540894, 0.96327853, 0.02956737]",positive
100.0,100.0,100.0,1.0,neutral,@CVP_KtSG und SVP wollen #Stacheldrahtverbot verwässern und die Sömmerungsflächen ausnehmen. Diese machen 28% (!) der kantonalen Landwirtschaftsfläche aus und beinhalten besonders wertvolle Lebensräume für Wildtiere (siehe zweite Karte Wildtierschutzgebiete und Wildruhezonen). https://t.co/JWvb8E6uUx,svp stacheldrahtverbot verwässern sömmerungsflächen ausnehmen kantonalen landwirtschaftsfläche beinhalten besonders wertvolle lebensräume wildtiere siehe zweite karte wildtierschutzgebiete wildruhezonen,,,,,,,,,,,,,,,,,,,,,,,,,"{'und': 0.05, 'SVP': 0, 'wollen': 0.03, 'Stacheldrahtverbot': 0.03, 'verwässern': 0, 'die': 0.06, 'Sömmerungsflächen': 0.02, 'ausnehmen': 0, 'Diese': 0, 'machen': 0, '28': 0, 'der': 0.06, 'kantonalen': 0, 'Landwirtschaftsfläche': 0.37, 'aus': 0, 'beinhalten': 0, 'besonders': 0, 'wertvolle': 0.06, 'Lebensräume': 0.03, 'für': 0.03, 'Wildtiere': 0.03, 'siehe': 0, 'zweite': 0.03, 'Karte': 0.03, 'Wildtierschutzgebiete': 0.03, 'Wildruhezonen': 0.02}",positive,"[0.023277624, 0.00302474, 0.97369766]",positive
50.0,75.0,57.0,0.0,neutral,RT @WWF_Schweiz: „Die grösste Bedrohung für die Artenvielfalt ist die #Landwirtschaft“ 👉🏽 Die Tierbestände sind auf einem Tiefststand. Es b…,grösste bedrohung artenvielfalt landwirtschaft tierbestände tiefststand b,,,,,,,,,,,,,,,,,,,,,,,,,"{'„': 0, 'Die': 0, 'grösste': 0, 'Bedrohung': 0, 'für': 0, 'die': 0, 'Artenvielfalt': 0, 'ist': 0, 'Landwirtschaft': 0, '“': 0, 'Tierbestände': 0, 'sind': 0, 'auf': 0, 'einem': 0, 'Tiefststand': 0, 'Es': 0, 'b': 0, '…': 0}",positive,"[0.063551635, 0.17120494, 0.7652435]",neutral
100.0,100.0,100.0,1.0,neutral,"""Landwirtschaft und Ernährung sind durchsetzt von ökonomischen Fehlanreizen, die gesunde und nachhaltige Produktionsweisen und Konsummuster systematisch behindern."" Der @fdpsanktgallen ist das egal.

https://t.co/wgkmH83Xl2 https://t.co/8r2U3TUp7C",landwirtschaft ernährung durchsetzen ökonomisch fehlanreizen gesunden nachhaltig produktionsweisen konsummuster systematisch behindern egal,,,,,,,,,,,,,,,,,,,,,,,,,"{'Landwirtschaft': 0.03, 'und': 0.01, 'Ernährung': 0.02, 'sind': 0.05, 'durchsetzt': 0, 'von': 0, 'ökonomischen': 0.01, 'Fehlanreizen': 0.08499999999999999, 'die': 0, 'gesunde': 0.02, 'nachhaltige': 0.03, 'Produktionsweisen': 0.015, 'Konsummuster': 0, 'systematisch': 0.06, 'behindern': 0.07, 'Der': 0, 'ist': 0, 'das': 0.02, 'egal': 1.0}",neutral,"[0.4873014, 0.33305934, 0.1796393]",positive
50.0,75.0,57.0,0.0,neutral,"Um die #Biodiversität zu erhalten, müssen alle beitragen - auch die Kantone. Die @glp_sg hat darum einen Vorstoss im St.Galler Kantonsrat zur Bekämpfung der #Biodiversitätskrise in der Landwirtschaft eingereicht.
https://t.co/d0R5s0LNKz",biodiversität erhalten müssen all beitragen kantone darum vorstoss st galler kantonsrat bekämpfung biodiversitätskrise landwirtschaft einreichen,,,,,,,,,,,,,,,,,,,,,,,,,"{'Um': 0, 'die': 0.67, 'Biodiversität': 0.29, 'zu': 0.73, 'erhalten': 0, 'müssen': 0.73, 'alle': 0.06, 'beitragen': 0.15, 'auch': 0, 'Kantone': 0.1, 'Die': 0.67, 'hat': 0, 'darum': 0.1, 'einen': 0.14, 'Vorstoss': 0, 'im': 0, 'St.': 0, 'Galler': 0, 'Kantonsrat': 0.275, 'zur': 0.7, 'Bekämpfung': 1.0, 'der': 0.67, 'Biodiversitätskrise': 0.645, 'in': 0.19, 'Landwirtschaft': 0.7, 'eingereicht': 0.26}",positive,"[0.29288328, 0.052110948, 0.6550058]",neutral
50.0,75.0,57.0,0.0,negative,"RT @andrin_monstein: Klares Fazit der UNO: Um die Biodiversität steht es schlecht, unsere Landwirtschaft ist zu einem grossen Teil mitveran…",klar fazit uno biodiversität stehen schlecht landwirtschaft grossen teil mitveran,,,,,,,,,,,,,,,,,,,,,,,,,"{'Klares': 0.11, 'Fazit': 0.19, 'der': 0.08, 'UNO': 0, 'Um': 0, 'die': 0.08, 'Biodiversität': 1.0, 'steht': 0, 'es': 0.18, 'schlecht': 1.0, 'unsere': 0.26, 'Landwirtschaft': 0.77, 'ist': 0.18, 'zu': 0, 'einem': 0, 'grossen': 0, 'Teil': 0, 'mitveran': 0, '…': 0}",positive,"[0.15896542, 0.40423197, 0.43680266]",neutral
