answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,FDP will Mutterschutz-Übereinkommen kündigen. #nichtmitmirFDP #Vaterschaftsurlaub https://t.co/uNNU1CihdU,fdp mutterschutz übereinkommen kündigen nichtmitmirfdp vaterschaftsurlaub,,,,,,,"{'FDP': 0.12, 'will': 0, 'Mutterschutz-Übereinkommen': 0.05, 'kündigen': 0, 'nichtmitmirFDP': 0.12, 'Vaterschaftsurlaub': 1.0}",positive,"[0.15583365, 0.027667452, 0.81649894]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Die CVP Fraktion will einen 2-wöchigen Vaterschaftsurlaub als Gegenvorschlag zur Volksinitiative.  Eine moderne Familienpoliti…,cvp fraktion wöchigen vaterschaftsurlaub gegenvorschlag volksinitiative modern familienpoliti,,,,,,,"{'Die': 0.04, 'CVP': 0.16, 'Fraktion': 0, 'will': 0, 'einen': 0.08, '2-wöchigen': 0.215, 'Vaterschaftsurlaub': 0.42500000000000004, 'als': 0.31, 'Gegenvorschlag': 0.12, 'zur': 0.06, 'Volksinitiative': 0.105, 'Eine': 0, 'moderne': 0.36, 'Familienpoliti': 0.05, '…': 0}",positive,"[0.46691576, 0.013153818, 0.5199304]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @Karin_andreaS: Danke Anna Bieri für die ehrlichen Worte! #vaterschaftsurlaub
Vaterschaftsurlaub: Kuschelwochen im Windeln-WK https://t.…",danke anna bieri ehrlich worte vaterschaftsurlaub vaterschaftsurlaub kuschelwochen windeln wk,,,,,,,"{'Danke': 0, 'Anna': 0.06, 'Bieri': 0.15, 'für': 0.11, 'die': 0.06, 'ehrlichen': 0.22, 'Worte': 0.14, 'vaterschaftsurlaub': 0.37, 'Vaterschaftsurlaub': 0.37, 'Kuschelwochen': 0.125, 'im': 0, 'Windeln-WK': 0}",positive,"[0.0038882198, 0.0026024284, 0.99350935]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"@MattpaMueller @CVP_PDC Und die ganze Wirtschaft Romandie, Versicherungen, Pensionskassen auch oder wie? Wir möchten sichere Renten. Ihr den Kollaps.",ganze wirtschaft romandie versicherungen pensionskassen mögen sicher renten kollaps,,,,,,,,,,"{'Und': 0.1, 'die': 0.08, 'ganze': 0.08, 'Wirtschaft': 0, 'Romandie': 0, 'Versicherungen': 0.16, 'Pensionskassen': 0.165, 'auch': 0, 'oder': 0.06, 'wie': 0.06, 'Wir': 0.08, 'möchten': 0, 'sichere': 0, 'Renten': 0.46, 'Ihr': 0, 'den': 0.08, 'Kollaps': 1.0}",negative,"[0.10451481, 0.6431362, 0.25234902]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@CH_Abstimmungen @pensionskassen AV2020 gibt den heutigen Rentner/innen sichere Renten (sonst ist die Kasse bald leer) und die Babyboomer zahlen höhere Lohnbeiträge/MwSt.,av2020 geben heutig rentner innen sicher renten kasse bald leeren babyboomer zahlen hoch lohnbeiträge mwst,,,,,,,,,,"{'AV2020': 0.08, 'gibt': 0, 'den': 0.22, 'heutigen': 0.06, 'Rentner': 0, 'innen': 0, 'sichere': 0, 'Renten': 0.05, 'sonst': 0.03, 'ist': 0, 'die': 0.22, 'Kasse': 0, 'bald': 0, 'leer': 0, 'und': 0.18, 'Babyboomer': 0.09, 'zahlen': 0, 'höhere': 1.0, 'Lohnbeiträge': 0.315, 'MwSt.': 0.16}",negative,"[0.4077859, 0.54876447, 0.043449618]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @schneidertino: #AV2020 sichert Stabilität des Gesamtsystems von AHV und Pensionskassen. @alain_berset hat recht &amp; @RentenreformJa!
http…",av2020 sichern stabilität gesamtsystems ahv pensionskassen recht amp http,,,,,,,,,,"{'AV2020': 0.37, 'sichert': 0, 'Stabilität': 0.17, 'des': 0, 'Gesamtsystems': 0.175, 'von': 0, 'AHV': 0.15, 'und': 0.08, 'Pensionskassen': 0.135, 'hat': 0, 'recht': 0, 'amp': 0.45, 'http': 1.0, '…': 0}",positive,"[0.15303592, 0.060436357, 0.78652775]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@FelixSchneuwly @pensionskassen @Walter_Stuedeli @fljan @Leitner_Davos @PetraGoessi @FDP_Liberalen Mindestrente wird um 70 Franken erhöht. Zudem hilft Senkung&amp;Flexibilisierung des Koordinationsabzuges tiefen Löhnen &amp; Teilzeitarbeitenden,mindestrente franken erhöhen zudem helfen senkung amp flexibilisierung koordinationsabzuges tief löhnen amp teilzeitarbeitenden,,,,,,,,,,"{'Mindestrente': 0.065, 'wird': 0, 'um': 0, 'Franken': 0, 'erhöht': 0, 'Zudem': 0.08, 'hilft': 1.0, 'Senkung&amp;Flexibilisierung': 0.22, 'des': 0, 'Koordinationsabzuges': 0.12, 'tiefen': 0, 'Löhnen': 0.25, 'amp': 0.15, 'Teilzeitarbeitenden': 0.13}",negative,"[0.21699663, 0.6053246, 0.17767873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"@MarcoBume @michsorg @basilanderau @NeinzurAV2020 @pensionskassen @NussbaumRoy Also willst Du Reichen, die das Leben lang Millionen einbezahlt haben nicht mal eine Rente auszahlen? ""Danke für euer Geld und Tschüss?""",reich leben langen millionen einbezahlt mal rente auszahlen danke geld tschüss,,,,,,,,,,"{'Also': 0, 'willst': 0.04, 'Du': 0, 'Reichen': 0, 'die': 0, 'das': 0, 'Leben': 0, 'lang': 0, 'Millionen': 0.08, 'einbezahlt': 0.04, 'haben': 0.05, 'nicht': 0, 'mal': 0, 'eine': 0, 'Rente': 0, 'auszahlen': 0.03, 'Danke': 0.08, 'für': 0.18, 'euer': 0.13, 'Geld': 0.12, 'und': 0.28, 'Tschüss': 0}",negative,"[0.45251858, 0.527626, 0.019855436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: CVP-Parteivorstand sagt zuhanden der morgigen #DVCVPCH klar JA zur Einbürgerung der #3Generation und zur Energiestrategie #ES2…,cvp parteivorstand sagen zuhanden morgig dvcvpch klaren ja einbürgerung 3generation energiestrategie es2,,,,,,,,,,,,,"{'CVP-Parteivorstand': 0.02, 'sagt': 0.08, 'zuhanden': 0.07250000000000001, 'der': 0.07, 'morgigen': 0.03, 'DVCVPCH': 0.05, 'klar': 0, 'JA': 0.1, 'zur': 0.08, 'Einbürgerung': 1.0, '3Generation': 0, 'und': 0.1, 'Energiestrategie': 0.065, 'ES2': 0.03, '…': 0}",positive,"[0.0011493212, 0.0010107422, 0.9978399]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Violapamherd: Überparteiliches und zweisprachiges Ja/Oui zur erleichterten Einbürgerung der 3. Generation #dritte-generation https://t.…,überparteilich zweisprachig ja oui erleichtern einbürgerung generation dritt generation,,,,,,,,,,,,,"{'Überparteiliches': 0, 'und': 0.15, 'zweisprachiges': 0.2, 'Ja': 0.15, 'Oui': 0.14, 'zur': 0.435, 'erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.14, '3.': 0, 'Generation': 0.08, 'dritte-generation': 0.065}",positive,"[0.05529683, 0.004190927, 0.9405122]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,Passend zur heutigen Debatte im Ständerat. Und isch spreche nicht von Lohngleichheit #liebeistliebe #Ehefueralle https://t.co/evRmkdx3dc,passen heutig debatte ständerat isch sprechen lohngleichheit liebeistliebe ehefueralle,,,,,,,,,,,,,,,,"{'Passend': 0, 'zur': 0.04, 'heutigen': 0.06, 'Debatte': 0.12, 'im': 0, 'Ständerat': 0.0675, 'Und': 0.06, 'isch': 0, 'spreche': 0, 'nicht': 0.64, 'von': 0, 'Lohngleichheit': 1.0, 'liebeistliebe': 0, 'Ehefueralle': 0.21}",neutral,"[0.90495753, 0.010907541, 0.08413488]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,Eine Ungerechtigkeit anzusprechen darf doch einfach kein Risiko sein @TamaraWernli #lohngleichheit #srfarena,ungerechtigkeit ansprechen dürfen einfach risiko lohngleichheit srfarena,,,,,,,,,,,,,,,,"{'Eine': 0, 'Ungerechtigkeit': 0.16, 'anzusprechen': 0, 'darf': 0, 'doch': 0, 'einfach': 0, 'kein': 0, 'Risiko': 0.1, 'sein': 0, 'lohngleichheit': 0, 'srfarena': 1.0}",negative,"[0.15744327, 0.7181642, 0.12439257]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Bis auf eine Stimme sind die Stimmen gegen Lohngleichheit von @FDP_Liberalen und @SVPch. Die wahren Verhinderer! @alliance_F https://t.co/zUIHi5ISaO,stimme stimmen lohngleichheit wahr verhinderer,,,,,,,,,,,,,,,,"{'Bis': 0, 'auf': 0, 'eine': 0.03, 'Stimme': 0, 'sind': 0.2, 'die': 0.08, 'Stimmen': 0, 'gegen': 1.0, 'Lohngleichheit': 0.33, 'von': 0.11, 'und': 0.08, 'Die': 0.08, 'wahren': 0, 'Verhinderer': 0}",positive,"[0.19012697, 0.010327, 0.799546]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @EnergieSchweiz: Das Umstellen auf erneuerbare Heizsysteme ist für die Baubranche eine Herausforderung, aber auch eine Chance. #erneuerb…",umstellen erneuerbare heizsysteme baubranche herausforderung chance erneuerb,,,,,,,,,,,,,,,,,,,"{'Das': 0.14, 'Umstellen': 0, 'auf': 0, 'erneuerbare': 1.0, 'Heizsysteme': 0.765, 'ist': 0.23, 'für': 0.07, 'die': 0.14, 'Baubranche': 0.20500000000000002, 'eine': 0, 'Herausforderung': 0.16, 'aber': 0.08, 'auch': 0.04, 'Chance': 0, 'erneuerb': 0.18, '…': 0}",positive,"[0.03956204, 0.018904585, 0.94153345]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Schon 2 Jahre her. Und das wichtige Engagement für Erneuerbare Energien und Energieeffizienz geht weiter @EnergieSchweiz #ES2050 https://t.co/yyoUwmz8wV,schon jahre her wichtig engagement erneuerbare energien energieeffizienz gehen weit es2050,,,,,,,,,,,,,,,,,,,"{'Schon': 0, 'Jahre': 0.05, 'her': 0, 'Und': 0.09, 'das': 0, 'wichtige': 0.15, 'Engagement': 0, 'für': 0, 'Erneuerbare': 0.11, 'Energien': 0.07, 'und': 0.09, 'Energieeffizienz': 0.10500000000000001, 'geht': 0, 'weiter': 0, 'ES2050': 1.0}",positive,"[0.0036453733, 0.0013537244, 0.9950009]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @EnergieSchweiz: Heute gibt’s auf @20min einen exklusiven Teaser zum #Kundenbarometer erneuerbare Energien, das diesen Freitag erscheint…",heute geben s exklusiv teaser kundenbarometer erneuerbare energien freitag erscheinen,,,,,,,,,,,,,,,,,,,"{'Heute': 0.12, 'gibt': 0, '’s': 0, 'auf': 0.05, 'einen': 0, 'exklusiven': 0.08, 'Teaser': 0.2, 'zum': 0.07, 'Kundenbarometer': 0.07, 'erneuerbare': 0.11, 'Energien': 0.09, 'das': 0, 'diesen': 0.17, 'Freitag': 0.27, 'erscheint': 0, '…': 0}",positive,"[0.4195849, 0.01062849, 0.5697866]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BaSchaffner: Was politisch schon klar ist auch ins Gesetz schreiben! Das ebnet den Weg für lokale, erneuerbare Energien. @ES2050_JA htt…",politisch schon klaren gesetz schreiben ebnen lokale erneuerbare energien htt,,,,,,,,,,,,,,,,,,,"{'Was': 0, 'politisch': 0.18, 'schon': 0, 'klar': 0.06, 'ist': 0.03, 'auch': 0, 'ins': 0, 'Gesetz': 0.17, 'schreiben': 0.07, 'Das': 0.07, 'ebnet': 0, 'den': 0.07, 'Weg': 0, 'für': 0.31, 'lokale': 1.0, 'erneuerbare': 1.0, 'Energien': 0.39, 'htt': 0.11, '…': 0}",positive,"[0.00077682, 0.0009118835, 0.9983113]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Ich habe abgestimmt. Für erneuerbare Energien - für Energieeffizienz - für den geordneten Atomausstieg. #votenow @easyvote_ch @ES2050_JA https://t.co/8P2h3Ls5JZ,abstimmen erneuerbare energien energieeffizienz geordnet atomausstieg votenow,,,,,,,,,,,,,,,,,,,"{'Ich': 0.29, 'habe': 0, 'abgestimmt': 1.0, 'Für': 0.41, 'erneuerbare': 0.75, 'Energien': 0.54, 'für': 0.41, 'Energieeffizienz': 0.165, 'den': 0.09, 'geordneten': 0.12, 'Atomausstieg': 0.07, 'votenow': 0.36}",positive,"[0.008281504, 0.0026758758, 0.9890427]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,@jcandinas @rittinergomez In Biotopen von nat.Bedeutung sind neue Anlagen zur Nutzung erneuerbarer Energien künftig ausgeschlossen. Und die SVP hatte es in der Hand: https://t.co/AdfsVEDjtP,biotopen nat bedeutung neue anlagen nutzung erneuerbarer energien künftig ausschließen svp hand,,,,,,,,,,,,,,,,,,,"{'In': 0.52, 'Biotopen': 0.23, 'von': 0, 'nat.': 0, 'Bedeutung': 0.09, 'sind': 0.1, 'neue': 0.07, 'Anlagen': 0, 'zur': 0.39, 'Nutzung': 0.08, 'erneuerbarer': 0.08, 'Energien': 0.08, 'künftig': 0.14, 'ausgeschlossen': 0, 'Und': 0.44, 'die': 0.39, 'SVP': 0, 'hatte': 0, 'es': 0, 'in': 0.52, 'der': 0.39, 'Hand': 0}",neutral,"[0.60073394, 0.07712691, 0.32213917]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @Juerg_Grossen: Breite Unterstützung für @ES2050_JA. Mehr Effizienz und einheimische Erneuerbare, weniger fossile Energie, Ja zur dezent…",breit unterstützung mehr effizienz einheimisch erneuerbare wenig fossile energie ja dezent,,,,,,,,,,,,,,,,,,,"{'Breite': 0.16, 'Unterstützung': 0.23, 'für': 0.16, 'Mehr': 0.45, 'Effizienz': 0.37, 'und': 0.33, 'einheimische': 0.33, 'Erneuerbare': 0, 'weniger': 0, 'fossile': 0.81, 'Energie': 0.63, 'Ja': 0.33, 'zur': 0.11499999999999999, 'dezent': 0.21, '…': 0}",positive,"[0.00430606, 0.0041647037, 0.9915292]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,«Kosten für erneuerbare Energien sind eine Versicherung gegen Klima- und Nuklearrisiken» via @NZZ https://t.co/eI1CKakEuM,kosten erneuerbare energien versicherung klima nuklearrisiken via,,,,,,,,,,,,,,,,,,,"{'«': 0, 'Kosten': 0, 'für': 0, 'erneuerbare': 0, 'Energien': 0, 'sind': 0, 'eine': 0, 'Versicherung': 0, 'gegen': 0, 'Klima-': 0, 'und': 0, 'Nuklearrisiken': 0, '»': 0, 'via': 0}",neutral,"[0.6269049, 0.059807446, 0.3132877]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @konzern_vi: Rudolf Strahm bringt es auf den Punkt: 
«Die Haftungsfrage ist die selbstverständliche Anstandsregel des marktwirtschaftlic…",rudolf strahm bringen punkt haftungsfrage selbstverständliche anstandsregel marktwirtschaftlic,,,,,,,,,,,,,,,,,,,,,,"{'Rudolf': 0.11, 'Strahm': 0.15, 'bringt': 0, 'es': 0.41, 'auf': 0, 'den': 0.21, 'Punkt': 0, '«': 0, 'Die': 0, 'Haftungsfrage': 0, 'ist': 0, 'die': 0, 'selbstverständliche': 0, 'Anstandsregel': 0, 'des': 0, 'marktwirtschaftlic': 0, '…': 0}",positive,"[0.053984545, 0.005633973, 0.94038147]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @CVP_PDC: .@NZZ, um das ein für alle Mal klarzustellen: Die soziale Marktwirtschaft findet man weder bei SP noch FDP. Sondern nur bei de…",all mal klarstellen soziale marktwirtschaft finden weder sp fdp de,,,,,,,,,,,,,,,,,,,,,,"{'um': 0, 'das': 0, 'ein': 0, 'für': 0.04, 'alle': 0, 'Mal': 0, 'klarzustellen': 0.04, 'Die': 0.1, 'soziale': 1.0, 'Marktwirtschaft': 0.775, 'findet': 0, 'man': 0, 'weder': 0, 'bei': 0, 'SP': 0.07, 'noch': 0, 'FDP': 0.18, 'Sondern': 0, 'nur': 0.02, 'de': 0, '…': 0}",positive,"[0.18894084, 0.27084544, 0.54021376]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @DieJungeMitteCH: Unser Nationalrat @SimonStadler7 macht vorwärts, damit es in der Schweiz mit der Digitalisierung weiter geht! Wir sind…",nationalrat vorwärts schweiz digitalisierung weit gehen,,,,,,,,,,,,,,,,,,,,,,,,,"{'Unser': 0.12, 'Nationalrat': 0.17, 'macht': 0, 'vorwärts': 0.16, 'damit': 0.08, 'es': 0.21, 'in': 0.08, 'der': 0, 'Schweiz': 0.2, 'mit': 0, 'Digitalisierung': 0, 'weiter': 0, 'geht': 0, 'Wir': 0.69, 'sind': 1.0, '…': 0}",positive,"[0.10653472, 0.015745312, 0.87771994]",,,,,,,,,,,,,,,,neutral
