answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"«Beim Thema Rentenalter und AHV bin ich sicher, dass jede Art von Vereinfachung – und dazu gehören nun einmal Demonstrationen – nichts zur Problemlösung beiträgt und nur die bestehenden Gräben vertieft»

https://t.co/0eFWE3L9sW",beim thema rentenalter ahv sichern jed art vereinfachung gehören demonstrationen problemlösung beitragen bestehend gräben vertiefen,,,,"{'«': 0, 'Beim': 0, 'Thema': 0, 'Rentenalter': 0, 'und': 0, 'AHV': 0, 'bin': 0, 'ich': 0, 'sicher': 0, 'dass': 0, 'jede': 0, 'Art': 0, 'von': 0, 'Vereinfachung': 0, '–': 0, 'dazu': 0, 'gehören': 0, 'nun': 0, 'einmal': 0, 'Demonstrationen': 0, 'nichts': 0, 'zur': 0, 'Problemlösung': 0, 'beiträgt': 0, 'nur': 0, 'die': 0, 'bestehenden': 0, 'Gräben': 0, 'vertieft': 0, '»': 0}",positive,"[0.42677587, 0.01617639, 0.5570478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @Jungfreisinnige: Im Jahr 2030 werden die meisten Länder ihr Rentenalter auf 66 oder noch höher erhöht haben. Die Schweiz bliebe die Aus…,jahr meist länder rentenalter hoch erhöhen schweiz bleiben,,,,"{'Im': 0, 'Jahr': 0, '2030': 0, 'werden': 0.33, 'die': 0.08, 'meisten': 0.3, 'Länder': 0.48, 'ihr': 0, 'Rentenalter': 1.0, 'auf': 0, '66': 0, 'oder': 0.59, 'noch': 0, 'höher': 0.16, 'erhöht': 0, 'haben': 0.595, 'Die': 0.08, 'Schweiz': 0.2, 'bliebe': 0.14, 'Aus': 0, '…': 0}",neutral,"[0.64310473, 0.06641679, 0.29047847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @tagesanzeiger: Ein guter Teil der über 50-Jährigen ist definitiv bereit, über das ordentliche Rentenalter hinaus zu arbeiten. https://t…",gut teil jährig definitiv bereiten ordentliche rentenalter hinaus arbeiten,,,,"{'Ein': 0.04, 'guter': 0, 'Teil': 0, 'der': 0.54, 'über': 0.08, '50-Jährigen': 0.16, 'ist': 0, 'definitiv': 0, 'bereit': 0.13, 'das': 0, 'ordentliche': 0, 'Rentenalter': 0.94, 'hinaus': 0, 'zu': 0.11, 'arbeiten': 0.16}",positive,"[0.1872459, 0.011849601, 0.8009045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0999999999999999,neutral,"Je länger wir leben, desto länger sollen wir arbeiten. Rentenalter 66+, aber natürlich nicht für den Bauarbeiter, wo bereits heute eine Branchenlösung gefunden wurde. Wenn wir einfach nichts tun, hat die AHV im 2035 kein Geld mehr, Renten zu bezahlen. https://t.co/2BFfyuStqf",je lang leben desto lang sollen arbeiten rentenalter natürlich bauarbeiter bereits heute branchenlösung finden einfach tun ahv geld mehr renten bezahlen,,,,"{'Je': 0, 'länger': 0.1, 'wir': 0, 'leben': 0, 'desto': 0.02, 'sollen': 0.05, 'arbeiten': 0.14, 'Rentenalter': 1.0, '66': 0, 'aber': 0.14, 'natürlich': 0, 'nicht': 0.1, 'für': 0.06, 'den': 0.03, 'Bauarbeiter': 0.07, 'wo': 0.01, 'bereits': 0.02, 'heute': 0.02, 'eine': 0, 'Branchenlösung': 0.04, 'gefunden': 0.02, 'wurde': 0, 'Wenn': 0, 'einfach': 0, 'nichts': 0.02, 'tun': 0.015, 'hat': 0, 'die': 0.03, 'AHV': 0.04, 'im': 0, '2035': 0, 'kein': 0.01, 'Geld': 0.02, 'mehr': 0.01, 'Renten': 0.04, 'zu': 0.02, 'bezahlen': 0.02}",positive,"[0.44145858, 0.04304374, 0.51549774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jfsolothurn: Unsere nationale #Renteninitiative ist lanciert.
Rentenalter 66 für beide Geschlechter und Bindung desselben an die Lebens…",national renteninitiative lanciert rentenalter beid geschlechter bindung lebens,,,,"{'Unsere': 0.04, 'nationale': 0.03, 'Renteninitiative': 0.055, 'ist': 0, 'lanciert': 0.09, 'Rentenalter': 0.215, '66': 0, 'für': 0.68, 'beide': 0.3, 'Geschlechter': 0, 'und': 1.0, 'Bindung': 0, 'desselben': 0, 'an': 0, 'die': 0, 'Lebens': 0.27, '…': 0}",positive,"[0.020231243, 0.002597546, 0.9771712]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FDP_Liberalen: Die Diskussion übers #Rentenalter darf kein Tabu sein - die @spschweiz ist realitätsfern. Die Volksinitiative der @Jungf…,diskussion übers rentenalter dürfen tabu realitätsfern volksinitiative,,,,"{'Die': 0.12, 'Diskussion': 0.49, 'übers': 0, 'Rentenalter': 0.905, 'darf': 0, 'kein': 0, 'Tabu': 0, 'sein': 0, 'die': 0.12, 'ist': 0, 'realitätsfern': 0.44, 'Volksinitiative': 0.195, 'der': 0.12, '…': 0}",positive,"[0.16071719, 0.015510595, 0.8237722]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @NilsMatter: Rentenalter 66 für Alle #AHV #zämemitDir @andrisilbi_ https://t.co/tutdk5DS2j,rentenalter all ahv zämemitdir,,,,"{'Rentenalter': 0.835, '66': 0, 'für': 0.59, 'Alle': 0, 'AHV': 0.23, 'zämemitDir': 0}",positive,"[0.17259482, 0.009350278, 0.81805485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @rudolf_mohler: „Die VI der @Jungfreisinnige|n für eine schrittweise Erhöhung des Rentenalters ist ein echter Lösungsansatz. Unvermeidli…,vi n schrittweise erhöhung rentenalters echt lösungsansatz unvermeidli,,,,"{'„': 0, 'Die': 0, 'VI': 0, 'der': 0, '|n': 0, 'für': 0, 'eine': 0, 'schrittweise': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'ist': 0, 'ein': 0, 'echter': 0, 'Lösungsansatz': 0, 'Unvermeidli': 0, '…': 0}",positive,"[0.031039068, 0.014238754, 0.95472217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"@salegen @SandroBrotz @Jungfreisinnige Spannend, mir wird ab und zu auch das Gegenteil vorgeworfen. Zur AHV: Eine Erhöhung des Rentenalters stärkt die AHV, da die Beitragsjahre zunehmen und die Finanzierung gesichert wird.",spannen ab gegenteil vorwerfen ahv erhöhung rentenalters stärken ahv beitragsjahre zunehmen finanzierung sichern,,,,"{'Spannend': 0.11, 'mir': 0, 'wird': 0, 'ab': 0, 'und': 0.09, 'zu': 0.02, 'auch': 0, 'das': 0, 'Gegenteil': 0.07, 'vorgeworfen': 0.12, 'Zur': 0.04, 'AHV': 0.3, 'Eine': 0, 'Erhöhung': 0.1, 'des': 0.03, 'Rentenalters': 0.33, 'stärkt': 1.0, 'die': 0.06, 'da': 0, 'Beitragsjahre': 0.09, 'zunehmen': 0, 'Finanzierung': 0.19, 'gesichert': 0.12}",positive,"[0.064365044, 0.117712535, 0.8179224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,"@Anuril @LuciaDoebeli Unser VI will im Jahr 2032 das Rentenalter 66/66. Ich bin zuversichtlich, dass wir bis dahin das Problem der Beitragssätze politisch gelöst und zusätzliche Massnahme z.B. im Bereich der Weiterbildung ergriffen haben. Das eine tun, das andere nicht lassen.",vi jahr rentenalter zuversichtlich dahin problem beitragssätze politisch lösen zusätzliche massnahme z b bereich weiterbildung ergreifen tun lassen,,,,"{'Unser': 0.14, 'VI': 0.03, 'will': 0.04, 'im': 0, 'Jahr': 0, '2032': 0, 'das': 0.04, 'Rentenalter': 0.52, '66': 0, '66.': 0, 'Ich': 0.04, 'bin': 0, 'zuversichtlich': 0, 'dass': 0.04, 'wir': 0, 'bis': 0, 'dahin': 0, 'Problem': 0.1, 'der': 0.02, 'Beitragssätze': 0.035, 'politisch': 0.02, 'gelöst': 0, 'und': 0.02, 'zusätzliche': 0.04, 'Massnahme': 0, 'z.B.': 0, 'Bereich': 0.02, 'Weiterbildung': 0, 'ergriffen': 0, 'haben': 0.03, 'Das': 0.02, 'eine': 0.02, 'tun': 0.03, 'andere': 0, 'nicht': 0, 'lassen': 0}",positive,"[0.045224667, 0.007814532, 0.9469608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @LuciaDoebeli: «Man tut so, als ob die Leute nicht wüssten, dass es ein höheres #Rentenalter braucht. Wir glauben, dass die meisten Stim…",tun leute wüssten hoch rentenalter brauchen glauben meist stim,,,,"{'«': 0, 'Man': 0, 'tut': 0, 'so': 0, 'als': 0, 'ob': 0, 'die': 0, 'Leute': 0, 'nicht': 0, 'wüssten': 0, 'dass': 0, 'es': 0, 'ein': 0, 'höheres': 0, 'Rentenalter': 0, 'braucht': 0, 'Wir': 0, 'glauben': 0, 'meisten': 0, 'Stim': 0, '…': 0}",neutral,"[0.72220236, 0.2030491, 0.074748546]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @jobstwagner: Dank der Initiative der @Jungfreisinnige: Endlich Klarheit schaffen zum unumgänglich höheren Rentenalter. Auch hier, wie b…",danken initiative endlich klarheit schaffen unumgänglich hoch rentenalter b,,,,"{'Dank': 0.125, 'der': 0.28, 'Initiative': 0.13, 'Endlich': 0.24, 'Klarheit': 0.25, 'schaffen': 0, 'zum': 0.17500000000000002, 'unumgänglich': 1.0, 'höheren': 1.0, 'Rentenalter': 0.9199999999999999, 'Auch': 0, 'hier': 0.08, 'wie': 0.1, 'b': 0.06, '…': 0}",positive,"[0.018259834, 0.017835703, 0.96390444]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
