answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"SVP-Familien-Initiative ist eine Steuersenkungsinitiative für Reiche. Noch fünf Wochen bleiben, um dies zu erklären. http://t.co/UCokh1PDCl",svp familien initiative steuersenkungsinitiative reichen fünf wochen bleiben erklären,,,,,,,,,,,,,"{'SVP-Familien-Initiative': 0.15, 'ist': 0.11, 'eine': 0, 'Steuersenkungsinitiative': 0.18, 'für': 0.11, 'Reiche': 0.14, 'Noch': 0, 'fünf': 0.16, 'Wochen': 0.36, 'bleiben': 0, 'um': 0.1, 'dies': 0, 'zu': 0.67, 'erklären': 0.835}",neutral,"[0.706384, 0.06479879, 0.22881725]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Mindestlohn könnte für die Schweiz auch wirtschaftlich interessant sein. Mehr dazu auf http://t.co/kooaGAp5eX,mindestlohn schweiz wirtschaftlich interessant mehr,,,,,,,,,,,,,,,,"{'Mindestlohn': 0.925, 'könnte': 0.7, 'für': 0.77, 'die': 0.28, 'Schweiz': 0.39, 'auch': 0.39, 'wirtschaftlich': 0.95, 'interessant': 1.0, 'sein': 0, 'Mehr': 0.2, 'dazu': 0, 'auf': 0.18}",positive,"[0.001837267, 0.0012383317, 0.99692434]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @cloudista: BR gegen Postulat @M_Aebischer «Zusammenarbeit mit Island im Bereich erneuerbare Energien», da zsm Geothermie-Forschung h ...",br postulat zusammenarbeit island bereich erneuerbare energien zsm geothermie forschung h,,,,,,,,,,,,,,,,,,,"{'BR': 0.12, 'gegen': 0.33, 'Postulat': 0.6, '«': 0, 'Zusammenarbeit': 0, 'mit': 0, 'Island': 0, 'im': 0, 'Bereich': 0, 'erneuerbare': 0, 'Energien': 0, '»': 0, 'da': 0, 'zsm': 0, 'Geothermie-Forschung': 0, 'h': 0, '...': 0}",neutral,"[0.5762287, 0.055742938, 0.36802843]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Heute Wahlkampf in Thun. Zuerst erneuerbare Energie machen mit Flavia Wasserfallen. Dann an der OHA am SP-Stand.  http://t.co/CfvnCfl,heute wahlkampf thun zuerst erneuerbare energie flavia wasserfallen oha sp stehen,,,,,,,,,,,,,,,,,,,"{'Heute': 0.16, 'Wahlkampf': 0.14, 'in': 0.08, 'Thun': 0, 'Zuerst': 1.0, 'erneuerbare': 0.58, 'Energie': 0.57, 'machen': 0, 'mit': 0.38, 'Flavia': 0.13, 'Wasserfallen': 0, 'Dann': 0.19, 'an': 0, 'der': 0.05, 'OHA': 0, 'am': 0, 'SP-Stand': 0}",neutral,"[0.5688544, 0.03301878, 0.3981268]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @SVEB_FSEA: Die Überflutung des Klassenzimmers mit digitalen Medien ist noch keine Digitalisierung. Das gilt auch für die WB. #digitalis…,überflutung klassenzimmers digital medien digitalisierung gelten wb digitalis,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.02, 'Überflutung': 0.3, 'des': 0, 'Klassenzimmers': 0.06, 'mit': 0.2, 'digitalen': 0.22, 'Medien': 0.12, 'ist': 0.37, 'noch': 0, 'keine': 0, 'Digitalisierung': 0, 'Das': 0.02, 'gilt': 0, 'auch': 0.1, 'für': 0, 'die': 0.02, 'WB': 0.03, 'digitalis': 0.04, '…': 0}",negative,"[0.45829156, 0.5130123, 0.028696211]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @STS_Eventforum: Nirgends kannst du das Thema Digitalisierung im Sport näher erleben als hier. Melde dich jetzt an zum Eventforum https:…,nirgends thema digitalisierung sport nähern erleben melden eventforum https,,,,,,,,,,,,,,,,,,,,,,"{'Nirgends': 0.15, 'kannst': 0.08, 'du': 0, 'das': 0, 'Thema': 0, 'Digitalisierung': 0, 'im': 0, 'Sport': 0.19, 'näher': 0, 'erleben': 0.31, 'als': 0, 'hier': 0.09, 'Melde': 0, 'dich': 0.1, 'jetzt': 0.04, 'an': 0, 'zum': 0.05, 'Eventforum': 0, 'https': 0.08, '…': 0}",neutral,"[0.65030116, 0.035090055, 0.31460878]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Gemäss WBK-N muss der Bund die Kantone im Bereich Digitalisierung und Informatik noch besser unterstützen. https://t.co/8eZSEvz5AG,gemäss wbk n bund kantone bereich digitalisierung informatik gut unterstützen,,,,,,,,,,,,,,,,,,,,,,"{'Gemäss': 0.05, 'WBK-N': 0, 'muss': 0.03, 'der': 0.11, 'Bund': 0, 'die': 0.11, 'Kantone': 0.09, 'im': 0, 'Bereich': 0, 'Digitalisierung': 0, 'und': 1.0, 'Informatik': 0, 'noch': 0, 'besser': 0.12, 'unterstützen': 0.23}",neutral,"[0.51573914, 0.012468438, 0.4717923]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @SVEB_FSEA: ""Als ich 1993 zum Fernsehen kam, war ich der einzige mit Computer. Digitalisierung ist nach wie vor wichtig."" @M_Aebischer #…",fernsehen kommen einzig computer digitalisierung wichtig,,,,,,,,,,,,,,,,,,,,,,"{'Als': 0.06, 'ich': 0.04, 'zum': 0.065, 'Fernsehen': 0, 'kam': 0.06, 'war': 0, 'der': 0.08, 'einzige': 0.09, 'mit': 0.08, 'Computer': 0.28, 'Digitalisierung': 0, 'ist': 0.54, 'nach': 0, 'wie': 0, 'vor': 0, 'wichtig': 1.0, '…': 0}",neutral,"[0.46360046, 0.25995925, 0.27644032]",,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"SP HÄLT AN BILATERALEN FEST. „EU-Beitritts-Forderungen wären kontraproduktiv,“ sagt NR Aebischer. Mehr dazu auf:  http://t.co/kooaGA82cX",sp halten bilateral fest eu beitritts forderungen kontraproduktiv sagen nr aebischer mehr,,,,,,,,,,,,,,,,,,,,,,,,,"{'SP': 0.06, 'HÄLT': 0, 'AN': 0, 'BILATERALEN': 0.08, 'FEST': 0, '„': 0, 'EU-Beitritts-Forderungen': 0, 'wären': 0, 'kontraproduktiv': 0, '“': 0, 'sagt': 0, 'NR': 0, 'Aebischer': 0, 'Mehr': 0, 'dazu': 0, 'auf': 0}",neutral,"[0.8499564, 0.10454213, 0.04550149]",,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"@ramseier_urs @TIndermuhle @openPetition @DennisBriechle Statistik, kennsch? - bfu: ""In den letzten Jahrzehnten erhöhte sich die Sicherheit von Kindern im Alter bis 14 Jahre im Schweizer Strassenverkehr massiv. Verletzten sich 1980 bei Verkehrsunfällen noch über 1700 Kinder schwer oder tödlich, sind es heute noch rund 10 % davon.""",statistik kennsch bfu letzt jahrzehnten erhöhen sicherheit kindern altern jahre schweizer strassenverkehr massiv verletzen verkehrsunfällen kinder schwer tödlich heute rund davon,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Statistik': 0.09, 'kennsch': 0, 'bfu': 0.04, 'In': 0.04, 'den': 0.02, 'letzten': 0.02, 'Jahrzehnten': 0.1, 'erhöhte': 1.0, 'sich': 0, 'die': 0.02, 'Sicherheit': 0.42, 'von': 0, 'Kindern': 0.04, 'im': 0, 'Alter': 0, 'bis': 0, 'Jahre': 0, 'Schweizer': 0.07, 'Strassenverkehr': 0.515, 'massiv': 0, 'Verletzten': 0.09, 'bei': 0, 'Verkehrsunfällen': 0.53, 'noch': 0.04, 'über': 0.04, 'Kinder': 0.04, 'schwer': 0, 'oder': 0.03, 'tödlich': 0, 'sind': 0, 'es': 0.03, 'heute': 0.04, 'rund': 0.03, 'davon': 0.03}",negative,"[0.034889128, 0.8906618, 0.07444909]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BurkhardtPhilip: Der #Bundesrat will diese Anpassungen im Rahmen der laufenden Teilrevision des #Strassenverkehrsgesetzes einbringen.
E…",bundesrat anpassungen rahmen laufend teilrevision strassenverkehrsgesetzes einbringen e,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Der': 0.09, 'Bundesrat': 0, 'will': 0, 'diese': 0, 'Anpassungen': 0.09, 'im': 0, 'Rahmen': 0, 'der': 0.09, 'laufenden': 0.04, 'Teilrevision': 0.11, 'des': 0, 'Strassenverkehrsgesetzes': 0.2125, 'einbringen': 0, 'E': 1.0, '…': 0}",neutral,"[0.5001249, 0.022055201, 0.47782]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,«Ja» zu FABI ist ein Meilenstein für den öffentlichen Verkehr. Der VCS hat das Thema angestossen. Grat! Mehr dazu auf http://t.co/UCokh1PDCl,ja fabi meilenstein öffentlich verkehr vcs thema angestossen grat mehr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'«': 0, 'Ja': 0, '»': 0, 'zu': 0, 'FABI': 0, 'ist': 0, 'ein': 0, 'Meilenstein': 0, 'für': 0, 'den': 0, 'öffentlichen': 0, 'Verkehr': 0, 'Der': 0, 'VCS': 0, 'hat': 0, 'das': 0, 'Thema': 0, 'angestossen': 0, 'Grat': 0, 'Mehr': 0, 'dazu': 0, 'auf': 0}",neutral,"[0.70303714, 0.051729403, 0.24523346]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: Am heutigen #Weltbauerntag setzen Nationalrät*innen ein Zeichen für die Stärkung der bäuerlichen #Landwirtschaft. Für eine fa…,heutig weltbauerntag setzen nationalrät innen zeichen stärkung bäuerlich landwirtschaft fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Am': 0, 'heutigen': 0.03, 'Weltbauerntag': 0.05, 'setzen': 0, 'Nationalrät*innen': 0.12, 'ein': 0, 'Zeichen': 0, 'für': 0.15, 'die': 0, 'Stärkung': 1.0, 'der': 0, 'bäuerlichen': 0.7, 'Landwirtschaft': 1.0, 'Für': 0.15, 'eine': 0, 'fa': 0.13, '…': 0}",positive,"[0.0099008875, 0.0035025168, 0.98659664]",neutral
