answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3449,absa_sentiment_3449,absa_scores_3449,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,negative,"@WohlgensingerN @Angelika_Ruider Können wir uns darauf einigen, dass es nicht um Asbest geht. Es geht um sinnlose Verbote in der Tabakindustrie. Und wenn man schon ein Tabakgesetz verabschiedet, warum ist dann die Entkriminalisierung von Cannabis nicht drin?!",darauf asbest gehen gehen sinnlos verbote tabakindustrie schon tabakgesetz verabschieden warum entkriminalisierung cannabis drin,,,,"{'Können': 0, 'wir': 0, 'uns': 0, 'darauf': 0, 'einigen': 0, 'dass': 0.07, 'es': 0.29, 'nicht': 0.44, 'um': 0.06, 'Asbest': 0.1, 'geht': 0, 'Es': 0.29, 'sinnlose': 0, 'Verbote': 0, 'in': 0.04, 'der': 0.11, 'Tabakindustrie': 0.085, 'Und': 0.21, 'wenn': 0.15, 'man': 0, 'schon': 0, 'ein': 0, 'Tabakgesetz': 0.07, 'verabschiedet': 0, 'warum': 0.56, 'ist': 0.29, 'dann': 0, 'die': 0.11, 'Entkriminalisierung': 0.8, 'von': 0, 'Cannabis': 0.44, 'drin': 0}",neutral,"[0.82965046, 0.1442559, 0.0260936]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"Das geht zu weit! Verbot von Aromastoffen in Shishas - Verbot von Tabakwerbung. Das sind Eingriffe in die Privatwirtschaft. Man könnte doch stattdessen die Entkriminalisierung und Legalisierung von Cannabis noch in dieses Tabakproduktegesetz einarbeiten. 

https://t.co/0rcMEbGU9d",gehen weit verbieten aromastoffen shishas verbieten tabakwerbung eingriffe privatwirtschaft stattdessen entkriminalisierung legalisierung cannabis tabakproduktegesetz einarbeiten,,,,"{'Das': 0.05, 'geht': 0.06, 'zu': 0, 'weit': 0.07, 'Verbot': 1.0, 'von': 0, 'Aromastoffen': 0.18, 'in': 0.05, 'Shishas': 0, 'Tabakwerbung': 0.205, 'sind': 0.06, 'Eingriffe': 0.1, 'die': 0.05, 'Privatwirtschaft': 0.07, 'Man': 0, 'könnte': 0.07, 'doch': 0, 'stattdessen': 0.045, 'Entkriminalisierung': 0.13, 'und': 0.03, 'Legalisierung': 0.08, 'Cannabis': 0.07, 'noch': 0, 'dieses': 0.03, 'Tabakproduktegesetz': 0.04, 'einarbeiten': 0}",neutral,"[0.750717, 0.08667035, 0.16261259]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"Gut, dass beide Räte den medizinischen Vorteil von Cannabis langsam anerkennen. 
https://t.co/BmwT9kg05H",gut beid räte medizinisch vorteil cannabis langsam anerkennen,,,,"{'Gut': 0, 'dass': 0.55, 'beide': 0.19, 'Räte': 0.15, 'den': 0.08, 'medizinischen': 0, 'Vorteil': 0, 'von': 0, 'Cannabis': 1.0, 'langsam': 0, 'anerkennen': 0}",positive,"[0.002967677, 0.0010643573, 0.995968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,JA zur Entkriminalisierung und Legalisierung von Cannabis! JA zu Subventionen für Schweizer Hanfbauern! https://t.co/KDLl9DpFjJ,ja entkriminalisierung legalisierung cannabis ja subventionen schweizer hanfbauern,,,,"{'JA': 0.06, 'zur': 0.555, 'Entkriminalisierung': 0.29, 'und': 0.06, 'Legalisierung': 0.26, 'von': 0, 'Cannabis': 0.18, 'zu': 1.0, 'Subventionen': 0.59, 'für': 0.34, 'Schweizer': 0.14, 'Hanfbauern': 0.11}",positive,"[0.0017732697, 0.0013258904, 0.9969009]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Da freue ich mich! Der Nationalrat sagt JA zum Cannabis-Experimentierartikel mit einheimischem Hanf.https://t.co/0dPF8QhKvE,freuen nationalrat sagen ja cannabis experimentierartikel einheimisch hanf,,,,"{'Da': 0, 'freue': 0.12, 'ich': 0.13, 'mich': 0, 'Der': 0.22, 'Nationalrat': 0.175, 'sagt': 0.39, 'JA': 0, 'zum': 0.255, 'Cannabis-Experimentierartikel': 0, 'mit': 0.55, 'einheimischem': 0, 'Hanf': 0.81}",positive,"[0.013680371, 0.0020160074, 0.98430365]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"Ich freue mich, dass der Nationalrat den Experimentierartikel fürdie medizinische Verwendung von Cannabis gutgeheissen hat. Cannabis darf nicht verteufelt und tabuisiert werden. Dies ist ein wichtiger Schritt. https://t.co/juMAs1eLYN?",freuen nationalrat experimentierartikel fürdie medizinische verwendung cannabis gutgeheissen cannabis dürfen verteufeln tabuisiert wichtig schritt,,,,"{'Ich': 0.07, 'freue': 0.07, 'mich': 0, 'dass': 0.07, 'der': 0.07, 'Nationalrat': 0.055, 'den': 0.07, 'Experimentierartikel': 0, 'fürdie': 0.07, 'medizinische': 0, 'Verwendung': 0.05, 'von': 0, 'Cannabis': 0.12, 'gutgeheissen': 0.05, 'hat': 0, 'darf': 0, 'nicht': 0.08, 'verteufelt': 0.06, 'und': 0.03, 'tabuisiert': 0.06, 'werden': 0, 'Dies': 0, 'ist': 0.15, 'ein': 0, 'wichtiger': 0.6, 'Schritt': 0.44}",neutral,"[0.4950896, 0.013161129, 0.4917493]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Ja zur Entkriminalisierung und Legalisierung von Cannabis! (2x Liste 04e.04 in den Nationalrat) https://t.co/zbjYEKbNfQ,ja entkriminalisierung legalisierung cannabis 2x liste 04e nationalrat,,,,"{'Ja': 0.1, 'zur': 0.52, 'Entkriminalisierung': 0.41, 'und': 0.1, 'Legalisierung': 0.24, 'von': 0, 'Cannabis': 0.33, '2x': 0.12, 'Liste': 0, '04e.04': 0, 'in': 0.05, 'den': 0.04, 'Nationalrat': 0.045}",positive,"[0.015891628, 0.0021092726, 0.98199904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Die Gewerkschaften und Rotgrün zeigen wieder mal wie fahrlässig sie mit dem wichtigsten Sozialwerk - der AHV - umgehen. Eine Angleichung des Rentenalters der Frauen an dasjenige der Männer bei 65/65 ist konstruktiv und zielführend. Nur Rotgrün ist dagegen.
https://t.co/vdX0Zs9MhE",gewerkschaften rotgrün zeigen mal fahrlässig wichtig sozialwerk ahv umgehen angleichung rentenalters frauen derjenige männer konstruktiv zielführend rotgrün dagegen,,,,,,,"{'Die': 0.37, 'Gewerkschaften': 0.05, 'und': 0.06, 'Rotgrün': 0.07, 'zeigen': 0.07, 'wieder': 0.03, 'mal': 0, 'wie': 0.05, 'fahrlässig': 0, 'sie': 0, 'mit': 0.03, 'dem': 0.465, 'wichtigsten': 0.03, 'Sozialwerk': 0.04, 'der': 0.37, 'AHV': 0.14, 'umgehen': 0, 'Eine': 0, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.675, 'Frauen': 0.13, 'an': 0, 'dasjenige': 0.37, 'Männer': 0.08, 'bei': 0.07, 'ist': 0.07, 'konstruktiv': 0.16, 'zielführend': 0.21, 'Nur': 0, 'dagegen': 0.37}",neutral,"[0.6747864, 0.1783215, 0.14689212]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Ich stehe hinter der AHV-Reform, welche eine Angleichung des Rentenalters Mann/Frau bei 65/65 beinhaltet.  https://t.co/32Td7a7XO5",stehen ahv reform welch angleichung rentenalters mann frau beinhalten,,,,,,,"{'Ich': 0.2, 'stehe': 0.17, 'hinter': 0.21, 'der': 0.29, 'AHV-Reform': 0, 'welche': 0.21, 'eine': 0, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.775, 'Mann': 0, 'Frau': 0, 'bei': 0.25, 'beinhaltet': 0}",positive,"[0.34826195, 0.016255531, 0.6354825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,"Die Linken sind nicht einmal bereit, einen so kleinen Schritt wie die Erhöhung und Angleichung des Rentenalters der Frau an dasjenige der Männer, zu akzeptieren. Die Linken sind in der Sozialpolitik nicht verlässlich.

https://t.co/sAsiIpTELi",link bereiten klein schritt erhöhung angleichung rentenalters frau derjenige männer akzeptieren link sozialpolitik verlässlich,,,,,,,"{'Die': 0.08, 'Linken': 0.13, 'sind': 0.1, 'nicht': 0.34, 'einmal': 0, 'bereit': 0.11, 'einen': 0.07, 'so': 0, 'kleinen': 0.25, 'Schritt': 0.52, 'wie': 0, 'die': 0.08, 'Erhöhung': 0, 'und': 0.67, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.985, 'der': 0.08, 'Frau': 0, 'an': 0, 'dasjenige': 0.08, 'Männer': 0.11, 'zu': 0.1, 'akzeptieren': 0.24, 'in': 0.07, 'Sozialpolitik': 0.11, 'verlässlich': 0.13}",neutral,"[0.45605198, 0.398522, 0.14542605]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Mitte_Centre: „Diese Reform ist ein kleiner Schritt in die richtige Richtung. Wir sind für Rentenalter 65 für Frauen, aber es braucht A…",reform klein schritt richtige richtung rentenalter frauen brauchen a,,,,,,,"{'„': 0, 'Diese': 0, 'Reform': 0, 'ist': 0, 'ein': 0, 'kleiner': 0, 'Schritt': 0, 'in': 0, 'die': 0, 'richtige': 0, 'Richtung': 0, 'Wir': 0, 'sind': 0, 'für': 0, 'Rentenalter': 0, 'Frauen': 0, 'aber': 0, 'es': 0, 'braucht': 0, 'A': 0, '…': 0}",neutral,"[0.65960246, 0.067143925, 0.27325365]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Der wahre Skandal dieser SRF Arena ist die Absenz von der Partei ""Die Mitte"". Eine Angleichung des Rentenalters 65/65 mit Kompensationsmassnahmen für die Frauen und kleiner Mehrwertsteuer-Erhöhung um 0.3 % ist zentral.

https://t.co/DAEAcvWfSE via @watson_news von @heleneob_",wahr skandal srf arena absenz partei mitte angleichung rentenalters kompensationsmassnahmen frauen klein mehrwertsteuer erhöhung zentral via,,,,,,,"{'Der': 0.6, 'wahre': 0.04, 'Skandal': 0.17, 'dieser': 0.06, 'SRF': 0.06, 'Arena': 0.09, 'ist': 0.18, 'die': 0.6, 'Absenz': 0.15, 'von': 0.17, 'der': 0.6, 'Partei': 0.13, 'Die': 0.6, 'Mitte': 0, 'Eine': 0, 'Angleichung': 0, 'des': 0.17, 'Rentenalters': 0.8200000000000001, 'mit': 0.34, 'Kompensationsmassnahmen': 0.21, 'für': 0.13, 'Frauen': 0.13, 'und': 0.16, 'kleiner': 0, 'Mehrwertsteuer-Erhöhung': 0.16999999999999998, 'um': 0.12, '0.3': 0, 'zentral': 0, 'via': 0.11}",positive,"[0.42283654, 0.10363638, 0.47352707]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.2624999999999999,neutral,"Der Ständerat hat gut entschieden. Die Angleichung des Rentenalters der Frauen an dasjenige der Männer auf 65 ist überfällig. Der Bundesrat plant dafür Ausgleichsmassnahmen für die Frauen. Die Linken sagen destruktiv NEIN zu unserem wichtigsten Sozialwerk.
https://t.co/xnn6M7X15z",ständerat gut entscheiden angleichung rentenalters frauen derjenige männer überfällig bundesrat planen dafür ausgleichsmassnahmen frauen link sagen destruktiv nein wichtig sozialwerk,,,,,,,"{'Der': 0.06, 'Ständerat': 0.1375, 'hat': 0, 'gut': 0, 'entschieden': 0, 'Die': 0.06, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.7849999999999999, 'der': 0.06, 'Frauen': 0.07, 'an': 0, 'dasjenige': 0.06, 'Männer': 0.12, 'auf': 0, 'ist': 0.08, 'überfällig': 1.0, 'Bundesrat': 0.095, 'plant': 0, 'dafür': 0, 'Ausgleichsmassnahmen': 0.215, 'für': 0.05, 'die': 0.06, 'Linken': 0.11, 'sagen': 0.06, 'destruktiv': 0, 'NEIN': 0.08, 'zu': 0.03, 'unserem': 0.04, 'wichtigsten': 0.04, 'Sozialwerk': 0.1}",neutral,"[0.5813144, 0.17831454, 0.2403711]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Eine Angleichung des AHV-Frauenrentenalter auf 65 muss sein. Die Jungfreisinnigen und JSVP befeuern aber einen Abbau bei den Frauen. Gerhard Pfister (Die Mitte) will richtigerweise mind. 700 Millionen für Kompensationsmassnahmen für Frauen bereitstellen. 

https://t.co/C57mXv52uS",angleichung ahv frauenrentenalter jungfreisinnigen jsvp befeuern abbau frauen gerhard pfister mitte richtigerweise mind millionen kompensationsmassnahmen frauen bereitstellen,,,,,,,"{'Eine': 0, 'Angleichung': 0, 'des': 0, 'AHV-Frauenrentenalter': 0.53, 'auf': 0, 'muss': 0.05, 'sein': 0, 'Die': 0.07, 'Jungfreisinnigen': 0.165, 'und': 0.09, 'JSVP': 0.17, 'befeuern': 0, 'aber': 0, 'einen': 0.07, 'Abbau': 0, 'bei': 0.02, 'den': 0.07, 'Frauen': 0.22, 'Gerhard': 0.06, 'Pfister': 0.12, 'Mitte': 0, 'will': 0, 'richtigerweise': 0, 'mind.': 0, 'Millionen': 0, 'für': 0.05, 'Kompensationsmassnahmen': 0.14, 'bereitstellen': 0.07}",neutral,"[0.415143, 0.32942498, 0.25543204]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @JCVPSchweiz: «Wir müssen ehrlich sein zum Volk und parallel zu AHV 21 über die weitere Erhöhung des Rentenalters nachdenken.» @e_ettlin…,müssen ehrlich volk parallel ahv weit erhöhung rentenalters nachdenken,,,,,,,"{'«': 0, 'Wir': 0, 'müssen': 0, 'ehrlich': 0, 'sein': 0, 'zum': 0, 'Volk': 0, 'und': 0, 'parallel': 0, 'zu': 0, 'AHV': 0, 'über': 0, 'die': 0, 'weitere': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'nachdenken': 0, '»': 0, '…': 0}",negative,"[0.33364514, 0.6407143, 0.025640622]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
